INT	STRING
Name	Tips
1	#f7ab00|生命为0后您将重伤倒地，之后您可以选择"回城复活"或者"原地复活"
2	#f7ab00|魔法是使用技能时要消耗的值，魔法不足将不能使用技能
3	#f7ab00|每10秒生命自动进行恢复
4	#f7ab00|攻击数值的大小影响到打怪或者PK时的伤害输出能力
5	#f7ab00|防御数值的大小影响到您减少攻击受到的伤害数值
6	#f7ab00|准确数值的大小影响到您在打怪或者PK时“打中目标”的几率
7	#f7ab00|敏捷数值的大小影响到您在打怪或者PK时“闪避对手伤害”的几率
8	#f7ab00|暴伤数值的大小影响到您在暴击触发时候的伤害输出
9	#f7ab00|攻击速度数值的大小影响到您使用技能的攻击速度
10	#f7ab00|移动速度数值的大小影响到您在游戏中的移动速度
11	#f7ab00|对敌人暴击的几率提升，可以和对方的防爆几率抵消
12	#f7ab00|对敌人暴击的几率降低，可以和对方的暴击几率抵消
13	#f7ab00|对伤害进行百分比加成，可以和对方的伤害减免抵消
14	#f7ab00|对伤害进行百分比减免，可以和对方的伤害加成抵消
15	#f7ab00|有概率无视敌人防御，直接进行无防御打击
16	#f7ab00|对当前的最大生命进行百分比加成
17	#f7ab00|对当前的最大魔法进行百分比加成
18	#f7ab00|对当前的攻击进行百分比加成
19	#f7ab00|对当前的防御进行百分比加成
20	#f7ab00|对敌人麻痹的几率提升，可以和对方的防止麻痹抵消
21	#f7ab00|对敌人冰冻的几率提升，可以和对方的防止冰冻抵消
22	#f7ab00|对敌人麻痹的几率降低，可以和对方的麻痹几率抵消
23	#f7ab00|对敌人冰冻的几率降低，可以和对方的冰冻几率抵消
24	#f7ab00|攻击造成伤害按照比例转化成自身生命
25	#f7ab00|最终伤害后再额外增加的固定伤害
26	#f7ab00|幸运越高，攻击时输出最大伤害的几率越高
27	#f7ab00|韧性数值的大小影响您在暴击时受到的暴击暴击伤害
28	#f7ab00|对玩家造成的额外PK百分比加成，对怪物无效
29	#f7ab00|对玩家造成的额外PK百分比减免，对怪物无效
30	#f7ab00|可以在受到攻击的时候，来抵消受到的伤害
31	#f7ab00|每10秒钟能够自动恢复鲲力值
32	#f7ab00|受到伤害的时候，能够分担百分比的伤害值
33	#f7ab00|暴伤加成可按百分比提高您的暴伤数值
34	#f7ab00|韧性加成可按百分比提高您的韧性数值
