INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	STRING	STRING
Level	NeedItem	SectionMin	SectionMax	MaxPoint	SuccessPer	FailPoint	SkillID	SkillLevel	IfClear	NoticeID	AddAttr	SkillName	SkillDesc	ImageID	SkinID	LevelID	NoticeName
0	-1	0	0	0	0	100	0	0	0	0	0:0|0:0|0:0|0:0|0:0	0	0	1	2	L_1	-1
1	564:1:10	300	400	500	7500	100	0	0	0	409	1:49000|4:660|5:1650|6:130|7:330	0	0	1	2	L_1	1阶无光之翼
2	564:1:15	300	400	500	7500	100	0	0	0	409	1:96000|4:1290|5:3220|6:260|7:640|18:0	0	0	2	103	L_2	2阶倪霞幻影
3	564:1:20	800	1200	1300	3000	100	0	0	0	409	1:214000|4:2220|5:5560|6:440|7:1110|18:15	0	0	3	104	L_3	3阶修罗夜影
4	564:1:25	900	1400	1500	2419	100	0	0	0	409	1:311000|4:3530|5:8820|6:710|7:1760|18:21	0	0	4	105	L_4	4阶琉璃天羽
5	564:1:30	2200	3400	3700	1046	100	0	0	0	409	1:440000|4:5270|5:13170|6:1050|7:2630|18:30	0	0	5	106	L_5	5阶光明天兆
6	564:1:40	2600	4000	4400	895	100	0	0	1	409	1:605000|4:7500|5:18750|6:1500|7:3750|18:45|15:0	0	0	6	107	L_6	6阶断罪血翼
7	564:1:50	3500	5200	5700	681	100	0	0	1	409	1:812000|4:10290|5:25720|6:2060|7:5140|18:69|15:25	0	0	7	108	L_7	7阶流光月禅
8	564:1:60	4600	7000	7700	514	100	0	0	1	409	1:1065000|4:13690|5:34230|6:2740|7:6850|18:87|15:40	0	0	8	109	L_8	8阶帝王意志
9	564:1:80	7600	11400	12500	315	100	0	0	1	409	1:1368000|4:17780|5:44440|6:3560|7:8890|18:105|15:57|16:0	0	0	9	110	L_9	9阶灼莹祭天
10	564:1:100	7100	10700	11700	334	100	0	0	1	409	1:1726000|4:22600|5:56510|6:4520|7:11300|18:135|15:87|16:25	0	0	10	111	L_10	10阶冥域冰封
11	564:1:120	9600	14400	15800	250	100	0	0	1	409	1:2143000|4:28230|5:70580|6:5650|7:14120|18:156|15:110|16:55	0	0	11	112	L_11	11阶创世之序章
12	564:1:140	11400	17100	18800	210	100	0	0	1	409	1:2625000|4:34720|5:86810|6:6940|7:17360|18:183|15:137|16:90	0	0	12	113	L_12	12阶修罗之吞噬
13	564:1:160	13500	20200	22200	177	100	0	0	1	409	1:3175000|4:42140|5:105350|6:8430|7:21070|18:216|15:170|16:132	0	0	13	20	L_13	13阶灭世之红月
14	564:1:180	15100	22600	24800	158	100	0	0	1	409	1:3799000|4:50550|5:126360|6:10110|7:25270|18:255|15:207|16:182	0	0	14	115	L_14	14阶霜华之踏月
15	-1	0	0	0	0	0	0	0	1	409	1:4500000|4:60000|5:150000|6:12000|7:30000|18:300|15:250|16:250	0	0	15	116	L_15	15阶荒神之焚天
