INT	INT	STRING	INT	STRING	INT	STRING	STRING	INT	INT	STRING	STRING
XingLevel	Level	NeedItem	NoticeID	AttrStr	BackGroundID	Coordinate	Name	BossIntegral	BossIntegralLimit	starAngle	endAngle
0	100	-1	0	20:0|45:0	1	-1	-1	10000	300000	0	0
1	100	-1	0	20:5|45:1100	1	219:70	天府·1重	20000	300000	0	0
2	100	-1	0	20:10|45:1200	1	148:129	天府·2重	30000	300000	0	0
3	100	-1	0	20:15|45:1300	1	126:218	天府·3重	40000	300000	0	0
4	100	-1	0	20:20|45:1400	1	156:304	天府·4重	50000	300000	0	0
5	100	-1	0	20:25|45:1500	1	229:355	天府·5重	60000	300000	0	0
6	100	-1	0	20:30|45:1600	1	390:351	天府·6重	80000	300000	0	0
7	100	-1	0	20:35|45:1700	1	463:306	天府·7重	100000	300000	0	0
8	100	-1	0	20:40|45:1800	1	492:219	天府·8重	120000	300000	0	0
9	100	-1	0	20:45|45:1900	1	471:132	天府·9重	140000	300000	0	0
10	300	-1	403	20:50|45:2000	1	400:68	天府·10重	180000	300000	0	0
11	300	-1	0	20:55|45:2100	2	219:70	摇光·1重	210000	350000	0	0
12	300	-1	0	20:60|45:2200	2	148:129	摇光·2重	240000	350000	0	0
13	300	-1	0	20:65|45:2300	2	126:218	摇光·3重	270000	350000	0	0
14	300	-1	0	20:70|45:2400	2	156:304	摇光·4重	300000	350000	0	0
15	300	-1	0	20:75|45:2500	2	229:355	摇光·5重	330000	350000	0	0
16	300	-1	0	20:80|45:2600	2	390:351	摇光·6重	400000	350000	0	0
17	300	-1	0	20:85|45:2700	2	463:306	摇光·7重	470000	350000	0	0
18	300	-1	0	20:90|45:2800	2	492:219	摇光·8重	540000	350000	0	0
19	300	-1	0	20:95|45:2900	2	471:132	摇光·9重	610000	350000	0	0
20	360	-1	404	20:100|45:3000	2	400:68	摇光·10重	760000	350000	0	0
21	360	-1	0	20:110|45:3200	3	219:70	七煞·1重	880000	400000	0	0
22	360	-1	0	20:120|45:3400	3	148:129	七煞·2重	1000000	400000	0	0
23	360	-1	0	20:130|45:3600	3	126:218	七煞·3重	1120000	400000	0	0
24	360	-1	0	20:140|45:3800	3	156:304	七煞·4重	1240000	400000	0	0
25	360	-1	0	20:150|45:4000	3	229:355	七煞·5重	1360000	400000	0	0
26	360	-1	0	20:160|45:4200	3	390:351	七煞·6重	1580000	400000	0	0
27	360	-1	0	20:170|45:4400	3	463:306	七煞·7重	1800000	400000	0	0
28	360	-1	0	20:180|45:4600	3	492:219	七煞·8重	2020000	400000	0	0
29	360	-1	0	20:190|45:4800	3	471:132	七煞·9重	2240000	400000	0	0
30	410	-1	405	20:200|45:5000	3	400:68	七煞·10重	2700000	400000	0	0
31	410	-1	0	20:215|45:5300	4	219:70	贪狼·1重	3000000	450000	0	0
32	410	-1	0	20:230|45:5600	4	148:129	贪狼·2重	3300000	450000	0	0
33	410	-1	0	20:245|45:5900	4	126:218	贪狼·3重	3600000	450000	0	0
34	410	-1	0	20:260|45:6200	4	156:304	贪狼·4重	3900000	450000	0	0
35	410	-1	0	20:275|45:6500	4	229:355	贪狼·5重	4200000	450000	0	0
36	410	-1	0	20:290|45:6800	4	390:351	贪狼·6重	4800000	450000	0	0
37	410	-1	0	20:305|45:7100	4	463:306	贪狼·7重	5400000	450000	0	0
38	410	-1	0	20:320|45:7400	4	492:219	贪狼·8重	6000000	450000	0	0
39	410	-1	0	20:335|45:7700	4	471:132	贪狼·9重	6600000	450000	0	0
40	460	-1	406	20:350|45:8000	4	400:68	贪狼·10重	7600000	450000	0	0
41	460	-1	0	20:365|45:8500	5	219:70	破军·1重	8400000	500000	0	0
42	460	-1	0	20:380|45:9000	5	148:129	破军·2重	9200000	500000	0	0
43	460	-1	0	20:395|45:9500	5	126:218	破军·3重	10000000	500000	0	0
44	460	-1	0	20:410|45:10000	5	156:304	破军·4重	10800000	500000	0	0
45	460	-1	0	20:425|45:10500	5	229:355	破军·5重	11600000	500000	0	0
46	460	-1	0	20:440|45:11000	5	390:351	破军·6重	13200000	500000	0	0
47	460	-1	0	20:455|45:11500	5	463:306	破军·7重	14800000	500000	0	0
48	460	-1	0	20:470|45:12000	5	492:219	破军·8重	16400000	500000	0	0
49	460	-1	0	20:485|45:12500	5	471:132	破军·9重	18000000	500000	0	0
50	460	-1	407	20:500|45:13000	5	400:68	破军·10重	30000000	500000	0	0
