INT	INT	INT	STRING	INT	STRING	STRING
Level	Cost	Attr	Desc	MaxLevel	Attr2	Desc2
0	3000	0	公会徽章效果提升0%	100	18:0	人物生命加成提升0%
1	3120	20	公会徽章效果提升2%	100	18:2	人物生命加成提升0.2%
2	3280	40	公会徽章效果提升4%	100	18:4	人物生命加成提升0.4%
3	3400	60	公会徽章效果提升6%	100	18:6	人物生命加成提升0.6%
4	3520	80	公会徽章效果提升8%	100	18:8	人物生命加成提升0.8%
5	3680	100	公会徽章效果提升10%	100	18:10	人物生命加成提升1%
6	3840	121	公会徽章效果提升12.1%	100	18:12	人物生命加成提升1.2%
7	4000	142	公会徽章效果提升14.2%	100	18:14	人物生命加成提升1.4%
8	4160	163	公会徽章效果提升16.3%	100	18:16	人物生命加成提升1.6%
9	4320	184	公会徽章效果提升18.4%	100	18:18	人物生命加成提升1.8%
10	5640	205	公会徽章效果提升20.5%	100	18:20	人物生命加成提升2%
11	5880	227	公会徽章效果提升22.7%	100	18:22	人物生命加成提升2.2%
12	6120	249	公会徽章效果提升24.9%	100	18:24	人物生命加成提升2.4%
13	6360	271	公会徽章效果提升27.1%	100	18:26	人物生命加成提升2.6%
14	6600	293	公会徽章效果提升29.3%	100	18:28	人物生命加成提升2.8%
15	6880	315	公会徽章效果提升31.5%	100	18:30	人物生命加成提升3%
16	7160	337	公会徽章效果提升33.7%	100	18:32	人物生命加成提升3.2%
17	7440	359	公会徽章效果提升35.9%	100	18:34	人物生命加成提升3.4%
18	7760	382	公会徽章效果提升38.2%	100	18:36	人物生命加成提升3.6%
19	8080	405	公会徽章效果提升40.5%	100	18:38	人物生命加成提升3.8%
20	10560	428	公会徽章效果提升42.8%	100	18:40	人物生命加成提升4%
21	11000	451	公会徽章效果提升45.1%	100	18:42	人物生命加成提升4.2%
22	11440	474	公会徽章效果提升47.4%	100	18:44	人物生命加成提升4.4%
23	11880	498	公会徽章效果提升49.8%	100	18:46	人物生命加成提升4.6%
24	12360	522	公会徽章效果提升52.2%	100	18:48	人物生命加成提升4.8%
25	12880	546	公会徽章效果提升54.6%	100	18:50	人物生命加成提升5%
26	13400	570	公会徽章效果提升57%	100	18:52	人物生命加成提升5.2%
27	13920	594	公会徽章效果提升59.4%	100	18:54	人物生命加成提升5.4%
28	14520	619	公会徽章效果提升61.9%	100	18:56	人物生命加成提升5.6%
29	15080	644	公会徽章效果提升64.4%	100	18:58	人物生命加成提升5.8%
30	19760	669	公会徽章效果提升66.9%	100	18:60	人物生命加成提升6%
31	20560	694	公会徽章效果提升69.4%	100	18:62	人物生命加成提升6.2%
32	21400	719	公会徽章效果提升71.9%	100	18:64	人物生命加成提升6.4%
33	22280	745	公会徽章效果提升74.5%	100	18:66	人物生命加成提升6.6%
34	23160	771	公会徽章效果提升77.1%	100	18:68	人物生命加成提升6.8%
35	24080	797	公会徽章效果提升79.7%	100	18:70	人物生命加成提升7%
36	25080	823	公会徽章效果提升82.3%	100	18:72	人物生命加成提升7.2%
37	26080	849	公会徽章效果提升84.8999999999999%	100	18:75	人物生命加成提升7.5%
38	27120	876	公会徽章效果提升87.6%	100	18:78	人物生命加成提升7.8%
39	28240	903	公会徽章效果提升90.3%	100	18:81	人物生命加成提升8.1%
40	37000	930	公会徽章效果提升93%	100	18:84	人物生命加成提升8.4%
41	38480	957	公会徽章效果提升95.7%	100	18:87	人物生命加成提升8.7%
42	40040	984	公会徽章效果提升98.4%	100	18:90	人物生命加成提升9%
43	41640	1012	公会徽章效果提升101.2%	100	18:93	人物生命加成提升9.3%
44	43320	1040	公会徽章效果提升104%	100	18:96	人物生命加成提升9.6%
45	45080	1068	公会徽章效果提升106.8%	100	18:99	人物生命加成提升9.9%
46	46920	1096	公会徽章效果提升109.6%	100	18:102	人物生命加成提升10.2%
47	48800	1124	公会徽章效果提升112.4%	100	18:105	人物生命加成提升10.5%
48	50760	1153	公会徽章效果提升115.3%	100	18:108	人物生命加成提升10.8%
49	52840	1182	公会徽章效果提升118.2%	100	18:111	人物生命加成提升11.1%
50	69200	1211	公会徽章效果提升121.1%	100	18:114	人物生命加成提升11.4%
51	72000	1240	公会徽章效果提升124%	100	18:117	人物生命加成提升11.7%
52	74920	1270	公会徽章效果提升127%	100	18:120	人物生命加成提升12%
53	77920	1300	公会徽章效果提升130%	100	18:123	人物生命加成提升12.3%
54	81080	1330	公会徽章效果提升133%	100	18:126	人物生命加成提升12.6%
55	84360	1360	公会徽章效果提升136%	100	18:129	人物生命加成提升12.9%
56	87760	1391	公会徽章效果提升139.1%	100	18:132	人物生命加成提升13.2%
57	91320	1422	公会徽章效果提升142.2%	100	18:135	人物生命加成提升13.5%
58	95000	1453	公会徽章效果提升145.3%	100	18:138	人物生命加成提升13.8%
59	98840	1484	公会徽章效果提升148.4%	100	18:141	人物生命加成提升14.1%
60	129480	1515	公会徽章效果提升151.5%	100	18:144	人物生命加成提升14.4%
61	134720	1547	公会徽章效果提升154.7%	100	18:147	人物生命加成提升14.7%
62	140160	1579	公会徽章效果提升157.9%	100	18:150	人物生命加成提升15%
63	145840	1611	公会徽章效果提升161.1%	100	18:153	人物生命加成提升15.3%
64	151720	1644	公会徽章效果提升164.4%	100	18:156	人物生命加成提升15.6%
65	157840	1677	公会徽章效果提升167.7%	100	18:159	人物生命加成提升15.9%
66	164240	1710	公会徽章效果提升171%	100	18:162	人物生命加成提升16.2%
67	170880	1743	公会徽章效果提升174.3%	100	18:165	人物生命加成提升16.5%
68	177760	1777	公会徽章效果提升177.7%	100	18:168	人物生命加成提升16.8%
69	184960	1811	公会徽章效果提升181.1%	100	18:171	人物生命加成提升17.1%
70	242320	1845	公会徽章效果提升184.5%	100	18:175	人物生命加成提升17.5%
