INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	XValue	YValue	Probability1	ItemId1	ItemType1	ItemCount1	IsBind1	LangugeId1	Probability2	ItemId2	ItemType2	ItemCount2	IsBind2	LangugeId2	Probability3	ItemId3	ItemType3	ItemCount3	IsBind3	LangugeId3	Probability4	ItemId4	ItemType4	ItemCount4	IsBind4	LangugeId4	Probability5	ItemId5	ItemType5	ItemCount5	IsBind5	LangugeId5
1	8	30	19976	575	1	5	1	0	4997	601	1	20	1	0	9990	708	1	10	1	0	3998	9	1	5	1	0	7993	769	1	5	1	0
2	10	28	7993	769	1	5	1	0	3998	9	1	5	1	0	2001	13	1	20	1	0	4997	8203	3	1	1	0	9082	619	1	1	1	0
3	12	26	2001	771	1	1	1	535	628	8106	3	1	1	535	19976	575	1	5	1	0	2001	771	1	1	1	535	7993	13	1	5	1	0
4	14	24	6661	625	1	1	1	0	403	710	1	10	1	535	3333	601	1	30	1	0	2001	771	1	1	1	535	3998	9	1	5	1	0
5	16	22	6661	568	1	1	1	0	3998	720	1	1	1	535	19976	575	1	5	1	0	2223	568	1	3	1	0	3998	734	1	1	1	535
6	18	20	3998	636	1	1	1	535	3333	601	1	30	1	0	3998	9	1	5	1	0	3998	9	1	5	1	0	9990	709	1	10	1	0
7	20	18	44	52009	2	1	1	535	9990	709	1	10	1	0	9082	619	1	1	1	0	2500	578	1	2	1	0	44	52309	2	1	1	535
8	22	16	4997	758	1	4	1	0	2001	13	1	20	1	0	4997	758	1	4	1	0	4997	8203	3	1	1	0	9990	708	1	10	1	0
9	11	33	9990	719	1	1	1	0	4997	758	1	4	1	0	3998	718	1	5	1	0	2001	570	1	1	1	535	19976	575	1	5	1	0
10	13	31	4997	8203	3	1	1	0	7993	13	1	5	1	0	9990	719	1	1	1	0	628	8206	3	1	1	535	4997	727	1	2	1	0
11	15	29	4997	8103	3	1	1	0	2223	568	1	3	1	0	3333	733	1	4	1	0	4997	8103	3	1	1	0	44	52509	2	1	1	535
12	17	27	44	52109	2	1	1	535	6661	647	1	10	1	0	4997	578	1	1	1	0	4997	578	1	1	1	0	3998	9	1	5	1	0
13	19	25	44	52409	2	1	1	535	9990	705	1	10	1	0	1335	13	1	30	1	0	3998	9	1	5	1	0	2500	578	1	2	1	0
14	21	23	4997	601	1	20	1	0	403	30012	2	1	1	535	3333	759	1	3	1	0	19976	575	1	5	1	0	4997	8103	3	1	1	0
15	23	21	3998	9	1	5	1	0	3998	9	1	5	1	0	3998	9	1	5	1	0	44	52609	2	1	1	535	6661	568	1	1	1	0
16	25	19	3998	9	1	5	1	0	3998	9	1	5	1	0	4997	601	1	20	1	0	6661	647	1	10	1	0	2001	771	1	1	1	535
17	14	36	403	30011	2	1	1	535	204	762	1	1	1	535	628	8006	3	1	1	535	4997	601	1	20	1	0	3998	16	1	5	1	0
18	16	34	3333	759	1	3	1	0	44	52009	2	1	1	535	3998	9	1	5	1	0	9082	619	1	1	1	0	2001	410	1	1	1	535
19	18	32	19976	575	1	5	1	0	9990	575	1	10	1	0	2001	16	1	10	1	0	6661	647	1	10	1	0	4997	758	1	4	1	0
20	20	30	19976	575	1	5	1	0	8	50029	2	1	1	535	2001	710	1	2	1	535	4997	758	1	4	1	0	3998	9	1	5	1	0
21	22	28	2001	710	1	2	1	535	44	52109	2	1	1	535	9990	759	1	1	1	0	4997	727	1	2	1	0	2001	710	1	2	1	535
22	24	26	9990	575	1	10	1	0	3998	9	1	5	1	0	48	784	1	1	1	535	2001	710	1	2	1	535	2001	710	1	2	1	535
23	26	24	9990	708	1	10	1	0	3998	636	1	1	1	535	3998	9	1	5	1	0	44	52209	2	1	1	535	403	710	1	10	1	535
24	28	22	628	8206	3	1	1	535	13319	731	1	10	1	0	3998	636	1	1	1	535	9990	575	1	10	1	0	44	52609	2	1	1	535
25	30	20	2223	568	1	3	1	0	19976	575	1	5	1	0	19976	575	1	5	1	0	7993	769	1	5	1	0	4997	601	1	20	1	0
26	32	18	8	50029	2	1	1	535	2001	710	1	2	1	535	4997	727	1	2	1	0	7993	769	1	5	1	0	19976	575	1	5	1	0
27	34	16	3333	733	1	4	1	0	2500	578	1	2	1	0	4997	8203	3	1	1	0	44	52309	2	1	1	535	3998	636	1	1	1	535
28	36	14	3998	9	1	5	1	0	9990	575	1	10	1	0	13319	732	1	10	1	0	19976	575	1	5	1	0	9990	759	1	1	1	0
