INT	INT	STRING	STRING	STRING	INT	INT	INT
Days	Index	Items1	Items2	Items3	OldPrice	Price	GongGao
1	1	7003:1:1:1	7003:1:1:1	7003:1:1:1	100	20	-1
1	2	7007:1:30:1	7007:1:30:1	7007:1:30:1	180	60	242
1	3	7265:1:10:1	7265:1:10:1	7265:1:10:1	400	100	242
1	4	7564:1:1:1	7564:1:1:1	7564:1:1:1	888	188	242
2	1	457:2:1:1	465:2:1:1	473:2:1:1	-1	30	242
2	3	7115:1:25:1	7115:1:25:1	7115:1:25:1	-1	60	242
2	4	7300:1:20:1	7300:1:20:1	7300:1:20:1	480	120	242
2	2	7041:1:20:1	7041:1:20:1	7041:1:20:1	120	40	242
3	1	463:2:1:1	471:2:1:1	479:2:1:1	-1	20	242
3	2	7338:1:1:1	7338:1:1:1	7338:1:1:1	200	60	242
3	3	7007:1:100:1	7007:1:100:1	7007:1:100:1	600	188	242
3	4	7307:1:10:1	7307:1:10:1	7307:1:10:1	800	200	242
4	1	7520:1:1:1	7520:1:1:1	7520:1:1:1	-1	100	242
4	4	7273:1:20:1	7273:1:20:1	7273:1:20:1	1400	400	242
4	2	7004:1:1:1	7004:1:1:1	7004:1:1:1	300	100	242
4	3	5:3:1:1	5:3:1:1	5:3:1:1	972	300	242
5	1	7042:1:5:1	7042:1:5:1	7042:1:5:1	-1	30	242
5	2	7101:1:100:1	7101:1:100:1	7101:1:100:1	600	200	242
5	3	7307:1:20:1	7307:1:20:1	7307:1:20:1	1600	400	242
5	4	7362:1:30:1	7362:1:30:1	7362:1:30:1	3000	1200	242
6	1	7576:1:1:1	7576:1:1:1	7576:1:1:1	-1	100	242
6	2	7101:1:100:1	7101:1:100:1	7101:1:100:1	600	200	242
6	3	7470:1:20:1	7470:1:20:1	7470:1:20:1	800	200	242
6	4	7002:1:1:1	7002:1:1:1	7002:1:1:1	900	300	242
7	1	7553:1:20:1	7553:1:20:1	7553:1:20:1	400	120	242
7	3	7472:1:100:1	7472:1:100:1	7472:1:100:1	1500	500	242
7	2	7471:1:20:1	7471:1:20:1	7471:1:20:1	800	300	242
7	4	7362:1:80:1	7362:1:80:1	7362:1:80:1	8000	3000	242
