INT	STRING	INT	INT	INT
BossId	RevivePos	TransferMap	TransferPosX	TransferPosY
100000	40:37	50154	40	37
100001	40:37	50157	40	37
100002	40:37	50158	40	37
100003	40:37	50172	40	37
25202	48:81	50035	48	81
25203	48:81	50036	48	81
25204	48:81	50037	48	81
25205	48:81	50038	48	81
25206	48:81	50112	48	81
200000	146:31	50102	146	31
200001	30:58	50103	30	58
200002	17:45	50092	17	45
200003	70:28	50094	70	28
200004	61:55	50131	61	55
200005	80:70	50132	80	70
200006	16:70	50052	16	70
200007	23:90	50093	23	90
200008	68:60	50139	68	60
200009	92:30	50155	92	30
200010	111:45	50159	111	45
200011	77:17	50160	77	17
200012	31:42	50070	31	42
200013	37:44	50071	37	44
200014	15:48	50072	15	48
200015	106:48	50073	106	48
110000	29:30	50162	29	30
110001	29:30	50163	29	30
110002	29:30	50164	29	30
110003	29:30	50165	29	30
110004	29:30	50166	29	30
110005	29:30	50167	29	30
