INT	INT	INT	INT	INT	INT	INT
ID	Type	Number	Start	End	Notice	Index
10004	0	20000	1	7	440	1
11004	0	20000	1	7	440	2
10005	0	20000	1	7	440	3
11005	0	20000	1	7	440	4
10006	0	20000	1	7	440	5
11006	0	20000	1	7	440	6
10007	0	50000	1	7	440	7
11007	0	50000	1	7	440	8
10008	0	50000	1	7	440	9
11008	0	50000	1	7	440	10
10009	0	50000	1	7	440	11
11009	0	50000	1	7	440	12
10010	0	100000	1	7	440	13
11010	0	100000	1	7	440	14
10011	0	100000	1	7	440	15
11011	0	100000	1	7	440	16
10012	0	100000	1	7	440	17
11012	0	100000	1	7	440	18
10013	0	100000	1	7	440	19
11013	0	100000	1	7	440	20
10014	0	150000	1	7	440	21
11014	0	150000	1	7	440	22
10015	0	150000	1	7	440	23
11015	0	150000	1	7	440	24
9997	0	150000	1	7	440	25
11016	0	150000	1	7	440	26
10016	0	200000	1	7	440	27
10017	0	200000	1	7	440	28
10018	0	200000	1	7	440	29
10019	0	200000	1	7	440	30
10020	0	300000	1	7	440	31
10021	0	300000	1	7	440	32
10022	0	300000	1	7	440	33
10023	0	300000	1	7	440	34
10024	0	400000	1	7	440	35
10025	0	400000	1	7	440	36
10026	0	400000	1	7	440	37
10027	0	400000	1	7	440	38
