INT	STRING	STRING	INT	INT
SpecialId	BuffUrl	Name	Position	Effect
1	xuanyun	眩晕	1	1002
2	-1	无敌	0	3
3	anhei_shuangzhixinxingShouJi	停止	2	1005
6	buffSleep	沉睡	1	0
7	anhei_jingshizhihou	盾	2	0
9	anhei_shuangzhixinxingShouJi	冰冻	2	10
11	kunlingshouhu	鲲灵护体	3	0
100	anhei_buff_jiansu	减速	2	1001
101	buffSpeedUp	加速	1	0
102	molongdun	守护	3	0
103	buffStrong	强壮	3	0
104	anhei_gongjitisheng	攻击提升	3	0
105	anhei_jiangdigongji	攻击下降	1	0
106	anhei_fangyutisheng	防御提升	3	0
107	anhei_pojia	防御下降	1	0
108	anhei_yanbaomoyan	魔眼	1	0
109	anhei_jinsehudun	金色护盾	3	0
110	anhei_baisehundun	白色护盾	3	0
111	anhei_dingshizhadan	定时炸弹	1	0
112	anhei_liuxue	流血	3	0
113	anhei_ranshao	燃烧	3	0
114	anhei_zhongdu	中毒	3	0
115	mofadun	魔法盾	3	0
116	fuchouzhixue	复仇之血	2	0
