INT	INT	STRING	INT	INT	STRING
Lv	Cachet	Attr	Deduct	Language	Name
1	0	1:4500|4:120|5:300|6:36|7:90	0	447	初入江湖
2	50000	1:13500|4:360|5:900|6:108|7:270	10000	447	牛刀小试
3	150000	1:27000|4:720|5:1800|6:216|7:540	20000	447	初露锋芒
4	300000	1:45000|4:1200|5:3000|6:360|7:900	30000	447	小有名气
5	500000	1:72000|4:1920|5:4800|6:576|7:1440	40000	447	名声鹊起
6	850000	1:108000|4:2880|5:7200|6:864|7:2160	50000	447	名震四海
7	1300000	1:153000|4:4080|5:10200|6:1224|7:3060	60000	447	登峰造极
8	1850000	1:207000|4:5520|5:13800|6:1656|7:4140	70000	447	震古烁今
9	2500000	1:274500|4:7320|5:18300|6:2196|7:5490	80000	447	绝世无双
10	3200000	1:355500|4:9480|5:23700|6:2844|7:7110	100000	447	唯我独尊
11	4000000	1:450000|4:12000|5:30000|6:3600|7:9000	120000	447	神威天下
