INT	INT	STRING
level	CarrierID	num_addon
1	1	1:1000000|4:10000|5:20000|3:10000|33:200
2	1	1:1000000|4:10000|5:20000|3:10000|33:200
3	1	1:1000000|4:10000|5:20000|3:10000|33:200
4	1	1:1000000|4:10000|5:20000|3:10000|33:200
5	1	1:1000000|4:10000|5:20000|3:10000|33:200
6	1	1:1000000|4:10000|5:20000|3:10000|33:200
7	1	1:1000000|4:10000|5:20000|3:10000|33:200
8	1	1:1000000|4:10000|5:20000|3:10000|33:200
9	1	1:1000000|4:10000|5:20000|3:10000|33:200
10	1	1:1000000|4:10000|5:20000|3:10000|33:200
11	1	1:1000000|4:10000|5:20000|3:10000|33:200
12	1	1:1000000|4:10000|5:20000|3:10000|33:200
13	1	1:1000000|4:10000|5:20000|3:10000|33:200
14	1	1:1000000|4:10000|5:20000|3:10000|33:200
15	1	1:1000000|4:10000|5:20000|3:10000|33:200
16	1	1:1000000|4:10000|5:20000|3:10000|33:200
17	1	1:1000000|4:10000|5:20000|3:10000|33:200
18	1	1:1000000|4:10000|5:20000|3:10000|33:200
19	1	1:1000000|4:10000|5:20000|3:10000|33:200
20	1	1:1000000|4:10000|5:20000|3:10000|33:200
21	1	1:1000000|4:10000|5:20000|3:10000|33:200
22	1	1:1000000|4:10000|5:20000|3:10000|33:200
23	1	1:1000000|4:10000|5:20000|3:10000|33:200
24	1	1:1000000|4:10000|5:20000|3:10000|33:200
25	1	1:1000000|4:10000|5:20000|3:10000|33:200
26	1	1:1000000|4:10000|5:20000|3:10000|33:200
27	1	1:1000000|4:10000|5:20000|3:10000|33:200
28	1	1:1000000|4:10000|5:20000|3:10000|33:200
29	1	1:1000000|4:10000|5:20000|3:10000|33:200
30	1	1:1000000|4:10000|5:20000|3:10000|33:200
31	1	1:1000000|4:10000|5:20000|3:10000|33:200
32	1	1:1000000|4:10000|5:20000|3:10000|33:200
33	1	1:1000000|4:10000|5:20000|3:10000|33:200
34	1	1:1000000|4:10000|5:20000|3:10000|33:200
35	1	1:1000000|4:10000|5:20000|3:10000|33:200
36	1	1:1000000|4:10000|5:20000|3:10000|33:200
37	1	1:1000000|4:10000|5:20000|3:10000|33:200
38	1	1:1000000|4:10000|5:20000|3:10000|33:200
39	1	1:1000000|4:10000|5:20000|3:10000|33:200
40	1	1:1000000|4:10000|5:20000|3:10000|33:200
41	1	1:1000000|4:10000|5:20000|3:10000|33:200
42	1	1:1000000|4:10000|5:20000|3:10000|33:200
43	1	1:1000000|4:10000|5:20000|3:10000|33:200
44	1	1:1000000|4:10000|5:20000|3:10000|33:200
45	1	1:1000000|4:10000|5:20000|3:10000|33:200
46	1	1:1000000|4:10000|5:20000|3:10000|33:200
47	1	1:1000000|4:10000|5:20000|3:10000|33:200
48	1	1:1000000|4:10000|5:20000|3:10000|33:200
49	1	1:1000000|4:10000|5:20000|3:10000|33:200
50	1	1:1000000|4:10000|5:20000|3:10000|33:200
51	1	1:1000000|4:10000|5:20000|3:10000|33:200
52	1	1:1000000|4:10000|5:20000|3:10000|33:200
53	1	1:1000000|4:10000|5:20000|3:10000|33:200
54	1	1:1000000|4:10000|5:20000|3:10000|33:200
55	1	1:1000000|4:10000|5:20000|3:10000|33:200
56	1	1:1000000|4:10000|5:20000|3:10000|33:200
57	1	1:1000000|4:10000|5:20000|3:10000|33:200
58	1	1:1000000|4:10000|5:20000|3:10000|33:200
59	1	1:1000000|4:10000|5:20000|3:10000|33:200
60	1	1:1000000|4:10000|5:20000|3:10000|33:200
61	1	1:1000000|4:10000|5:20000|3:10000|33:200
62	1	1:1000000|4:10000|5:20000|3:10000|33:200
63	1	1:1000000|4:10000|5:20000|3:10000|33:200
64	1	1:1000000|4:10000|5:20000|3:10000|33:200
65	1	1:1000000|4:10000|5:20000|3:10000|33:200
66	1	1:1000000|4:10000|5:20000|3:10000|33:200
67	1	1:1000000|4:10000|5:20000|3:10000|33:200
68	1	1:1000000|4:10000|5:20000|3:10000|33:200
69	1	1:1000000|4:10000|5:20000|3:10000|33:200
70	1	1:1000000|4:10000|5:20000|3:10000|33:200
71	1	1:1000000|4:10000|5:20000|3:10000|33:200
72	1	1:1000000|4:10000|5:20000|3:10000|33:200
73	1	1:1000000|4:10000|5:20000|3:10000|33:200
74	1	1:1000000|4:10000|5:20000|3:10000|33:200
75	1	1:1000000|4:10000|5:20000|3:10000|33:200
76	1	1:1000000|4:10000|5:20000|3:10000|33:200
77	1	1:1000000|4:10000|5:20000|3:10000|33:200
78	1	1:1000000|4:10000|5:20000|3:10000|33:200
79	1	1:1000000|4:10000|5:20000|3:10000|33:200
80	1	1:1000000|4:10000|5:20000|3:10000|33:200
81	1	1:1000000|4:10000|5:20000|3:10000|33:200
82	1	1:1000000|4:10000|5:20000|3:10000|33:200
83	1	1:1000000|4:10000|5:20000|3:10000|33:200
84	1	1:1000000|4:10000|5:20000|3:10000|33:200
85	1	1:1000000|4:10000|5:20000|3:10000|33:200
86	1	1:1000000|4:10000|5:20000|3:10000|33:200
87	1	1:1000000|4:10000|5:20000|3:10000|33:200
88	1	1:1000000|4:10000|5:20000|3:10000|33:200
89	1	1:1000000|4:10000|5:20000|3:10000|33:200
90	1	1:1000000|4:10000|5:20000|3:10000|33:200
91	1	1:1000000|4:10000|5:20000|3:10000|33:200
92	1	1:1000000|4:10000|5:20000|3:10000|33:200
93	1	1:1000000|4:10000|5:20000|3:10000|33:200
94	1	1:1000000|4:10000|5:20000|3:10000|33:200
95	1	1:1000000|4:10000|5:20000|3:10000|33:200
96	1	1:1000000|4:10000|5:20000|3:10000|33:200
97	1	1:1000000|4:10000|5:20000|3:10000|33:200
98	1	1:1000000|4:10000|5:20000|3:10000|33:200
99	1	1:1000000|4:10000|5:20000|3:10000|33:200
100	1	1:1000000|4:10000|5:20000|3:10000|33:200
101	1	1:1000000|4:10000|5:20000|3:10000|33:200
102	1	1:1000000|4:10000|5:20000|3:10000|33:200
103	1	1:1000000|4:10000|5:20000|3:10000|33:200
104	1	1:1000000|4:10000|5:20000|3:10000|33:200
105	1	1:1000000|4:10000|5:20000|3:10000|33:200
106	1	1:1000000|4:10000|5:20000|3:10000|33:200
107	1	1:1000000|4:10000|5:20000|3:10000|33:200
108	1	1:1000000|4:10000|5:20000|3:10000|33:200
109	1	1:1000000|4:10000|5:20000|3:10000|33:200
110	1	1:1000000|4:10000|5:20000|3:10000|33:200
111	1	1:1000000|4:10000|5:20000|3:10000|33:200
112	1	1:1000000|4:10000|5:20000|3:10000|33:200
113	1	1:1000000|4:10000|5:20000|3:10000|33:200
114	1	1:1000000|4:10000|5:20000|3:10000|33:200
115	1	1:1000000|4:10000|5:20000|3:10000|33:200
116	1	1:1000000|4:10000|5:20000|3:10000|33:200
117	1	1:1000000|4:10000|5:20000|3:10000|33:200
118	1	1:1000000|4:10000|5:20000|3:10000|33:200
119	1	1:1000000|4:10000|5:20000|3:10000|33:200
120	1	1:1000000|4:10000|5:20000|3:10000|33:200
121	1	1:1000000|4:10000|5:20000|3:10000|33:200
122	1	1:1000000|4:10000|5:20000|3:10000|33:200
123	1	1:1000000|4:10000|5:20000|3:10000|33:200
124	1	1:1000000|4:10000|5:20000|3:10000|33:200
125	1	1:1000000|4:10000|5:20000|3:10000|33:200
126	1	1:1000000|4:10000|5:20000|3:10000|33:200
127	1	1:1000000|4:10000|5:20000|3:10000|33:200
128	1	1:1000000|4:10000|5:20000|3:10000|33:200
129	1	1:1000000|4:10000|5:20000|3:10000|33:200
130	1	1:1000000|4:10000|5:20000|3:10000|33:200
131	1	1:1000000|4:10000|5:20000|3:10000|33:200
132	1	1:1000000|4:10000|5:20000|3:10000|33:200
133	1	1:1000000|4:10000|5:20000|3:10000|33:200
134	1	1:1000000|4:10000|5:20000|3:10000|33:200
135	1	1:1000000|4:10000|5:20000|3:10000|33:200
136	1	1:1000000|4:10000|5:20000|3:10000|33:200
137	1	1:1000000|4:10000|5:20000|3:10000|33:200
138	1	1:1000000|4:10000|5:20000|3:10000|33:200
139	1	1:1000000|4:10000|5:20000|3:10000|33:200
140	1	1:1000000|4:10000|5:20000|3:10000|33:200
141	1	1:1000000|4:10000|5:20000|3:10000|33:200
142	1	1:1000000|4:10000|5:20000|3:10000|33:200
143	1	1:1000000|4:10000|5:20000|3:10000|33:200
144	1	1:1000000|4:10000|5:20000|3:10000|33:200
145	1	1:1000000|4:10000|5:20000|3:10000|33:200
146	1	1:1000000|4:10000|5:20000|3:10000|33:200
147	1	1:1000000|4:10000|5:20000|3:10000|33:200
148	1	1:1000000|4:10000|5:20000|3:10000|33:200
149	1	1:1000000|4:10000|5:20000|3:10000|33:200
150	1	1:1000000|4:10000|5:20000|3:10000|33:200
151	1	1:1000000|4:10000|5:20000|3:10000|33:200
152	1	1:1000000|4:10000|5:20000|3:10000|33:200
153	1	1:1000000|4:10000|5:20000|3:10000|33:200
154	1	1:1000000|4:10000|5:20000|3:10000|33:200
155	1	1:1000000|4:10000|5:20000|3:10000|33:200
156	1	1:1000000|4:10000|5:20000|3:10000|33:200
157	1	1:1000000|4:10000|5:20000|3:10000|33:200
158	1	1:1000000|4:10000|5:20000|3:10000|33:200
159	1	1:1000000|4:10000|5:20000|3:10000|33:200
160	1	1:1000000|4:10000|5:20000|3:10000|33:200
161	1	1:1000000|4:10000|5:20000|3:10000|33:200
162	1	1:1000000|4:10000|5:20000|3:10000|33:200
163	1	1:1000000|4:10000|5:20000|3:10000|33:200
164	1	1:1000000|4:10000|5:20000|3:10000|33:200
165	1	1:1000000|4:10000|5:20000|3:10000|33:200
166	1	1:1000000|4:10000|5:20000|3:10000|33:200
167	1	1:1000000|4:10000|5:20000|3:10000|33:200
168	1	1:1000000|4:10000|5:20000|3:10000|33:200
169	1	1:1000000|4:10000|5:20000|3:10000|33:200
170	1	1:1000000|4:10000|5:20000|3:10000|33:200
171	1	1:1000000|4:10000|5:20000|3:10000|33:200
172	1	1:1000000|4:10000|5:20000|3:10000|33:200
173	1	1:1000000|4:10000|5:20000|3:10000|33:200
174	1	1:1000000|4:10000|5:20000|3:10000|33:200
175	1	1:1000000|4:10000|5:20000|3:10000|33:200
176	1	1:1000000|4:10000|5:20000|3:10000|33:200
177	1	1:1000000|4:10000|5:20000|3:10000|33:200
178	1	1:1000000|4:10000|5:20000|3:10000|33:200
179	1	1:1000000|4:10000|5:20000|3:10000|33:200
180	1	1:1000000|4:10000|5:20000|3:10000|33:200
181	1	1:1000000|4:10000|5:20000|3:10000|33:200
182	1	1:1000000|4:10000|5:20000|3:10000|33:200
183	1	1:1000000|4:10000|5:20000|3:10000|33:200
184	1	1:1000000|4:10000|5:20000|3:10000|33:200
185	1	1:1000000|4:10000|5:20000|3:10000|33:200
186	1	1:1000000|4:10000|5:20000|3:10000|33:200
187	1	1:1000000|4:10000|5:20000|3:10000|33:200
188	1	1:1000000|4:10000|5:20000|3:10000|33:200
189	1	1:1000000|4:10000|5:20000|3:10000|33:200
190	1	1:1000000|4:10000|5:20000|3:10000|33:200
191	1	1:1000000|4:10000|5:20000|3:10000|33:200
192	1	1:1000000|4:10000|5:20000|3:10000|33:200
193	1	1:1000000|4:10000|5:20000|3:10000|33:200
194	1	1:1000000|4:10000|5:20000|3:10000|33:200
195	1	1:1000000|4:10000|5:20000|3:10000|33:200
196	1	1:1000000|4:10000|5:20000|3:10000|33:200
197	1	1:1000000|4:10000|5:20000|3:10000|33:200
198	1	1:1000000|4:10000|5:20000|3:10000|33:200
199	1	1:1000000|4:10000|5:20000|3:10000|33:200
200	1	1:1000000|4:10000|5:20000|3:10000|33:200
201	1	1:1000000|4:10000|5:20000|3:10000|33:200
202	1	1:1000000|4:10000|5:20000|3:10000|33:200
203	1	1:1000000|4:10000|5:20000|3:10000|33:200
204	1	1:1000000|4:10000|5:20000|3:10000|33:200
205	1	1:1000000|4:10000|5:20000|3:10000|33:200
206	1	1:1000000|4:10000|5:20000|3:10000|33:200
207	1	1:1000000|4:10000|5:20000|3:10000|33:200
