INT	INT	STRING	INT
ID	Parm	Items	NoticeID
1	1	10004:1:2:1|564:1:20:1	0
2	2	10003:1:2:1|564:1:20:1	0
3	3	10003:1:1:1|564:1:20:1	0
4	4	10003:1:1:1|564:1:20:1	0
5	5	10003:1:1:1|508:1:5:1	0
6	6	10003:1:1:1|502:1:100:1	0
7	7	10003:1:1:1|502:1:100:1	0
8	8	10003:1:1:1|502:1:100:1	0
9	9	10003:1:1:1|502:1:100:1	0
10	10	10003:1:1:1|511:1:5:1	0
11	11	10003:1:1:1|504:1:100:1	0
12	12	10003:1:1:1|504:1:100:1	0
13	13	10003:1:1:1|504:1:100:1	0
14	14	10003:1:1:1|504:1:100:1	0
15	15	10003:1:1:1|570:1:5:1	0
16	16	10003:1:1:1|507:1:10:1	0
17	17	10003:1:1:1|507:1:10:1	0
18	18	10003:1:1:1|507:1:10:1	0
19	19	10003:1:1:1|507:1:10:1	0
20	20	10003:1:1:1|584:1:1:1	501
21	21	10003:1:1:1|510:1:10:1	0
22	22	10003:1:1:1|510:1:10:1	0
23	23	10003:1:1:1|510:1:10:1	0
24	24	10003:1:1:1|510:1:10:1	0
25	25	10003:1:1:1|745:1:1:1	502
26	26	10003:1:1:1|598:1:10:1	0
27	27	10003:1:1:1|598:1:10:1	0
28	28	10003:1:1:1|598:1:10:1	0
29	29	10003:1:1:1|598:1:10:1	0
30	30	10003:1:1:1|5303:1:1:1	503
