INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT
Index	Type	Start	End	Effect	Items	TabIndex	TabStart	TabEnd	Parame1	Parame2	SwfUrl	Notice
1	1	1	3	30000	599:1:10:1|158:1:10:1|647:1:100:1	1	1	3	-1	0	ChargeBigGift_1	3012
2	1	1	3	50000	50018:2:1:1|158:1:20:1|647:1:200:1	1	1	3	-1	1	ChargeBigGift_2	3012
3	1	1	3	100000	50059:2:1:1|158:1:30:1|647:1:300:1	1	1	3	-1	2	ChargeBigGift_3	3012
4	1	1	3	300000	20005:2:1:1|158:1:60:1|647:1:480:1	1	1	3	-1	3	ChargeBigGift_4	3012
5	1	1	3	500000	735:1:1:1|158:1:90:1|647:1:960:1	1	1	3	-1	4	ChargeBigGift_5	3012
6	2	1	7	1000	647:1:30:1|13:1:5:1|601:1:20:1	2	1	7	0	0	-1	3012
7	2	1	7	5000	647:1:100:1|13:1:18:1|601:1:60:1	2	1	7	1	0	-1	3012
8	2	1	7	1000	566:1:5:1|13:1:5:1|601:1:20:1	2	1	7	0	1	-1	3012
9	2	1	7	5000	564:1:58:1|13:1:18:1|953:1:1:1	2	1	7	1	1	-1	3012
10	2	1	7	1000	564:1:18:1|13:1:5:1|601:1:20:1	2	1	7	0	2	-1	3012
11	2	1	7	5000	570:1:3:1|13:1:18:1|601:1:60:1	2	1	7	1	2	-1	3012
12	2	1	7	1000	566:1:5:1|8004:3:1:1|601:1:20:1	2	1	7	0	3	-1	3012
13	2	1	7	5000	158:1:6:1|8006:3:1:1|601:1:60:1	2	1	7	1	3	-1	3012
14	2	1	7	1000	511:1:1:1|8104:3:1:1|601:1:20:1	2	1	7	0	4	-1	3012
15	2	1	7	5000	511:1:3:1|8106:3:1:1|584:1:1:1	2	1	7	1	4	-1	3012
16	2	1	7	1000	508:1:1:1|8204:3:1:1|601:1:20:1	2	1	7	0	5	-1	3012
17	2	1	7	5000	508:1:3:1|8206:3:1:1|601:1:60:1	2	1	7	1	5	-1	3012
18	2	1	7	1000	566:1:10:1|8304:3:1:1|601:1:20:1	2	1	7	0	6	-1	3012
19	2	1	7	5000	599:1:3:1|8306:3:1:1|20003:2:1:1	2	1	7	1	6	-1	3012
20	4	4	7	8888	566:1:20:1|572:1:10:1|564:1:28:1|647:1:40:1	3	4	7	-1	0	-1	3016
21	4	4	7	28888	715:1:1:1|511:1:2:1|508:1:2:1|647:1:60:1	3	4	7	-1	1	-1	3017
22	4	4	7	68888	5010:1:1:1|638:1:5:1|511:1:3:1|13:1:20:1	3	4	7	-1	2	-1	3018
23	4	4	7	128888	20007:2:1:1|638:1:10:1|599:1:4:1|647:1:120:1	3	4	7	-1	3	-1	3019
24	4	4	7	188888	20003:2:1:1|8106:3:1:1|720:1:10:1|599:1:6:1	3	4	7	-1	4	-1	3020
25	4	4	7	288888	10261:2:1:1|8107:3:1:1|710:1:12:1|599:1:8:1	3	4	7	-1	5	-1	3021
