INT	INT	INT	INT	INT	STRING	INT	INT	INT
Index	Type	Start	End	Effect	Items	Parame1	Parame2	Notice
1	1	1	3	1000	566:1:2:1|8104:3:1:1|601:1:20:1	0	0	3012
2	1	1	3	5000	565:1:5:1|710:1:1:1|158:1:1:1	1	0	3012
3	1	1	3	1000	566:1:3:1|8204:3:1:1|601:1:20:1	0	1	3012
4	1	1	3	5000	564:1:28:1|21:1:30:1|158:1:1:1	1	1	3012
5	1	1	3	1000	566:1:3:1|8304:3:1:1|601:1:20:1	0	2	3012
6	1	1	3	5000	565:1:5:1|710:1:1:1|158:1:1:1	1	2	3012
7	2	1	4	1000	566:1:2:1|8104:3:1:1|601:1:20:1	0	0	3012
8	2	1	4	5000	964:1:2:1|720:1:1:1|158:1:1:1	1	0	3012
9	2	1	4	1000	566:1:2:1|8204:3:1:1|601:1:20:1	0	1	3012
10	2	1	4	5000	565:1:5:1|21:1:30:1|158:1:1:1	1	1	3012
11	2	1	4	1000	566:1:3:1|8004:3:1:1|601:1:20:1	0	2	3012
12	2	1	4	5000	565:1:5:1|720:1:1:1|158:1:1:1	1	2	3012
13	2	1	4	1000	566:1:3:1|8304:3:1:1|601:1:20:1	0	3	3012
14	2	1	4	5000	964:1:2:1|799:1:1:1|158:1:1:1	1	3	3012
