INT	INT	STRING
Count	DungeonID	NeedItem
1	2005	-1
2	2005	572:1:1
3	2005	572:1:2
4	2005	572:1:4
5	2005	572:1:8
6	2005	572:1:16
7	2005	572:1:32
8	2005	572:1:64
9	2005	572:1:128
10	2005	572:1:256
11	2005	572:1:512
12	2005	572:1:1024
1	2012	-1
2	2012	572:1:2
3	2012	572:1:4
4	2012	572:1:8
5	2012	572:1:16
6	2012	572:1:32
7	2012	572:1:64
8	2012	572:1:128
9	2012	572:1:256
10	2012	572:1:512
11	2012	572:1:1024
12	2012	572:1:2048
1	2013	-1
2	2013	572:1:4
3	2013	572:1:8
4	2013	572:1:16
5	2013	572:1:32
6	2013	572:1:64
7	2013	572:1:128
8	2013	572:1:256
9	2013	572:1:512
10	2013	572:1:1024
11	2013	572:1:2048
12	2013	572:1:4096
1	2016	-1
2	2016	572:1:4
3	2016	572:1:8
4	2016	572:1:16
5	2016	572:1:32
6	2016	572:1:64
7	2016	572:1:128
8	2016	572:1:256
9	2016	572:1:512
10	2016	572:1:1024
11	2016	572:1:2048
12	2016	572:1:4096
