INT	INT	STRING	INT	INT
ID	Quaility	ItemID	Probability	DungeonID
1	1	284:1:1:0	1000	2005
2	1	284:1:1:0	1000	2005
3	1	284:1:1:0	1000	2005
4	1	284:1:1:0	1000	2005
5	1	284:1:1:0	1000	2005
6	1	284:1:1:0	1000	2005
7	1	284:1:1:0	1000	2005
8	1	284:1:1:0	1000	2005
9	1	284:1:1:0	1000	2005
10	1	284:1:1:0	1000	2005
11	2	411:1:5:0	10000	2005
12	2	412:1:5:0	10000	2005
13	2	413:1:5:0	10000	2005
14	2	414:1:5:0	10000	2005
15	2	415:1:5:0	10000	2005
16	2	417:1:5:0	10000	2005
17	2	502:1:1:0	10000	2005
18	2	505:1:1:0	10000	2005
19	2	507:1:1:0	10000	2005
20	2	510:1:1:0	10000	2005
21	2	564:1:2:0	10000	2005
22	3	30001:2:1:0	3000	2005
23	3	30002:2:1:0	3000	2005
24	3	30003:2:1:0	3000	2005
25	3	30004:2:1:0	3000	2005
26	3	30005:2:1:0	3000	2005
27	3	30006:2:1:0	3000	2005
28	3	30007:2:1:0	3000	2005
29	3	30008:2:1:0	3000	2005
30	3	30009:2:1:0	3000	2005
31	3	30010:2:1:0	3000	2005
32	3	30011:2:1:0	1500	2005
33	3	30012:2:1:0	1500	2005
34	3	508:1:1:0	3000	2005
35	3	511:1:1:0	3000	2005
36	4	50006:2:1:0	800	2005
37	4	50007:2:1:0	400	2005
38	4	50036:2:1:0	800	2005
39	4	50037:2:1:0	400	2005
40	5	50008:2:1:0	150	2005
41	5	50038:2:1:0	150	2005
42	1	285:1:1:0	1000	2012
43	1	285:1:1:0	1000	2012
44	1	285:1:1:0	1000	2012
45	1	285:1:1:0	1000	2012
46	1	285:1:1:0	1000	2012
47	1	285:1:1:0	1000	2012
48	1	285:1:1:0	1000	2012
49	1	285:1:1:0	1000	2012
50	1	285:1:1:0	1000	2012
51	1	285:1:1:0	1000	2012
52	2	411:1:10:0	10000	2012
53	2	412:1:10:0	10000	2012
54	2	413:1:10:0	10000	2012
55	2	414:1:10:0	10000	2012
56	2	415:1:10:0	10000	2012
57	2	417:1:10:0	10000	2012
58	2	502:1:2:0	10000	2012
59	2	505:1:2:0	10000	2012
60	2	507:1:2:0	10000	2012
61	2	510:1:2:0	10000	2012
62	2	564:1:4:0	10000	2012
63	3	30001:2:1:0	3000	2012
64	3	30002:2:1:0	3000	2012
65	3	30003:2:1:0	3000	2012
66	3	30004:2:1:0	3000	2012
67	3	30005:2:1:0	3000	2012
68	3	30006:2:1:0	3000	2012
69	3	30007:2:1:0	3000	2012
70	3	30008:2:1:0	3000	2012
71	3	30009:2:1:0	3000	2012
72	3	30010:2:1:0	3000	2012
73	3	30011:2:1:0	2000	2012
74	3	30012:2:1:0	2000	2012
75	3	30013:2:1:0	3000	2012
76	3	30014:2:1:0	3000	2012
77	3	30015:2:1:0	3000	2012
78	3	30016:2:1:0	3000	2012
79	3	30017:2:1:0	3000	2012
80	3	30018:2:1:0	3000	2012
81	3	30019:2:1:0	3000	2012
82	3	30020:2:1:0	3000	2012
83	3	30021:2:1:0	3000	2012
84	3	30022:2:1:0	3000	2012
85	3	30023:2:1:0	1500	2012
86	3	30024:2:1:0	1500	2012
87	3	410:1:1:0	6000	2012
88	3	508:1:2:0	3000	2012
89	3	511:1:2:0	3000	2012
90	4	50007:2:1:0	1000	2012
91	4	50008:2:1:0	500	2012
92	4	50037:2:1:0	1000	2012
93	4	50038:2:1:0	500	2012
94	5	50009:2:1:0	200	2012
95	5	50039:2:1:0	200	2012
96	5	406:1:1:0	100	2012
97	1	287:1:1:0	1000	2013
98	1	287:1:1:0	1000	2013
99	1	287:1:1:0	1000	2013
100	1	287:1:1:0	1000	2013
101	1	287:1:1:0	1000	2013
102	1	287:1:1:0	1000	2013
103	1	287:1:1:0	1000	2013
104	1	287:1:1:0	1000	2013
105	1	287:1:1:0	1000	2013
106	1	287:1:1:0	1000	2013
107	2	411:1:20:0	10000	2013
108	2	412:1:20:0	10000	2013
109	2	413:1:20:0	10000	2013
110	2	414:1:20:0	10000	2013
111	2	415:1:20:0	10000	2013
112	2	417:1:20:0	10000	2013
113	2	502:1:4:0	10000	2013
114	2	505:1:4:0	10000	2013
115	2	507:1:4:0	10000	2013
116	2	510:1:4:0	10000	2013
117	2	564:1:10:0	10000	2013
118	3	30013:2:1:0	3000	2013
119	3	30014:2:1:0	3000	2013
120	3	30015:2:1:0	3000	2013
121	3	30016:2:1:0	3000	2013
122	3	30017:2:1:0	3000	2013
123	3	30018:2:1:0	3000	2013
124	3	30019:2:1:0	3000	2013
125	3	30020:2:1:0	3000	2013
126	3	30021:2:1:0	3000	2013
127	3	30022:2:1:0	3000	2013
128	3	30023:2:1:0	2000	2013
129	3	30024:2:1:0	2000	2013
130	3	30025:2:1:0	3000	2013
131	3	30026:2:1:0	3000	2013
132	3	30027:2:1:0	3000	2013
133	3	30028:2:1:0	3000	2013
134	3	30029:2:1:0	3000	2013
135	3	30030:2:1:0	3000	2013
136	3	30031:2:1:0	3000	2013
137	3	30032:2:1:0	3000	2013
138	3	30033:2:1:0	3000	2013
139	3	30034:2:1:0	3000	2013
140	3	30035:2:1:0	1500	2013
141	3	30036:2:1:0	1500	2013
142	3	410:1:1:0	10000	2013
143	3	508:1:4:0	3000	2013
144	3	511:1:4:0	3000	2013
145	4	509:1:3:0	2000	2013
146	4	512:1:3:0	2000	2013
147	4	50008:2:1:0	1500	2013
148	4	50038:2:1:0	1500	2013
149	5	50009:2:1:0	600	2013
150	5	50039:2:1:0	600	2013
151	5	406:1:1:0	300	2013
200	1	257:1:1:0	1000	2016
201	1	257:1:1:0	1000	2016
202	1	257:1:1:0	1000	2016
203	1	257:1:1:0	1000	2016
