INT	INT	STRING	STRING	INT
Index	ChongZhi	Items	GongGao	Time
1	888	7007:1:30:1:0|7374:1:2:1:0|7114:1:4:1:0	0:67|0:75	7
2	1888	7265:1:10:1:0|7374:1:3:1:0|7114:1:6:1:0	0:68|0:76	7
3	3888	7042:1:5:1:0|7273:1:3:1:0|7272:1:10:1:0|7114:1:8:1:0	0:69|0:77	7
4	8888	13:5:1:1:0|7275:1:3:1:0|7272:1:10:1:0|7114:1:10:1:0	0:70|0:78	7
5	18888	7362:1:20:1:0|7007:1:100:1:0|7307:1:3:1:0|7114:1:12:1:0	0:71|0:79	7
6	38888	36:3:1:1:0|5:3:1:1:0|15:3:1:1:0|7114:1:14:1:0	0:72|0:80	7
7	88888	32:5:1:1:0|7277:1:10:1:0|7273:1:10:1:0|7114:1:16:1:0	0:73|0:81	7
8	188888	19:5:1:1:0|7277:1:20:1:0|7273:1:10:1:0|7114:1:20:1:0	0:74|0:82	7
9	200000			7
