INT	STRING	STRING	INT	INT	INT	INT
Type	Name	Index	Sort	Job	Level	MaxLevel
1	圣妖装备	1	1	0	100	9999
1	圣妖装备	1	1	0	100	9999	
2	圣妖【妖】	1	2	0	300	9999	
3	圣妖【魔】	1	3	0	400	9999	
4	圣妖【仙】	1	4	0	500	9999	
5	圣妖【神】	1	5	0	600	9999	
11	圣妖皇冠	1	11	0	300	9999	
12	守护【妖】	2	12	0	100	9999	
13	守护【魔】	2	13	0	300	9999	
14	守护【仙】	2	14	0	400	9999	
15	守护【神】	2	15	0	500	9999	
16	材料	3	20	0	200	9999	
17	等级丹	3	21	0	100	9999	
18	11阶妖器	4	18	0	400	9999	
19	12阶妖器	4	19	0	500	9999	
20	13阶妖器	4	20	0	550	9999	
21	生命宝石	5	21	0	300	9999	
22	攻击宝石	5	22	0	300	9999	
23	防御宝石	5	23	0	300	9999	
24	韧性宝石	5	24	0	300	9999	
25	灵羽【妖】	6	26	0	350	9999	
26	灵羽【魔】	6	27	0	400	9999	
27	灵羽【仙】	6	28	0	450	9999	
28	灵羽【神】	6	29	0	500	9999	
29	灵羽【圣】	6	30	0	550	9999	
30	10阶魔符	7	1	0	350	9999	
31	11阶魔符	7	2	0	350	9999	
32	12阶魔符	7	3	0	350	9999	
33	13阶魔符	7	4	0	350	9999	
38	14阶妖器	4	38	0	600	9999	
39	特戒装备	8	39	0	100	9999	
40	特戒【妖】	8	40	0	250	9999	
41	特戒【魔】	8	41	0	350	9999	
42	特戒【仙】	8	42	0	450	9999	
43	特戒【神】	8	43	0	550	9999	
44	共鸣【妖】	9	44	0	1	9999	
45	共鸣【魔】	9	45	0	1	9999	
46	共鸣【仙】	9	46	0	1	9999	
47	共鸣【神】	9	47	0	1	9999	
48	共鸣【圣】	9	48	0	1	9999	
