INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT
Index	Name	Type	Id	ShowName	Sort	Job	Quality	Level	MaxLevel
1	圣妖之盔	1	1	圣妖之盔	1	0	7	100	9999
2	圣妖之戒	1	2	圣妖之戒	2	0	7	100	9999
3	圣妖之带	1	3	圣妖之带	3	0	7	100	9999
4	圣妖之链	1	4	圣妖之链	4	0	7	100	9999
5	圣妖之镯	1	5	圣妖之镯	5	0	7	100	9999
6	圣妖之鞋	1	6	圣妖之鞋	6	0	7	100	9999
7	圣妖之刃【妖】	2	7	圣妖之刃【妖】	7	0	7	300	9999
8	圣妖之盔【妖】	2	8	圣妖之盔【妖】	8	0	7	300	9999
9	圣妖之戒【妖】	2	9	圣妖之戒【妖】	9	0	7	300	9999
10	圣妖之带【妖】	2	10	圣妖之带【妖】	10	0	7	300	9999
11	圣妖之甲【妖】	2	11	圣妖之甲【妖】	11	0	7	300	9999
12	圣妖之链【妖】	2	12	圣妖之链【妖】	12	0	7	300	9999
13	圣妖之镯【妖】	2	13	圣妖之镯【妖】	13	0	7	300	9999
14	圣妖之鞋【妖】	2	14	圣妖之鞋【妖】	14	0	7	300	9999
15	圣妖之刃【魔】	3	15	圣妖之刃【魔】	15	0	7	400	9999
16	圣妖之盔【魔】	3	16	圣妖之盔【魔】	16	0	7	400	9999
17	圣妖之戒【魔】	3	17	圣妖之戒【魔】	17	0	7	400	9999
18	圣妖之带【魔】	3	18	圣妖之带【魔】	18	0	7	400	9999
19	圣妖之甲【魔】	3	19	圣妖之甲【魔】	19	0	7	400	9999
20	圣妖之链【魔】	3	20	圣妖之链【魔】	20	0	7	400	9999
21	圣妖之镯【魔】	3	21	圣妖之镯【魔】	21	0	7	400	9999
22	圣妖之鞋【魔】	3	22	圣妖之鞋【魔】	22	0	7	400	9999
23	圣妖之刃【仙】	4	23	圣妖之刃【仙】	23	0	7	500	9999
24	圣妖之盔【仙】	4	24	圣妖之盔【仙】	24	0	7	500	9999
25	圣妖之戒【仙】	4	25	圣妖之戒【仙】	25	0	7	500	9999
26	圣妖之带【仙】	4	26	圣妖之带【仙】	26	0	7	500	9999
27	圣妖之甲【仙】	4	27	圣妖之甲【仙】	27	0	7	500	9999
28	圣妖之链【仙】	4	28	圣妖之链【仙】	28	0	7	500	9999
29	圣妖之镯【仙】	4	29	圣妖之镯【仙】	29	0	7	500	9999
30	圣妖之鞋【仙】	4	30	圣妖之鞋【仙】	30	0	7	500	9999
31	圣妖之刃【神】	5	31	圣妖之刃【神】	31	0	7	600	9999
32	圣妖之盔【神】	5	32	圣妖之盔【神】	32	0	7	600	9999
33	圣妖之戒【神】	5	33	圣妖之戒【神】	33	0	7	600	9999
34	圣妖之带【神】	5	34	圣妖之带【神】	34	0	7	600	9999
