INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT
Level	NeedItem	AddAttr	Probability	BloodPer	NoticeID	NameID	MoedelID	Name	Money
0	-1	4:0|5:0|6:0|7:0|1:0	15	0	0	1	1	Ò»½×:Ê¥Ñý×çÖä¡¤Óà½ý	500000
1	-1	4:20|5:50|6:12|7:30|1:1500	15	1	0	1	1	1½×1ÐÇ¡¤Óà½ý	500000
2	-1	4:40|5:100|6:24|7:60|1:3000	15	1	0	1	1	1½×2ÐÇ¡¤Óà½ý	500000
3	-1	4:60|5:150|6:36|7:90|1:4500	15	1	0	1	1	1½×3ÐÇ¡¤Óà½ý	500000
4	-1	4:80|5:200|6:48|7:120|1:6000	15	1	0	1	1	1½×4ÐÇ¡¤Óà½ý	500000
5	-1	4:100|5:250|6:60|7:150|1:7500	15	1	0	1	1	1½×5ÐÇ¡¤Óà½ý	500000
6	-1	4:120|5:300|6:72|7:180|1:9000	15	1	0	1	1	1½×6ÐÇ¡¤Óà½ý	500000
7	-1	4:140|5:350|6:84|7:210|1:10500	15	1	0	1	1	1½×7ÐÇ¡¤Óà½ý	500000
8	-1	4:160|5:400|6:96|7:240|1:12000	15	1	0	1	1	1½×8ÐÇ¡¤Óà½ý	500000
9	-1	4:180|5:450|6:108|7:270|1:13500	15	1	0	1	1	1½×9ÐÇ¡¤Óà½ý	500000
10	-1	4:200|5:500|6:120|7:300|1:15000	15	1	0	1	1	1½×10ÐÇ¡¤Óà½ý	1000000
11	-1	4:220|5:550|6:132|7:330|1:16500	15	2	424	2	2	2½×1ÐÇ¡¤·ÙÉí	1000000
12	-1	4:240|5:600|6:144|7:360|1:18000	15	2	0	2	2	2½×2ÐÇ¡¤·ÙÉí	1000000
13	-1	4:260|5:650|6:156|7:390|1:19500	15	2	0	2	2	2½×3ÐÇ¡¤·ÙÉí	1000000
14	-1	4:280|5:700|6:168|7:420|1:21000	15	2	0	2	2	2½×4ÐÇ¡¤·ÙÉí	1000000
15	-1	4:300|5:750|6:180|7:450|1:22500	15	2	0	2	2	2½×5ÐÇ¡¤·ÙÉí	1000000
16	-1	4:320|5:800|6:192|7:480|1:24000	15	2	0	2	2	2½×6ÐÇ¡¤·ÙÉí	1000000
17	-1	4:340|5:850|6:204|7:510|1:25500	15	2	0	2	2	2½×7ÐÇ¡¤·ÙÉí	1000000
18	-1	4:360|5:900|6:216|7:540|1:27000	15	2	0	2	2	2½×8ÐÇ¡¤·ÙÉí	1000000
19	-1	4:380|5:950|6:228|7:570|1:28500	15	2	0	2	2	2½×9ÐÇ¡¤·ÙÉí	1000000
20	-1	4:400|5:1000|6:240|7:600|1:30000	15	2	0	2	2	2½×10ÐÇ¡¤·ÙÉí	1500000
