INT	STRING	STRING	STRING	STRING	STRING	STRING
ItemId	DropLv	AddDropRate	BossNum	AddExp	MustDrop	MayDrop
7923	-1	3	0	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7924	-1	5	0	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7925	-1	10	0	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7926	1	20	0	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7927	-1	3	1	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7928	-1	5	1	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7929	-1	10	1	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7930	1	20	1	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7931	-1	3	0	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7932	-1	5	0	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7933	-1	10	0	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7934	1	20	0	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7935	-1	3	1	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7936	-1	5	1	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7937	-1	10	1	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7938	1	20	1	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7939	-1	3	0	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7940	-1	5	0	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7941	-1	10	0	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7942	1	20	0	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7943	-1	3	1	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7944	-1	5	1	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7945	-1	10	1	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7946	1	20	1	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7947	-1	3	0	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7948	-1	5	0	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7949	-1	10	0	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7950	1	20	0	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7951	-1	3	1	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7952	-1	5	1	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7953	-1	10	1	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7954	1	20	1	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7955	-1	3	0	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7956	-1	5	0	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7957	-1	10	0	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7958	1	20	0	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7959	-1	3	1	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7960	-1	5	1	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7961	-1	10	1	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7962	1	20	1	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7963	-1	3	0	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7964	-1	5	0	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7965	-1	10	0	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7966	1	20	0	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7967	-1	3	1	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7968	-1	5	1	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7969	-1	10	1	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7970	1	20	1	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7971	-1	3	0	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7972	-1	5	0	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7973	-1	10	0	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7974	1	20	0	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7975	-1	3	1	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7976	-1	5	1	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7977	-1	10	1	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7978	1	20	1	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7979	-1	3	0	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7980	-1	5	0	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7981	-1	10	0	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7982	1	20	0	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7983	-1	3	1	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7984	-1	5	1	20	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7985	-1	10	1	50	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7986	1	20	1	100	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7987	-1	3	0	10	1001:1:1|1002:1:1	1001:1:1|1002:1:1
