INT	INT	STRING	STRING	STRING	STRING	STRING	STRING
ChapterId	Difficulty	DropLv	DropRate	BossNum	BaseExp	MustDrop	MayDrop
1	1	1論	1%	1	0%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
1	2	1論	3%	1	50%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
1	3	1-2論	10%	1	100%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
2	1	2論	1%	1	0%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
2	2	2論	3%	1	50%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
2	3	2-3論	10%	1	100%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
3	1	2-3論	1%	1	0%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
3	2	2-3論	3%	1	50%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
3	3	2-3論	10%	1	100%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
4	1	3論	1%	1	0%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
4	2	3論	3%	1	50%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
4	3	3-4論	10%	1	100%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
5	1	3-4論	1%	1	0%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
5	2	3-4論	3%	1	50%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
5	3	4論	10%	1	100%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
6	1	4論	1%	1	0%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
6	2	4-5論	3%	1	50%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
6	3	4-5論	10%	1	100%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7	1	5論	1%	1	0%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7	2	5論	3%	1	50%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
7	3	5-6論	10%	1	100%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
8	1	5-6論	1%	1	0%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
8	2	5-6論	3%	1	50%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
8	3	6論	10%	1	100%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
9	1	6論	1%	1	0%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
9	2	6論	3%	1	50%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
9	3	6-7論	10%	1	100%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
10	1	6-7論	1%	1	0%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
10	2	6-7論	3%	1	50%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
10	3	7論	10%	1	100%	1001:1:1|1002:1:1	1001:1:1|1002:1:1
