INT	STRING	INT	INT	INT	STRING
Mid	Harvest	DisplayId	Time	Rate	Harvest1
2014	11002:4737|9901:3158|11003:2105	9801	14400	10000	11001:0|11002:2625|9901:2625|11003:1750|1:173|101:173|201:173|301:173|501:432|601:388|701:350|801:315|1001:189|1101:170|1201:153|1301:138|1501:55|401:78|901:35|1401:9
2016	11002:4737|9901:3158|11003:2105	9801	14400	10000	11001:0|11002:2625|9901:2625|11003:1750|1:173|101:173|201:173|301:173|501:432|601:388|701:350|801:315|1001:189|1101:170|1201:153|1301:138|1501:55|401:78|901:35|1401:9
2017	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
2018	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
2019	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:168|101:168|201:168|301:168|501:421|601:379|701:341|801:307|1001:184|1101:166|1201:149|1301:134|1501:54|1601:37|1701:26|401:76|901:42|1401:13
2020	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:168|101:168|201:168|301:168|501:421|601:379|701:341|801:307|1001:184|1101:166|1201:149|1301:134|1501:54|1601:37|1701:26|401:76|901:42|1401:13
2115	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:2970|401:30
2116	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:1060|101:1908|401:32
2117	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:843|101:758|201:1365|401:34
2118	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:711|101:640|201:576|301:1037|401:36
2119	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:664|101:597|201:538|301:484|501:677|401:33|901:7
2120	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:608|101:547|201:492|301:443|501:310|601:558|401:30|901:12
2122	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:564|101:508|201:457|301:411|501:288|601:259|701:466|401:28|901:17
2123	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:523|101:470|201:423|301:381|501:267|601:240|701:216|801:194|1001:233|401:26|901:21|1401:5
2124	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:493|101:443|201:399|301:359|501:251|601:226|701:204|801:183|1001:110|1101:99|1201:178|401:30|901:20|1401:5
2125	11002:4737|9901:3158|11003:2105	9801	14400	10000	11001:0|11002:2625|9901:2625|11003:1750|1:173|101:173|201:173|301:173|501:432|601:388|701:350|801:315|1001:189|1101:170|1201:153|1301:138|1501:55|401:78|901:35|1401:9
2126	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
9997	11002:4737|9901:3158|11003:2105	9801	14400	10000	11001:0|11002:2625|9901:2625|11003:1750|1:173|101:173|201:173|301:173|501:432|601:388|701:350|801:315|1001:189|1101:170|1201:153|1301:138|1501:55|401:78|901:35|1401:9
10004	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:2970|401:30
10005	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:1060|101:1908|401:32
10006	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:843|101:758|201:1365|401:34
10007	11001:5000|11002:3000|9901:1500|11003:500	9801	3600	10000	11001:3316|11002:2211|9901:1105|11003:368|1:711|101:640|201:576|301:1037|401:36
10008	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:664|101:597|201:538|301:484|501:677|401:33|901:7
10009	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:608|101:547|201:492|301:443|501:310|601:558|401:30|901:12
10010	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:564|101:508|201:457|301:411|501:288|601:259|701:466|401:28|901:17
10011	11001:2553|11002:3830|9901:2553|11003:1064	9801	7200	10000	11001:1750|11002:2625|9901:1750|11003:875|1:530|101:477|201:430|301:387|501:271|601:244|701:219|801:394|401:27|901:21
10012	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:523|101:470|201:423|301:381|501:267|601:240|701:216|801:194|1001:233|401:26|901:21|1401:5
10013	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:507|101:456|201:410|301:369|501:258|601:233|701:209|801:188|1001:113|1101:203|401:28|901:20|1401:5
10014	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:493|101:443|201:399|301:359|501:251|601:226|701:204|801:183|1001:110|1101:99|1201:178|401:30|901:20|1401:5
10015	11002:5291|9901:3175|11003:1534	9801	10800	10000	11001:0|11002:3000|9901:2500|11003:1500|1:481|101:433|201:390|301:351|501:246|601:221|701:199|801:179|1001:107|1101:97|1201:87|1301:153|401:31|901:19|1401:5
10016	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
10017	11002:3333|9901:3333|11003:3333	9801	14400	10000	11001:0|11002:2333|9901:2333|11003:2333|1:170|101:170|201:170|301:170|501:426|601:383|701:345|801:310|1001:186|1101:168|1201:151|1301:136|1501:54|1601:38|401:77|901:34|1401:13
