INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	Type	Rate	ItemClass	ItemId	ItemCount	BinDing	GongGao	Order
1	1	300	1	13	1	1	-1	1
2	1	2000	1	13	2	1	-1	2
3	1	1000	1	13	3	1	-1	3
4	1	2000	1	13	4	1	-1	4
5	1	300	1	13	5	1	-1	5
6	1	2000	1	13	6	1	-1	6
7	1	2000	1	13	7	1	-1	7
8	1	2000	1	13	8	1	-1	8
9	1	250	1	13	9	1	-1	9
10	2	4000	3	8107	1	1	-1	1
11	2	6000	8	36	1	1	-1	2
12	2	6000	1	564	100	1	-1	3
13	2	4000	3	8207	1	1	-1	4
14	2	1000	8	76	1	1	-1	5
15	2	4000	3	8307	1	1	-1	6
16	2	2000	1	645	20	1	-1	7
17	2	4000	3	8007	1	1	-1	8
18	2	2000	8	56	1	1	-1	9
19	3	4000	3	8107	1	1	-1	1
20	3	300	8	96	1	1	-1	2
21	3	6000	1	564	100	1	-1	3
22	3	4000	3	8207	1	1	-1	4
23	3	1000	8	76	1	1	-1	5
24	3	4000	3	8307	1	1	-1	6
25	3	2000	1	645	20	1	-1	7
26	3	4000	3	8007	1	1	-1	8
27	3	2000	8	56	1	1	-1	9
28	4	4000	3	8107	1	1	-1	1
29	4	6000	8	36	1	1	-1	2
30	4	6000	1	564	100	1	-1	3
31	4	4000	3	8207	1	1	-1	4
32	4	1000	8	76	1	1	-1	5
33	4	4000	3	8307	1	1	-1	6
34	4	2000	1	645	20	1	-1	7
35	4	4000	3	8007	1	1	-1	8
36	4	2000	8	56	1	1	-1	9
