INT	INT	INT	INT
Index	ItemId	ItemClass	Special
1	303	1	0
2	304	1	1
3	10252	2	0
4	10253	2	0
5	10254	2	0
6	10255	2	0
7	10257	2	0
8	10258	2	0
9	10259	2	0
10	10260	2	0
11	10262	2	0
12	10263	2	0
13	10264	2	0
14	10265	2	0
15	10267	2	0
16	10268	2	0
17	10269	2	0
18	10270	2	0
19	10272	2	0
20	10273	2	0
21	10274	2	0
22	10275	2	0
23	10277	2	0
24	10278	2	0
25	10279	2	0
26	10280	2	0
27	10282	2	0
28	10283	2	0
29	10284	2	0
30	10285	2	0
31	10287	2	0
32	10288	2	0
33	10289	2	0
34	10290	2	0
35	10292	2	0
36	10293	2	0
37	10294	2	0
38	10295	2	0
39	10297	2	0
40	10298	2	0
41	10299	2	0
42	10300	2	0
43	10302	2	0
44	10303	2	0
45	10304	2	0
46	10305	2	0
47	10307	2	0
48	10308	2	0
49	10309	2	0
50	10310	2	0
51	10312	2	0
52	10313	2	0
53	10314	2	0
54	10315	2	0
55	10317	2	0
56	10318	2	0
57	10319	2	0
58	10320	2	0
59	10322	2	1
60	10323	2	1
61	10324	2	1
62	10325	2	1
63	10327	2	1
64	10328	2	1
65	10329	2	1
66	10330	2	1
67	10332	2	1
68	10333	2	1
69	10334	2	1
70	10335	2	1
71	10337	2	1
72	10338	2	1
73	10339	2	1
74	10340	2	1
75	10342	2	1
76	10343	2	1
77	10344	2	1
78	10345	2	1
79	10347	2	1
80	10348	2	1
81	10349	2	1
82	10350	2	1
83	10352	2	1
84	10353	2	1
85	10354	2	1
86	10355	2	1
87	10357	2	1
88	10358	2	1
89	10359	2	1
90	10360	2	1
91	10362	2	1
92	10363	2	1
93	10364	2	1
94	10365	2	1
95	10367	2	1
96	10368	2	1
97	10369	2	1
98	10370	2	1
99	10372	2	1
100	10373	2	1
101	10374	2	1
102	10375	2	1
103	10377	2	1
104	10378	2	1
105	10379	2	1
106	10380	2	1
107	10382	2	1
108	10383	2	1
109	10384	2	1
110	10385	2	1
111	10387	2	1
112	10388	2	1
113	10389	2	1
114	10390	2	1
115	10392	2	1
116	10393	2	1
117	10394	2	1
118	10395	2	1
119	10397	2	1
120	10398	2	1
121	10399	2	1
122	10400	2	1
123	10201	2	0
124	10206	2	0
125	10211	2	0
126	10216	2	0
127	10221	2	0
128	10226	2	0
129	10231	2	1
130	10236	2	1
131	10241	2	1
132	10246	2	1
133	10251	2	1
134	10256	2	1
135	10261	2	1
136	10266	2	1
137	10271	2	1
138	10276	2	1
139	10281	2	1
140	10286	2	1
141	10291	2	1
142	10296	2	1
143	10301	2	1
144	10306	2	1
145	10311	2	1
146	10316	2	1
147	10321	2	1
148	10326	2	1
149	10331	2	1
150	10336	2	1
151	10341	2	1
152	10346	2	1
153	30001	2	0
154	30002	2	0
155	30003	2	0
156	30004	2	0
157	30005	2	0
158	30006	2	0
159	30007	2	0
160	30008	2	0
161	30009	2	0
162	30010	2	0
163	30011	2	0
164	30012	2	0
165	50005	2	0
166	50006	2	0
167	50007	2	1
168	50008	2	1
169	50009	2	1
170	50015	2	0
171	50016	2	0
172	50017	2	1
173	50018	2	1
174	50019	2	1
175	50025	2	0
176	50026	2	0
177	50027	2	1
178	50028	2	1
179	50029	2	1
180	50035	2	0
181	50036	2	0
182	50037	2	1
183	50038	2	1
184	50039	2	1
185	50045	2	0
186	50046	2	0
187	50047	2	1
188	50048	2	1
189	50049	2	1
190	50055	2	0
191	50056	2	0
192	50057	2	1
193	50058	2	1
194	50059	2	1
195	638	1	0
196	619	1	0
197	620	1	0
198	621	1	0
199	623	1	0
200	624	1	0
201	625	1	0
202	627	1	0
203	628	1	0
204	629	1	0
205	631	1	0
206	632	1	0
207	633	1	0
208	639	1	0
209	640	1	0
210	641	1	0
211	642	1	0
212	643	1	0
213	40010	2	0
214	40011	2	0
215	40012	2	0
216	40013	2	0
217	40014	2	0
218	40015	2	0
219	305	1	1
220	10402	2	1
221	10403	2	1
222	10404	2	1
223	10405	2	1
224	10407	2	1
225	10408	2	1
226	10409	2	1
227	10410	2	1
228	10412	2	1
229	10413	2	1
230	10414	2	1
231	10415	2	1
232	10417	2	1
233	10418	2	1
234	10419	2	1
235	10420	2	1
236	52001	2	1
237	52101	2	1
238	52201	2	1
239	52301	2	1
240	52401	2	1
241	52501	2	1
242	52601	2	1
243	52701	2	1
244	52801	2	1
245	52002	2	1
246	52102	2	1
247	52202	2	1
248	52302	2	1
249	52402	2	1
250	52502	2	1
251	52602	2	1
252	52702	2	1
253	52802	2	1
254	52003	2	1
255	52103	2	1
256	52203	2	1
257	52303	2	1
258	52403	2	1
259	52503	2	1
260	52603	2	1
261	52703	2	1
262	52803	2	1
263	52004	2	1
264	52104	2	1
265	52204	2	1
266	52304	2	1
267	52404	2	1
268	52504	2	1
269	52604	2	1
270	52704	2	1
271	52804	2	1
272	52005	2	1
273	52105	2	1
274	52205	2	1
275	52305	2	1
276	52405	2	1
277	52505	2	1
278	52605	2	1
279	52705	2	1
280	52805	2	1
281	52006	2	1
282	52106	2	1
283	52206	2	1
284	52306	2	1
285	52406	2	1
286	52506	2	1
287	52606	2	1
288	52706	2	1
289	52806	2	1
290	52007	2	1
291	52107	2	1
292	52207	2	1
293	52307	2	1
294	52407	2	1
295	52507	2	1
296	52607	2	1
297	52707	2	1
298	52807	2	1
299	52008	2	1
300	52108	2	1
301	52208	2	1
302	52308	2	1
303	52408	2	1
304	52508	2	1
305	52608	2	1
306	52708	2	1
307	52808	2	1
308	52009	2	1
309	52109	2	1
310	52209	2	1
311	52309	2	1
312	52409	2	1
313	52509	2	1
314	52609	2	1
315	52709	2	1
316	52809	2	1
317	776	1	1
318	928	1	1
323	53001	2	1
324	53002	2	1
325	53003	2	1
326	53004	2	1
327	53005	2	1
328	53006	2	1
329	798	1	1
330	797	1	1
