INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	STRING	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING
Id	Name	Type	Grade	NeedLevel	Job	Quality	SuitId1	SuitId2	Price	AttrAddon	AttrElement	desc	url	drop_url	popedom	hide_layer	effect_layer	male_avatar	acquire	auction	QualityShow	LuckValue	DropValve	RecoveryType	RecoveryValue	IFNotice	DropItemEffect	Recovery	LeftLabel	RecoveryCheack	CompatibleEquip	UpLevelMax	BindRedeem	RongHeAttr	WingEquipPolishMaxLv	CombiAttr	MoFuScore	LimitDays	GongMingLevel	WingEquipRefineMaxLv	XinMoExp	PutToXinMoBag	IsMix	Param	SkillDes
10001	神谕战剑	0	1	1	1	1	-1	-1	50	4:67|5:167|1:1000|45:1000	-1	大师的杰作	20001	24	0	0	-1	0:zhanshi4_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	1	#F5E8BF|蓝色	0	0	6	50	0	0	0	0	0	-1	-1	0	4:67|5:167|1:1000|45:1000	0		0	8	0	0	0	0	1	-1	-1
10002	神谕头盔	1	1	1	1	1	-1	-1	20	4:22|5:55	-1	大师的杰作	20003	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	3	#F5E8BF|蓝色	0	0	6	20	0	0	0	0	0	-1	-1	0	4:22|5:55	0		0	8	0	0	0	0	1	-1	-1
10003	神谕战手	3	1	1	1	1	-1	-1	20	4:15|5:38|6:10|7:30	-1	大师的杰作	20004	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|蓝色	0	0	6	20	0	0	0	0	0	-1	-1	0	4:15|5:38|6:10|7:30	0		0	8	0	0	0	0	1	-1	-1
10004	神谕战戒	7	1	1	1	1	-1	-1	20	4:15|5:38|6:10|7:30	-1	大师的杰作	20002	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|蓝色	0	0	6	20	0	0	0	0	0	-1	-1	0	4:15|5:38|6:10|7:30	0		0	8	0	0	0	0	1	-1	-1
10005	神谕腰带	4	1	1	1	1	-1	-1	20	4:13|5:33|6:26|7:66	-1	大师的杰作	20007	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	4	#F5E8BF|蓝色	0	0	6	20	0	0	0	0	0	-1	-1	0	4:13|5:33|6:26|7:66	0		0	8	0	0	0	0	1	-1	-1
10006	神谕战甲	2	1	1	1	1	-1	-1	50	4:22|5:56|6:53|7:133|1:2000	-1	大师的杰作	20008	24	0	0	-1	0:zhanshi6_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	2	#F5E8BF|蓝色	0	0	6	50	0	0	0	0	0	-1	-1	0	4:22|5:56|6:53|7:133|1:2000	0		0	8	0	0	0	0	1	-1	-1
10007	神谕项链	6	1	1	1	1	-1	-1	20	4:22|5:55	-1	大师的杰作	20005	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	5	#F5E8BF|蓝色	0	0	6	20	0	0	0	0	0	-1	-1	0	4:22|5:55	0		0	8	0	0	0	0	1	-1	-1
10008	神谕战镯	3	1	1	1	1	-1	-1	20	4:15|5:38|8:4	-1	大师的杰作	20004	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|蓝色	0	0	6	20	0	0	0	0	0	-1	-1	0	4:15|5:38|8:4	0		0	8	0	0	0	0	1	-1	-1
10009	神谕战指	7	1	1	1	1	-1	-1	20	4:15|5:38|9:4	-1	大师的杰作	20002	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|蓝色	0	0	6	20	0	0	0	0	0	-1	-1	0	4:15|5:38|9:4	0		0	8	0	0	0	0	1	-1	-1
