INT	INT	STRING	STRING	STRING	STRING	STRING
EquipId	Weight	MaxCount	FrontList	BackList	SpecialList	BestList
2001	1	1:10000	1:0|21:0|601:10000	101:0|121:0|604:10000	-1	-1
2002	1	1:10000	1:0|21:0|601:10000	101:0|121:0|604:10000	-1	-1
2003	1	1:10000	201:0|241:0|601:10000	281:0|321:0|604:10000	-1	-1
2004	1	1:10000	201:0|241:0|601:10000	281:0|321:0|604:10000	-1	-1
2005	1	1:10000	201:0|241:0|601:10000	281:0|321:0|604:10000	-1	-1
2006	1	1:10000	201:0|241:0|601:10000	281:0|321:0|604:10000	-1	-1
2007	1	1:10000	201:0|241:0|601:10000	281:0|321:0|604:10000	-1	-1
2011	1	1:10000	1:0|21:0|601:10000	101:0|121:0|604:10000	-1	-1
2012	1	1:10000	1:0|21:0|601:10000	101:0|121:0|604:10000	-1	-1
2013	1	1:10000	201:0|241:0|601:10000	281:0|321:0|604:10000	-1	-1
2014	1	1:10000	201:0|241:0|601:10000	281:0|321:0|604:10000	-1	-1
2015	1	1:10000	201:0|241:0|601:10000	281:0|321:0|604:10000	-1	-1
2016	1	1:10000	201:0|241:0|601:10000	281:0|321:0|604:10000	-1	-1
2017	1	1:10000	201:0|241:0|601:10000	281:0|321:0|604:10000	-1	-1
2021	1	1:10000	1:0|21:0|601:10000	101:0|121:0|604:10000	-1	-1
2022	1	1:10000	1:0|21:0|601:10000	101:0|121:0|604:10000	-1	-1
2023	1	1:10000	201:0|241:0|601:10000	281:0|321:0|604:10000	-1	-1
2024	1	1:10000	201:0|241:0|601:10000	281:0|321:0|604:10000	-1	-1
2025	1	1:10000	201:0|241:0|601:10000	281:0|321:0|604:10000	-1	-1
2026	1	1:10000	201:0|241:0|601:10000	281:0|321:0|604:10000	-1	-1
2027	1	1:10000	201:0|241:0|601:10000	281:0|321:0|604:10000	-1	-1
2001	2	1:10000	1:0|21:10000|601:0	101:0|121:10000|604:0	-1	-1
2002	2	1:10000	1:0|21:10000|601:0	101:0|121:10000|604:0	-1	-1
2003	2	1:10000	201:0|241:10000|601:0	281:0|321:10000|604:0	-1	-1
2004	2	1:10000	201:0|241:10000|601:0	281:0|321:10000|604:0	-1	-1
2005	2	1:10000	201:0|241:10000|601:0	281:0|321:10000|604:0	-1	-1
2006	2	1:10000	201:0|241:10000|601:0	281:0|321:10000|604:0	-1	-1
2007	2	1:10000	201:0|241:10000|601:0	281:0|321:10000|604:0	-1	-1
2011	2	1:10000	1:0|21:10000|601:0	101:0|121:10000|604:0	-1	-1
2012	2	1:10000	1:0|21:10000|601:0	101:0|121:10000|604:0	-1	-1
2013	2	1:10000	201:0|241:10000|601:0	281:0|321:10000|604:0	-1	-1
2014	2	1:10000	201:0|241:10000|601:0	281:0|321:10000|604:0	-1	-1
2015	2	1:10000	201:0|241:10000|601:0	281:0|321:10000|604:0	-1	-1
2016	2	1:10000	201:0|241:10000|601:0	281:0|321:10000|604:0	-1	-1
2017	2	1:10000	201:0|241:10000|601:0	281:0|321:10000|604:0	-1	-1
2021	2	1:10000	1:0|21:10000|601:0	101:0|121:10000|604:0	-1	-1
2022	2	1:10000	1:0|21:10000|601:0	101:0|121:10000|604:0	-1	-1
2023	2	1:10000	201:0|241:10000|601:0	281:0|321:10000|604:0	-1	-1
2024	2	1:10000	201:0|241:10000|601:0	281:0|321:10000|604:0	-1	-1
2025	2	1:10000	201:0|241:10000|601:0	281:0|321:10000|604:0	-1	-1
2026	2	1:10000	201:0|241:10000|601:0	281:0|321:10000|604:0	-1	-1
2027	2	1:10000	201:0|241:10000|601:0	281:0|321:10000|604:0	-1	-1
2001	3	1:5000|2:5000	1:1000|21:3000|601:6000	101:1000|121:3000|604:6000	-1	-1
2002	3	1:5000|2:5000	1:1000|21:3000|601:6000	101:1000|121:3000|604:6000	-1	-1
2003	3	1:5000|2:5000	201:1000|241:3000|601:6000	281:1000|321:3000|604:6000	-1	-1
2004	3	1:5000|2:5000	201:1000|241:3000|601:6000	281:1000|321:3000|604:6000	-1	-1
