INT	INT	STRING	INT	INT	INT	INT	INT	INT
Type	Id	Items	Glod	GroupId	Num	OpenServerDay	RongJie	NPCId
2	20001	565:1:100:1	100000	0	0	0	0	0
2	20002	565:1:50:1	100000	0	0	0	0	0
2	20003	565:1:50:1	100000	0	0	0	0	0
2	20004	565:1:50:1	100000	0	0	0	0	0
2	20005	565:1:100:1	100000	0	0	0	0	0
2	20006	565:1:50:1	100000	0	0	0	0	0
2	20007	565:1:50:1	100000	0	0	0	0	0
2	20008	565:1:50:1	100000	0	0	0	0	0
2	20009	565:1:200:1	200000	0	0	0	0	0
2	20010	565:1:100:1	200000	0	0	0	0	0
2	20011	565:1:100:1	200000	0	0	0	0	0
2	20012	565:1:100:1	200000	0	0	0	0	0
2	20013	565:1:200:1	200000	0	0	0	0	0
2	20014	565:1:100:1	200000	0	0	0	0	0
2	20015	565:1:100:1	200000	0	0	0	0	0
2	20016	565:1:100:1	200000	0	0	0	0	0
2	20017	565:1:400:1	400000	0	0	0	0	0
2	20018	565:1:200:1	400000	0	0	0	0	0
2	20019	565:1:200:1	400000	0	0	0	0	0
2	20020	565:1:200:1	400000	0	0	0	0	0
2	20021	565:1:400:1	400000	0	0	0	0	0
2	20022	565:1:200:1	400000	0	0	0	0	0
2	20023	565:1:200:1	400000	0	0	0	0	0
2	20024	565:1:200:1	400000	0	0	0	0	0
2	20025	565:1:700:1	800000	0	0	0	0	0
2	20026	565:1:350:1	800000	0	0	0	0	0
2	20027	565:1:350:1	800000	0	0	0	0	0
2	20028	565:1:350:1	800000	0	0	0	0	0
2	20029	565:1:700:1	800000	0	0	0	0	0
2	20030	565:1:350:1	800000	0	0	0	0	0
2	20031	565:1:350:1	800000	0	0	0	0	0
2	20032	565:1:350:1	800000	0	0	0	0	0
2	20033	565:1:1000:1	1600000	0	0	0	0	0
2	20034	565:1:500:1	1600000	0	0	0	0	0
2	20035	565:1:500:1	1600000	0	0	0	0	0
2	20036	565:1:500:1	1600000	0	0	0	0	0
2	20037	565:1:1000:1	1600000	0	0	0	0	0
2	20038	565:1:500:1	1600000	0	0	0	0	0
2	20039	565:1:500:1	1600000	0	0	0	0	0
2	20040	565:1:500:1	1600000	0	0	0	0	0
8	21	648:1:7:1	3000	0	0	0	0	0
8	22	648:1:7:1	3200	0	0	0	0	0
8	23	648:1:7:1	3400	0	0	0	0	0
8	24	648:1:9:1	3600	0	0	0	0	0
8	25	648:1:10:1	3800	0	0	0	0	0
