INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	Type	Param	AddAttr1	AddValue1	AddAttr2	AddValue2	AddAttr3	AddValue3	AddAttr4	AddValue4	AddAttr5	AddValue5	AddAttr6	AddValue6	AddAttr7	AddValue7	AddAttr8	AddValue8	AddAttr9	AddValue9	AddAttr10	AddValue10
1	1	2	1	616	2	80	3	80	4	40	5	40	6	40	7	40	-1	-1	-1	-1	-1	-1
2	1	4	1	770	2	100	3	100	4	50	5	50	6	50	7	50	-1	-1	-1	-1	-1	-1
3	1	6	1	962	2	125	3	125	4	62	5	62	6	62	7	62	-1	-1	-1	-1	-1	-1
4	1	8	1	1201	2	156	3	156	4	78	5	78	6	78	7	78	-1	-1	-1	-1	-1	-1
5	1	10	1	1501	2	195	3	195	4	97	5	97	6	97	7	97	-1	-1	-1	-1	-1	-1
6	2	50	1	1871	2	243	3	243	4	121	5	121	6	121	7	121	-1	-1	-1	-1	-1	-1
7	2	100	1	2333	2	303	3	303	4	151	5	151	6	151	7	151	-1	-1	-1	-1	-1	-1
8	2	150	1	2910	2	378	3	378	4	189	5	189	6	189	7	189	-1	-1	-1	-1	-1	-1
9	2	200	1	3634	2	472	3	472	4	236	5	236	6	236	7	236	-1	-1	-1	-1	-1	-1
10	2	250	1	4543	2	590	3	590	4	295	5	295	6	295	7	295	-1	-1	-1	-1	-1	-1
