INT	INT	STRING	STRING	STRING
Index	Level	AddAttr	Desc1	Desc2
1	6	4:1000|5:1000|6:1000|7:1000	所有装备部位强化+6	攻击：1000-1000/n防御：1000-1000
2	7	4:2000|5:2000|6:2000|7:2000	所有装备部位强化+7	攻击：2000-2000/n防御：2000-2000
3	8	4:3500|5:3500|6:3500|7:3500	所有装备部位强化+8	攻击：3500-3500/n防御：3500-3500
4	9	4:5500|5:5500|6:5500|7:5500	所有装备部位强化+9	攻击：5500-5500/n防御：5500-5500
5	10	4:8000|5:8000|6:8000|7:8000|20:20	所有装备部位强化+10	攻击：8000-8000/n防御：8000-8000/n攻击加成：2%
6	11	4:11000|5:11000|6:11000|7:11000|20:40	所有装备部位强化+11	攻击：11000-11000/n防御：11000-11000/n攻击加成：4%
7	12	4:14500|5:14500|6:14500|7:14500|20:70	所有装备部位强化+12	攻击：14500-14500/n防御：14500-14500/n攻击加成：7%
8	13	4:18500|5:18500|6:18500|7:18500|20:100	所有装备部位强化+13	攻击：18500-18500/n防御：18500-18500/n攻击加成：10%
9	14	4:23000|5:23000|6:23000|7:23000|20:180	所有装备部位强化+14	攻击：23000-23000/n防御：23000-23000/n攻击加成：18%
10	15	4:28000|5:28000|6:28000|7:28000|20:300	所有装备部位强化+15	攻击：28000-28000/n防御：28000-28000/n攻击加成：30%
11	21	4:29500|5:29500|6:29500|7:29500|20:300	所有装备部位强化+6S	攻击：29500-29500/n防御：29500-29500/n攻击加成：30%
12	22	4:31000|5:31000|6:31000|7:31000|20:300	所有装备部位强化+7S	攻击：31000-31000/n防御：31000-31000/n攻击加成：30%
13	23	4:33250|5:33250|6:33250|7:33250|20:300	所有装备部位强化+8S	攻击：33250-33250/n防御：33250-33250/n攻击加成：30%
14	24	4:36250|5:36250|6:36250|7:36250|20:300	所有装备部位强化+9S	攻击：36250-36250/n防御：36250-36250/n攻击加成：30%
15	25	4:40000|5:40000|6:40000|7:40000|20:300|21:20	所有装备部位强化+10S	攻击：40000-40000/n防御：40000-40000/n攻击加成：30%/n防御加成：2%
16	26	4:44500|5:44500|6:44500|7:44500|20:300|21:40	所有装备部位强化+11S	攻击：44500-44500/n防御：44500-44500/n攻击加成：30%/n防御加成：4%
17	27	4:49750|5:49750|6:49750|7:49750|20:300|21:70	所有装备部位强化+12S	攻击：49750-49750/n防御：49750-49750/n攻击加成：30%/n防御加成：7%
18	28	4:55750|5:55750|6:55750|7:55750|20:300|21:100	所有装备部位强化+13S	攻击：55750-55750/n防御：55750-55750/n攻击加成：30%/n防御加成：10%
19	29	4:62500|5:62500|6:62500|7:62500|20:300|21:180	所有装备部位强化+14S	攻击：62500-62500/n防御：62500-62500/n攻击加成：30%/n防御加成：18%
20	30	4:70000|5:70000|6:70000|7:70000|20:300|21:300	所有装备部位强化+15S	攻击：70000-70000/n防御：70000-70000/n攻击加成：30%/n防御加成：30%
