INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT
Id	Type	EquipId	RecoveryType	RecoveryValue	BuyBackType	BuyBackValue	OpenDay	EquipSuitName	LimitNum	Specail	RecoveryGongGao	BuyBackGongGao	DisplayDay
1	1	10251	1	5000	1	6500	-1	-1	99999	0	451	452	0
2	1	10261	1	10000	1	13000	-1	-1	99999	0	451	452	0
3	1	10271	1	20000	1	26000	-1	-1	99999	1	451	452	0
4	1	10281	1	30000	1	39000	-1	-1	99999	1	451	452	0
5	1	10291	1	50000	1	65000	-1	-1	99999	1	451	452	0
6	1	10301	1	68888	1	89554	-1	-1	99999	1	451	452	0
7	1	10311	1	88888	1	115554	-1	-1	99999	1	451	452	0
8	1	10321	1	108888	1	141554	-1	-1	99999	1	451	452	0
9	1	10331	1	138888	1	180554	-1	-1	99999	1	451	452	0
10	1	10341	1	168888	1	219554	-1	-1	99999	1	451	452	0
11	1	10256	1	5000	1	6500	-1	-1	99999	0	451	452	0
12	1	10266	1	10000	1	13000	-1	-1	99999	0	451	452	0
13	1	10276	1	20000	1	26000	-1	-1	99999	1	451	452	0
14	1	10286	1	30000	1	39000	-1	-1	99999	1	451	452	0
15	1	10296	1	50000	1	65000	-1	-1	99999	1	451	452	0
16	1	10306	1	68888	1	89554	-1	-1	99999	1	451	452	0
17	1	10316	1	88888	1	115554	-1	-1	99999	1	451	452	0
18	1	10326	1	108888	1	141554	-1	-1	99999	1	451	452	0
19	1	10336	1	138888	1	180554	-1	-1	99999	1	451	452	0
20	1	10346	1	168888	1	219554	-1	-1	99999	1	451	452	0
21	1	10353	1	2000	1	2600	-1	-1	99999	0	451	452	0
22	1	10354	1	2000	1	2600	-1	-1	99999	0	451	452	0
23	1	10358	1	2000	1	2600	-1	-1	99999	0	451	452	0
24	1	10359	1	2000	1	2600	-1	-1	99999	0	451	452	0
25	1	10363	1	5000	1	6500	-1	-1	99999	1	451	452	0
26	1	10364	1	5000	1	6500	-1	-1	99999	1	451	452	0
27	1	10368	1	5000	1	6500	-1	-1	99999	1	451	452	0
28	1	10369	1	5000	1	6500	-1	-1	99999	1	451	452	0
29	1	10373	1	10000	1	13000	-1	-1	99999	1	451	452	0
30	1	10374	1	10000	1	13000	-1	-1	99999	1	451	452	0
31	1	10378	1	10000	1	13000	-1	-1	99999	1	451	452	0
32	1	10379	1	10000	1	13000	-1	-1	99999	1	451	452	0
33	1	10383	1	20000	1	26000	-1	-1	99999	1	451	452	0
34	1	10384	1	20000	1	26000	-1	-1	99999	1	451	452	0
35	1	10388	1	20000	1	26000	-1	-1	99999	1	451	452	0
36	1	10389	1	20000	1	26000	-1	-1	99999	1	451	452	0
37	1	10393	1	50000	1	65000	-1	-1	99999	1	451	452	0
38	1	10394	1	50000	1	65000	-1	-1	99999	1	451	452	0
39	1	10398	1	50000	1	65000	-1	-1	99999	1	451	452	0
40	1	10399	1	50000	1	65000	-1	-1	99999	1	451	452	0
41	1	50009	1	5000	1	6500	-1	-1	99999	1	451	452	0
42	1	50019	1	5000	1	6500	-1	-1	99999	1	451	452	0
43	1	50029	1	5000	1	6500	-1	-1	99999	1	451	452	0
44	1	50039	1	5000	1	6500	-1	-1	99999	1	451	452	0
45	1	50049	1	5000	1	6500	-1	-1	99999	1	451	452	0
46	1	50059	1	5000	1	6500	-1	-1	99999	1	451	452	0
47	1	10403	1	50000	1	65000	-1	-1	99999	1	451	452	60
48	1	10404	1	50000	1	65000	-1	-1	99999	1	451	452	60
49	1	10408	1	50000	1	65000	-1	-1	99999	1	451	452	60
50	1	10409	1	50000	1	65000	-1	-1	99999	1	451	452	60
