INT	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT
Id	Name	EquipCount1	AddAttr1	TaoZhuang	Desc1	ShowEquipList	Desc	Effect	Level	Type	BuffId
1	头盔和项链	2	4:39|5:99|1:8000|45:1000	1|1001|2001	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n攻击：39-99\n生命：8000	-1:10102:-1:-1:-1:10107:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
2	头盔和项链	2	4:79|5:199|1:16000|45:1000	2|1002|2002	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n攻击：79-199\n生命：16000	-1:10112:-1:-1:-1:10117:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
3	头盔和项链	2	4:120|5:300|1:24000|45:1000	3|1003|2003	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n攻击：120-300\n生命：24000	-1:10122:-1:-1:-1:10127:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
4	头盔和项链	2	4:159|5:399|1:32000|45:1000	4|1004|2004	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n攻击：159-399\n生命：32000	-1:10132:-1:-1:-1:10137:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
5	头盔和项链	2	4:199|5:499|1:40000|45:1000	5|1005|2005	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n攻击：199-499\n生命：40000	-1:10142:-1:-1:-1:10147:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
6	头盔和项链	2	4:259|5:649|1:52000|45:1100	6|1006|2006	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n攻击：259-649\n生命：52000	-1:10152:-1:-1:-1:10157:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
7	头盔和项链	2	4:319|5:799|1:64000|45:1100	7|1007|2007	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n攻击：319-799\n生命：64000	-1:10162:-1:-1:-1:10167:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
8	头盔和项链	2	4:379|5:949|1:76000|45:1100	8|1008|2008	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n攻击：379-949\n生命：76000	-1:10172:-1:-1:-1:10177:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
9	头盔和项链	2	4:439|5:1099|1:88000|45:1100	9|1009|2009	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n攻击：439-1099\n生命：88000	-1:10182:-1:-1:-1:10187:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
10	头盔和项链	2	4:499|5:1249|1:100000|45:1100	10|1010|2010	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n攻击：499-1249\n生命：100000	-1:10192:-1:-1:-1:10197:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
11	头盔和项链	2	4:579|5:1449|1:116000|45:1200	11|1011|2011	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n攻击：579-1449\n生命：116000	-1:10202:-1:-1:-1:10207:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
12	头盔和项链	2	4:660|5:1650|1:132000|45:1200	12|1012|2012	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n攻击：660-1650\n生命：132000	-1:10212:-1:-1:-1:10217:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
13	头盔和项链	2	4:739|5:1849|1:148000|45:1200	13|1013|2013	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n攻击：739-1849\n生命：148000	-1:10222:-1:-1:-1:10227:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
14	头盔和项链	2	4:819|5:2049|1:164000|45:1200	14|1014|2014	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n攻击：819-2049\n生命：164000	-1:10232:-1:-1:-1:10237:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
15	头盔和项链	2	4:900|5:2250|1:180000|45:1200	15|1015|2015	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n攻击：900-2250\n生命：180000	-1:10242:-1:-1:-1:10247:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
16	头盔和项链	2	4:1020|5:2550|1:204000|45:1300	16|1016|2016	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n攻击：1020-2550\n生命：204000	-1:10252:-1:-1:-1:10257:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
17	头盔和项链	2	4:1140|5:2850|1:228000|45:1300	17|1017|2017	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n攻击：1140-2850\n生命：228000	-1:10262:-1:-1:-1:10267:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
18	头盔和项链	2	4:1260|5:3150|1:252000|45:1300	18|1018|2018	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n攻击：1260-3150\n生命：252000	-1:10272:-1:-1:-1:10277:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
19	头盔和项链	2	4:1380|5:3450|1:276000|45:1300	19|1019|2019	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n攻击：1380-3450\n生命：276000	-1:10282:-1:-1:-1:10287:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
