INT	STRING	INT	INT	INT	INT
CostEquip	CostItems	CostMoney	GiveEquip	NoticeID	NeedLevel
51000	727:1:3	50000	51001	0	200
51001	727:1:9	67000	51002	0	200
51002	727:1:13	89000	51003	0	200
51003	727:1:19	118000	51004	0	200
51004	727:1:28	157000	51005	0	200
51005	727:1:40	209000	51006	0	200
51006	727:1:58	278000	51007	0	200
51007	727:1:84	370000	51008	0	200
51008	727:1:122	492000	51009	0	200
51010	727:1:9	50000	51011	0	200
51011	727:1:13	67000	51012	0	200
51012	727:1:18	89000	51013	0	200
51013	727:1:27	118000	51014	0	200
51014	727:1:39	157000	51015	0	200
51015	727:1:56	209000	51016	0	200
51016	727:1:81	278000	51017	0	200
51017	727:1:117	370000	51018	0	200
51018	727:1:170	492000	51019	0	200
51020	727:1:12	50000	51021	0	200
51021	727:1:18	67000	51022	0	200
51022	727:1:25	89000	51023	0	200
51023	727:1:36	118000	51024	0	200
51024	727:1:52	157000	51025	0	200
51025	727:1:75	209000	51026	0	200
51026	727:1:107	278000	51027	0	200
51027	727:1:154	370000	51028	0	200
51028	727:1:221	492000	51029	0	200
51030	727:1:17	50000	51031	0	200
51031	727:1:25	67000	51032	0	200
51032	727:1:35	89000	51033	0	200
51033	727:1:50	118000	51034	0	200
51034	727:1:72	157000	51035	0	200
51035	727:1:102	209000	51036	0	200
51036	727:1:145	278000	51037	0	200
51037	727:1:206	370000	51038	0	200
51038	727:1:293	492000	51039	0	200
51040	727:1:24	50000	51041	0	200
51041	727:1:34	67000	51042	0	200
51042	727:1:48	89000	51043	0	200
51043	727:1:67	118000	51044	0	200
51044	727:1:95	157000	51045	0	200
51045	727:1:133	209000	51046	0	200
51046	727:1:188	278000	51047	0	200
51047	727:1:265	370000	51048	0	200
51048	727:1:373	492000	51049	0	200
