INT	INT	INT	INT	STRING	INT	STRING	STRING	INT	STRING	INT	STRING
Type	Level	Rate	CostMoney	AddAttr	RoleLevel	MaxStar	NeedItem	GongGao	Success	ProtectedCost	ProtectedCostItem
0	1	10000	0	4:12|5:30	300	300:7|350:10|400:13|450:15	601:1:2	-1	#00ff00|强化成功率：100%	0	0
0	2	9500	0	4:36|5:90	300	300:7|350:10|400:13|450:15	601:1:4	-1	#00ff00|强化成功率：95%	0	0
0	3	9000	0	4:72|5:180	300	300:7|350:10|400:13|450:15	601:1:6	-1	#00ff00|强化成功率：90%	0	0
0	4	8500	0	4:120|5:300	300	300:7|350:10|400:13|450:15	601:1:8	-1	#00ff00|强化成功率：85%	0	0
0	5	8000	0	4:180|5:450	300	300:7|350:10|400:13|450:15	601:1:10	-1	#00ff00|强化成功率：80%	0	0
0	6	7500	0	4:252|5:630	300	300:7|350:10|400:13|450:15	601:1:12	-1	#00ff00|强化成功率：75%	0	0
0	7	7000	0	4:336|5:840	300	300:7|350:10|400:13|450:15	601:1:14	115	#00ff00|强化成功率：70%	0	0
0	8	6500	0	4:432|5:1080	350	300:7|350:10|400:13|450:15	601:1:16	-1	#00ff00|强化成功率：65%	0	0
0	9	6000	0	4:552|5:1380	350	300:7|350:10|400:13|450:15	601:1:18	-1	#00ff00|强化成功率：60%	0	0
0	10	5000	0	4:720|5:1800	350	300:7|350:10|400:13|450:15	601:1:20	115	#00ff00|强化成功率：50%	0	0
0	11	4000	0	4:936|5:2340	400	300:7|350:10|400:13|450:15	601:1:22	-1	#00ff00|强化成功率：40%	0	710:1:2
0	12	4000	0	4:1200|5:3000	400	300:7|350:10|400:13|450:15	601:1:24	115	#00ff00|强化成功率：40%	0	710:1:4
0	13	3000	0	4:1512|5:3780	400	300:7|350:10|400:13|450:15	601:1:26	-1	#00ff00|强化成功率：30%	0	710:1:10
0	14	3000	0	4:1896|5:4740	450	300:7|350:10|400:13|450:15	601:1:28	115	#00ff00|强化成功率：30%	0	710:1:20
0	15	2500	0	4:2400|5:6000	450	300:7|350:10|400:13|450:15	601:1:30	115	#00ff00|强化成功率：25%	0	710:1:50
0	16	10000	0	4:2418|5:6045	300	300:7|350:10|400:13|450:15	601:1:3|769:1:2	-1	#00ff00|强化成功率：100%	0	0
0	17	7600	0	4:2454|5:6135	300	300:7|350:10|400:13|450:15	601:1:6|769:1:4	-1	#00ff00|强化成功率：76%	0	0
0	18	7200	0	4:2508|5:6270	300	300:7|350:10|400:13|450:15	601:1:9|769:1:6	-1	#00ff00|强化成功率：72%	0	0
0	19	6800	0	4:2580|5:6450	300	300:7|350:10|400:13|450:15	601:1:12|769:1:8	-1	#00ff00|强化成功率：68%	0	0
0	20	6500	0	4:2670|5:6675	300	300:7|350:10|400:13|450:15	601:1:15|769:1:10	-1	#00ff00|强化成功率：65%	0	0
0	21	6200	0	4:2778|5:6945	300	300:7|350:10|400:13|450:15	601:1:18|769:1:12	-1	#00ff00|强化成功率：62%	0	0
0	22	5900	0	4:2904|5:7260	300	300:7|350:10|400:13|450:15	601:1:21|769:1:14	115	#00ff00|强化成功率：59%	0	0
0	23	5600	0	4:3048|5:7620	350	300:7|350:10|400:13|450:15	601:1:24|769:1:16	-1	#00ff00|强化成功率：56%	0	0
0	24	5300	0	4:3228|5:8070	350	300:7|350:10|400:13|450:15	601:1:27|769:1:18	-1	#00ff00|强化成功率：53%	0	0
0	25	5000	0	4:3480|5:8700	350	300:7|350:10|400:13|450:15	601:1:30|769:1:20	115	#00ff00|强化成功率：50%	0	0
0	26	4000	0	4:3804|5:9510	400	300:7|350:10|400:13|450:15	601:1:33|769:1:22	-1	#00ff00|强化成功率：40%	0	710:1:4
0	27	4000	0	4:4200|5:10500	400	300:7|350:10|400:13|450:15	601:1:36|769:1:24	115	#00ff00|强化成功率：40%	0	710:1:10
0	28	3000	0	4:4668|5:11670	400	300:7|350:10|400:13|450:15	601:1:39|769:1:26	-1	#00ff00|强化成功率：30%	0	710:1:20
0	29	3000	0	4:5244|5:13110	450	300:7|350:10|400:13|450:15	601:1:42|769:1:28	115	#00ff00|强化成功率：30%	0	710:1:40
