INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT
Type	Star	Rate	SuccessAddStar	FailLostStar	CostItem	CostMoney	AddAttr	ShowDialog	RateType	BossIntegral	RongLianAttr
35	0	10000	1	0	-1	0	1:0|4:0|5:0|6:0|7:0	0	-1	1000 	0 
35	1	10000	1	0	-1	0	1:1171|4:8|5:26|6:8|7:26	0	-1	52000 	0 
35	2	10000	1	0	-1	0	1:2436|4:17|5:54|6:17|7:54	0	-1	62000 	0 
35	3	10000	1	0	-1	0	1:3806|4:27|5:84|6:27|7:84	0	-1	68000 	0 
35	4	10000	1	0	-1	0	1:5281|4:38|5:117|6:38|7:117	0	-1	76000 	0 
35	5	10000	1	0	-1	0	1:6874|4:49|5:152|6:49|7:152	0	-1	82000 	0 
35	6	10000	1	0	-1	0	1:8595|4:61|5:190|6:61|7:190	0	-1	90000 	0 
35	7	10000	1	0	-1	0	1:10457|4:74|5:231|6:74|7:231	0	-1	100000 	0 
35	8	10000	1	0	-1	0	1:12471|4:89|5:276|6:89|7:276	0	-1	112000 	0 
35	9	10000	1	0	-1	0	1:14649|4:105|5:325|6:105|7:325	0	-1	123000 	0 
35	10	10000	1	0	-1	0	1:17003|4:122|5:377|6:122|7:377	0	-1	134000 	0 
35	11	10000	1	0	-1	0	1:19544|4:141|5:434|6:141|7:434	0	-1	150000 	0 
35	12	10000	1	0	-1	0	1:22285|4:161|5:495|6:161|7:495	0	-1	164000 	0 
35	13	10000	1	0	-1	0	1:25248|4:183|5:561|6:183|7:561	0	-1	181000 	0 
35	14	10000	1	0	-1	0	1:28445|4:206|5:632|6:206|7:632	0	-1	198000 	0 
35	15	10000	1	0	-1	0	1:31900|4:231|5:709|6:231|7:709	0	-1	219000 	0 
35	16	10000	1	0	-1	0	1:35636|4:259|5:793|6:259|7:793	0	-1	244000 	0 
35	17	10000	1	0	-1	0	1:39677|4:289|5:883|6:289|7:883	0	-1	267000 	0 
35	18	10000	1	0	-1	0	1:44046|4:321|5:981|6:321|7:981	0	-1	295000 	0 
35	19	10000	1	0	-1	0	1:48766|4:356|5:1087|6:356|7:1087	0	-1	326000 	0 
35	20	10000	1	0	-1	0	1:53861|4:394|5:1201|6:394|7:1201	0	-1	359000 	0 
35	21	10000	1	0	-1	0	1:59366|4:435|5:1324|6:435|7:1324	0	-1	395000 	0 
35	22	10000	1	0	-1	0	1:65316|4:479|5:1457|6:479|7:1457	0	-1	435000 	0 
35	23	10000	1	0	-1	0	1:71747|4:527|5:1601|6:527|7:1601	0	-1	481000 	0 
35	24	10000	1	0	-1	0	1:78693|4:579|5:1757|6:579|7:1757	0	-1	531000 	0 
35	25	10000	1	0	-1	0	1:86189|4:635|5:1925|6:635|7:1925	0	-1	584000 	0 
35	26	10000	1	0	-1	0	1:94283|4:695|5:2107|6:695|7:2107	0	-1	643000 	0 
35	27	10000	1	0	-1	0	1:103021|4:760|5:2303|6:760|7:2303	0	-1	708000 	0 
35	28	10000	1	0	-1	0	1:112462|4:830|5:2515|6:830|7:2515	0	-1	780000 	0 
35	29	10000	1	0	-1	0	1:122653|4:906|5:2744|6:906|7:2744	0	-1	860000 	0 
35	30	10000	1	0	-1	0	1:133664|4:988|5:2991|6:988|7:2991	0	-1	946000 	0 
35	31	10000	1	0	-1	0	1:145553|4:1077|5:3258|6:1077|7:3258	0	-1	1044000 	0 
35	32	10000	1	0	-1	0	1:158391|4:1173|5:3546|6:1173|7:3546	0	-1	1149000 	0 
35	33	10000	1	0	-1	0	1:172260|4:1277|5:3858|6:1277|7:3858	0	-1	1268000 	0 
