INT	INT	STRING	INT	INT	STRING	STRING	INT	INT	INT	INT	INT
FaBaoType	FaBaoLevel	FaBaoName	NeedRes	Level	Effect	AttrStr	GongGao	Icon	Quality	FaBaoPic	FaBaoNamePic
0	0	0	0	50	magic_shu1	1:0	0	35	2	1	201
0	1	0	1100	55	magic_shu1	1:1000	0	35	2	1	201
0	2	0	1200	60	magic_shu1	1:2000	0	35	2	1	201
0	3	0	1300	65	magic_shu1	1:3000	0	35	2	1	201
0	4	0	1400	70	magic_shu1	1:4000	0	35	2	1	201
0	5	|#a54bfa|清心天书	1500	75	magic_shu1	1:5000	0	35	2	1	201
0	6	0	1600	80	magic_shu1	1:6000	0	35	2	1	201
0	7	0	1700	85	magic_shu1	1:7000	0	35	2	1	201
0	8	0	1800	90	magic_shu1	1:8000	0	35	2	1	201
0	9	0	1900	95	magic_shu1	1:9000	0	35	2	1	201
0	10	|#a54bfa|清心天书	2000	100	magic_shu1	1:10000	0	35	2	1	201
0	11	|#a54bfa|飞花天书	2200	105	magic_shu2	1:13000	127	35	2	2	202
0	12	0	2400	110	magic_shu2	1:16000	0	35	2	2	202
0	13	0	2600	115	magic_shu2	1:19000	0	35	2	2	202
0	14	0	2800	120	magic_shu2	1:22000	0	35	2	2	202
0	15	|#a54bfa|飞花天书	3000	125	magic_shu2	1:25000	0	35	2	2	202
0	16	0	3200	130	magic_shu2	1:28000	0	35	2	2	202
0	17	0	3400	135	magic_shu2	1:31000	0	35	2	2	202
0	18	0	3600	140	magic_shu2	1:34000	0	35	2	2	202
0	19	|#a54bfa|飞花天书	3800	145	magic_shu2	1:37000	0	35	2	2	202
0	20	0	4000	150	magic_shu2	1:40000	0	35	2	2	202
0	21	|#a54bfa|炎火天书	4400	155	magic_shu3	1:44000	127	35	2	3	203
0	22	0	4800	160	magic_shu3	1:48000	0	35	2	3	203
0	23	0	5200	165	magic_shu3	1:52000	0	35	2	3	203
0	24	0	5600	170	magic_shu3	1:56000	0	35	2	3	203
0	25	|#a54bfa|炎火天书	6000	175	magic_shu3	1:60000	0	35	2	3	203
0	26	0	6400	180	magic_shu3	1:64000	0	35	2	3	203
0	27	0	6800	185	magic_shu3	1:68000	0	35	2	3	203
0	28	0	7200	190	magic_shu3	1:72000	0	35	2	3	203
