INT	INT	INT	STRING	STRING
IndexMin	IndexMax	Honor	Gift	Tips
0	0	0	-1	
1	1	500000	7443:1:1:0:1|7473:1:1:0:1|7277:1:1:1:0	#00ff00|名人堂第一名额外奖励\n|#f7ab00|奖励内容：\n|#f7ab00|威望卷轴优惠券 x1\n|#f7ab00|魔化保护符优惠券 x1\n|#f7ab00|100星变异兽XO型 x1
2	2	400000	7443:1:1:0:1|7276:1:1:1:0	#00ff00|名人堂第二名额外奖励\n|#f7ab00|奖励内容：\n|#f7ab00|威望卷轴优惠券 x1\n|#f7ab00|80星变异兽XO型 x1
3	3	300000	7275:1:1:1:0	#00ff00|名人堂第三名额外奖励\n|#f7ab00|奖励内容：\n|#f7ab00|60星变异兽XO型 x1
4	4	270000	7274:1:1:1:0	#00ff00|名人堂第四名额外奖励\n|#f7ab00|奖励内容：\n|#00afec|50星变异兽XO型 x1
5	5	250000	7274:1:1:1:0	#00ff00|名人堂第五名额外奖励\n|#f7ab00|奖励内容：\n|#00afec|50星变异兽XO型 x1
6	6	230000	7273:1:1:1:0	#00ff00|名人堂第六名额外奖励\n|#f7ab00|奖励内容：\n|#00afec|40星变异兽XO型 x1
7	7	210000	7273:1:1:1:0	#00ff00|名人堂第七名额外奖励\n|#f7ab00|奖励内容：\n|#00afec|40星变异兽XO型 x1
8	8	190000	7273:1:1:1:0	#00ff00|名人堂第八名额外奖励\n|#f7ab00|奖励内容：\n|#00afec|40星变异兽XO型 x1
9	9	170000	7273:1:1:1:0	#00ff00|名人堂第九名额外奖励\n|#f7ab00|奖励内容：\n|#00afec|40星变异兽XO型 x1
10	10	150000	7273:1:1:1:0	#00ff00|名人堂第十名额外奖励\n|#f7ab00|奖励内容：\n|#00afec|40星变异兽XO型 x1
11	11	149500	-1	
12	12	149000	-1	
13	13	148500	-1	
14	14	148000	-1	
15	15	147500	-1	
16	16	147000	-1	
17	17	146500	-1	
18	18	146000	-1	
19	19	145500	-1	
20	20	145000	-1	
21	21	144500	-1	
22	22	144000	-1	
23	23	143500	-1	
24	24	143000	-1	
25	25	142500	-1	
26	26	142000	-1	
27	27	141500	-1	
28	28	141000	-1	
29	29	140500	-1	
30	30	140000	-1	
31	31	139500	-1	
32	32	139000	-1	
33	33	138500	-1	
34	34	138000	-1	
35	35	137500	-1	
36	36	137000	-1	
37	37	136500	-1	
38	38	136000	-1	
39	39	135500	-1	
40	40	135000	-1	
41	41	134500	-1	
42	42	134000	-1	
43	43	133500	-1	
44	44	133000	-1	
45	45	132500	-1	
46	46	132000	-1	
47	47	131500	-1	
48	48	131000	-1	
49	49	130500	-1	
50	50	130000	-1	
51	51	129800	-1	
52	52	129600	-1	
53	53	129400	-1	
54	54	129200	-1	
55	55	129000	-1	
56	56	128800	-1	
57	57	128600	-1	
58	58	128400	-1	
59	59	128200	-1	
60	60	128000	-1	
61	61	127800	-1	
62	62	127600	-1	
63	63	127400	-1	
64	64	127200	-1	
65	65	127000	-1	
66	66	126800	-1	
67	67	126600	-1	
68	68	126400	-1	
69	69	126200	-1	
70	70	126000	-1	
71	71	125800	-1	
72	72	125600	-1	
73	73	125400	-1	
74	74	125200	-1	
75	75	125000	-1	
76	76	124800	-1	
77	77	124600	-1	
78	78	124400	-1	
79	79	124200	-1	
80	80	124000	-1	
81	81	123800	-1	
82	82	123600	-1	
83	83	123400	-1	
84	84	123200	-1	
85	85	123000	-1	
86	86	122800	-1	
87	87	122600	-1	
88	88	122400	-1	
89	89	122200	-1	
90	90	122000	-1	
91	91	121800	-1	
92	92	121600	-1	
93	93	121400	-1	
94	94	121200	-1	
95	95	121000	-1	
96	96	120800	-1	
97	97	120600	-1	
98	98	120400	-1	
99	99	120200	-1	
100	100	120000	-1	
101	101	119800	-1	
102	102	119600	-1	
103	103	119400	-1	
104	104	119200	-1	
105	105	119000	-1	
106	106	118800	-1	
107	107	118600	-1	
108	108	118400	-1	
109	109	118200	-1	
110	110	118000	-1	
111	111	117800	-1	
112	112	117600	-1	
113	113	117400	-1	
114	114	117200	-1	
115	115	117000	-1	
116	116	116800	-1	
117	117	116600	-1	
118	118	116400	-1	
119	119	116200	-1	
120	120	116000	-1	
121	121	115800	-1	
122	122	115600	-1	
123	123	115400	-1	
124	124	115200	-1	
125	125	115000	-1	
126	126	114800	-1	
127	127	114600	-1	
128	128	114400	-1	
129	129	114200	-1	
130	130	114000	-1	
131	131	113800	-1	
132	132	113600	-1	
133	133	113400	-1	
134	134	113200	-1	
135	135	113000	-1	
136	136	112800	-1	
137	137	112600	-1	
