INT	STRING	INT	INT	INT	INT	INT	INT
Index	Name	Battle	Job	Sex	Close	Weapon	Level
1	阿博特	199	1	1	578	577	130
2	阿贝	198	1	2	578	577	130
3	亚伯拉罕	197	3	1	594	593	130
4	艾奇逊	196	2	2	586	585	130
5	阿克曼	195	2	1	586	585	130
6	亚当	194	3	2	594	593	130
7	亚当斯	193	1	1	578	577	130
8	艾迪生	192	2	2	586	585	130
9	阿狄森	191	1	1	578	577	130
10	艾狄生	190	1	2	578	577	130
11	阿德拉	189	3	1	594	593	130
12	阿德莱德	188	2	2	586	585	130
13	阿道夫	187	2	1	586	585	130
14	阿格尼丝	186	3	2	594	593	130
15	艾伯特	185	1	1	578	577	130
16	奥尔科特	184	2	2	586	585	130
17	奥尔丁顿	183	1	1	578	577	130
18	奥尔德里奇	182	1	2	578	577	130
19	亚历克	181	3	1	594	593	130
20	亚历山大	180	2	2	586	585	130
21	阿尔弗列德	180	2	1	586	585	130
22	艾尔弗雷德	180	3	2	594	593	130
23	艾丽丝	180	1	1	578	577	130
24	阿丽丝	180	2	2	586	585	130
25	阿利克	180	1	1	578	577	130
26	艾尔索普	180	1	2	578	577	129
27	阿利	180	3	1	594	593	129
28	阿米利亚	180	2	2	586	585	129
29	安德森	180	2	1	586	585	129
30	安德鲁	180	3	2	594	593	129
31	安	180	1	1	578	577	129
32	安娜	180	2	2	586	585	129
33	安妮	180	1	1	578	577	129
34	安东尼	180	1	2	578	577	129
35	安托瓦妮特	180	3	1	594	593	129
36	安东尼娅	180	2	2	586	585	129
37	阿拉贝拉	180	2	1	586	585	129
38	阿奇博尔德	180	3	2	594	593	129
39	阿姆斯特朗	180	1	1	578	577	129
40	阿诺德	180	2	2	586	585	129
41	阿瑟	180	1	1	578	577	129
42	阿特利	180	1	2	578	577	129
43	奥古斯丁	180	3	1	594	593	129
44	奥古斯塔斯	180	2	2	586	585	129
45	奥斯汀	180	2	1	586	585	129
46	奥斯汀	180	3	2	594	593	129
47	白壁德	180	1	1	578	577	129
48	巴比	180	2	2	586	585	129
49	巴比特	180	1	1	578	577	129
50	巴赫	180	1	2	578	577	129
51	培根	180	3	1	594	593	128
52	鲍德温	180	2	2	586	585	128
53	巴纳德	180	2	1	586	585	128
54	巴尼	180	3	2	594	593	128
55	巴雷特	180	1	1	578	577	128
56	巴雷特	180	2	2	586	585	128
57	巴里	180	1	1	578	577	128
58	巴特	180	1	2	578	577	128
59	巴塞洛缪	180	3	1	594	593	128
60	巴特利特	180	2	2	586	585	128
61	巴顿	180	2	1	586	585	128
62	拜耳	180	3	2	594	593	128
63	鲍尔	180	1	1	578	577	128
64	蒲福	180	2	2	586	585	128
65	比尔德	180	1	1	578	577	128
66	博福特	180	1	2	578	577	128
67	比彻	180	3	1	594	593	128
