INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	STRING	STRING	STRING
Id	MinFamilyLevel	CostValue	AddAttr	LanguageId	BuffAttr	MaxLevel	LevelName	TalentId	SkillLv	BadgeNamePic	BadgePic	LevelPic
1	2	40000	1:11064|4:21|5:64	506	20	100	1論1陎	3490	1	name_1	badge_1	level_1
2	2	40000	1:22128|4:42|5:128	506	20	100	1論2陎	3490	1	name_1	badge_1	level_1
3	2	40000	1:33192|4:63|5:192	506	20	100	1論3陎	3490	1	name_1	badge_1	level_1
4	2	40000	1:44256|4:84|5:256	506	20	100	1論4陎	3490	1	name_1	badge_1	level_1
5	2	40000	1:55320|4:105|5:320	506	20	100	1論5陎	3490	1	name_1	badge_1	level_1
6	2	40000	1:66384|4:126|5:384	506	20	100	1論6陎	3490	1	name_1	badge_1	level_1
7	2	40000	1:77448|4:147|5:448	506	20	100	1論7陎	3490	1	name_1	badge_1	level_1
8	2	40000	1:88512|4:168|5:512	506	20	100	1論8陎	3490	1	name_1	badge_1	level_1
9	2	40000	1:99576|4:189|5:576	506	20	100	1論9陎	3490	1	name_1	badge_1	level_1
10	2	40000	1:110640|4:210|5:640	506	20	100	1論10陎	3490	1	name_1	badge_1	level_1
11	2	75020	1:125023|4:238|5:723	506	40	100	2論1陎	3491	2	name_2	badge_2	level_2
12	2	75020	1:139406|4:266|5:806	506	40	100	2論2陎	3491	2	name_2	badge_2	level_2
13	2	75020	1:153789|4:294|5:889	506	40	100	2論3陎	3491	2	name_2	badge_2	level_2
14	2	75020	1:168172|4:322|5:972	506	40	100	2論4陎	3491	2	name_2	badge_2	level_2
15	2	75020	1:182555|4:350|5:1055	506	40	100	2論5陎	3491	2	name_2	badge_2	level_2
16	2	75020	1:196938|4:378|5:1138	506	40	100	2論6陎	3491	2	name_2	badge_2	level_2
17	2	75020	1:211321|4:406|5:1221	506	40	100	2論7陎	3491	2	name_2	badge_2	level_2
18	2	75020	1:225704|4:434|5:1304	506	40	100	2論8陎	3491	2	name_2	badge_2	level_2
19	2	75020	1:240087|4:462|5:1387	506	40	100	2論9陎	3491	2	name_2	badge_2	level_2
20	3	75020	1:254470|4:490|5:1470	506	40	100	2論10陎	3491	2	name_2	badge_2	level_2
21	3	133210	1:272172|4:524|5:1572	506	60	100	3論1陎	3492	3	name_3	badge_3	level_3
