INT	INT
Level	Exp
60	50000
61	52000
62	54000
63	56000
64	58000
65	60000
66	62000
67	64000
68	66000
69	68000
70	70000
71	72828
72	75712
73	78652
74	81648
75	84700
76	87808
77	90972
78	94192
79	97468
80	100800
81	104188
82	107632
83	111132
84	114688
85	118300
86	121968
87	125692
88	129472
89	133308
90	137200
91	141148
92	145152
93	149212
94	153328
95	157500
96	161728
97	166012
98	170352
99	174748
100	179200
101	183708
102	188272
103	192892
104	197568
105	202300
106	207088
107	211932
108	216832
109	221788
110	226800
111	231868
112	236992
113	242172
114	247408
115	252700
116	258048
117	263452
118	268912
119	274428
120	280000
121	280700
122	281401
123	282103
124	282807
125	283510
126	284215
127	284921
128	285628
129	286335
130	287043
131	287752
132	288463
133	289173
134	289885
135	290598
136	291312
137	292026
138	292741
139	293457
140	294175
141	294892
142	295611
143	296331
144	297052
145	297773
146	298495
147	299218
148	299943
149	300667
150	301393
151	302120
152	302848
153	303576
154	304305
155	305035
156	305767
157	306498
158	307231
159	307965
160	308700
161	309435
162	310171
163	310908
164	311647
165	312385
166	313125
167	313866
168	314608
169	315350
170	316093
171	316837
172	317583
173	318328
174	319075
175	319823
176	320572
177	321321
178	322071
179	322822
180	323575
181	324327
182	325081
183	325836
184	326592
185	327348
186	328105
187	328863
188	329623
189	330382
190	331143
191	331905
192	332668
193	333431
194	334195
195	334960
196	335727
197	336493
198	337261
199	338030
200	338800
201	339570
202	340341
203	341113
204	341887
205	342660
206	343435
207	344211
208	344988
209	345765
210	346543
211	347322
212	348103
213	348883
214	349665
215	350448
216	351232
217	352016
218	352801
219	353587
220	354375
221	355162
222	355951
223	356741
224	357532
225	358323
226	359115
227	359908
228	360703
229	361497
230	362293
231	363090
232	363888
233	364686
234	365485
235	366285
236	367087
237	367888
238	368691
239	369495
240	370300
241	371105
242	371911
243	372718
244	373527
245	374335
246	375145
247	375956
248	376768
249	377580
250	378393
251	379207
252	380023
253	380838
254	381655
255	382473
256	383292
257	384111
258	384931
259	385752
260	386575
261	387397
262	388221
263	389046
264	389872
265	390698
266	391525
267	392353
268	393183
269	394012
270	394843
271	395675
272	396508
273	397341
274	398175
275	399010
276	399847
277	400683
278	401521
279	402360
280	403200
281	404040
282	404881
283	405723
284	406567
285	407410
286	408255
287	409101
288	409948
289	410795
290	411643
291	412492
292	413343
293	414193
294	415045
295	415898
296	416752
297	417606
298	418461
299	419317
300	420175
301	421032
302	421891
303	422751
304	423612
305	424473
306	425335
307	426198
308	427063
309	427927
310	428793
311	429660
312	430528
313	431396
314	432265
315	433135
316	434007
317	434878
318	435751
319	436625
320	437500
321	438375
322	439251
323	440128
324	441007
325	441885
326	442765
327	443646
328	444528
329	445410
330	446293
331	447177
332	448063
333	448948
334	449835
335	450723
336	451612
337	452501
338	453391
339	454282
340	455175
341	456067
342	456961
343	457856
344	458752
345	459648
346	460545
347	461443
348	462343
349	463242
350	464143
351	465045
352	465948
353	466851
354	467755
355	468660
356	469567
357	470473
358	471381
359	472290
360	473200
361	474110
362	475021
363	475933
364	476847
365	477760
366	478675
367	479591
368	480508
369	481425
370	482343
371	483262
372	484183
373	485103
374	486025
375	486948
376	487872
377	488796
378	489721
379	490647
380	491575
381	492502
382	493431
383	494361
384	495292
385	496223
386	497155
387	498088
388	499023
389	499957
390	500893
391	501830
392	502768
393	503706
394	504645
395	505585
396	506527
397	507468
398	508411
399	509355
400	510300
401	511245
402	512191
403	513138
404	514087
405	515035
406	515985
407	516936
408	517888
409	518840
410	519793
411	520747
412	521703
413	522658
414	523615
415	524573
416	525532
417	526491
418	527451
419	528412
420	529375
421	530337
422	531301
423	532266
424	533232
425	534198
426	535165
427	536133
428	537103
429	538072
430	539043
431	540015
432	540988
433	541961
434	542935
435	543910
436	544887
437	545863
438	546841
439	547820
440	548800
441	549780
442	550761
443	551743
444	552727
445	553710
446	554695
447	555681
448	556668
449	557655
450	558643
451	559632
452	560623
453	561613
454	562605
455	563598
456	564592
457	565586
458	566581
459	567577
460	568575
461	569572
462	570571
463	571571
464	572572
465	573573
466	574575
467	575578
468	576583
469	577587
470	578593
471	579600
472	580608
473	581616
474	582625
475	583635
476	584647
477	585658
478	586671
479	587685
480	588700
481	589715
482	590731
483	591748
484	592767
485	593785
486	594805
487	595826
488	596848
489	597870
490	598893
491	599917
492	600943
493	601968
494	602995
495	604023
496	605052
497	606081
498	607111
499	608142
500	609175
501	610207
502	611241
503	612276
504	613312
505	614348
506	615385
507	616423
508	617463
509	618502
510	619543
511	620585
512	621628
513	622671
514	623715
515	624760
516	625807
517	626853
518	627901
519	628950
520	630000
521	631050
522	632101
523	633153
524	634207
525	635260
526	636315
527	637371
528	638428
529	639485
530	640543
531	641602
532	642663
533	643723
534	644785
535	645848
536	646912
537	647976
538	649041
539	650107
540	651175
541	652242
542	653311
543	654381
544	655452
545	656523
546	657595
547	658668
548	659743
549	660817
550	661893
551	662970
552	664048
553	665126
554	666205
555	667285
556	668367
557	669448
558	670531
559	671615
560	672700
561	673785
562	674871
563	675958
564	677047
565	678135
566	679225
567	680316
568	681408
569	682500
570	683593
571	684687
572	685783
573	686878
574	687975
575	689073
576	690172
577	691271
578	692371
579	693472
580	694575
581	695677
582	696781
583	697886
584	698992
585	700098
586	701205
587	702313
588	703423
589	704532
590	705643
591	706755
592	707868
593	708981
594	710095
595	711210
596	712327
597	713443
598	714561
599	715680
600	716800
601	717920
602	719041
603	720163
604	721287
605	722410
606	723535
607	724661
608	725788
609	726915
610	728043
611	729172
612	730303
613	731433
614	732565
615	733698
616	734832
617	735966
618	737101
619	738237
620	739375
621	740512
622	741651
623	742791
624	743932
625	745073
626	746215
627	747358
628	748503
629	749647
630	750793
631	751940
632	753088
633	754236
634	755385
635	756535
636	757687
637	758838
638	759991
639	761145
640	762300
641	763455
642	764611
643	765768
644	766927
645	768085
646	769245
647	770406
648	771568
649	772730
650	773893
651	775057
652	776223
653	777388
654	778555
655	779723
656	780892
657	782061
658	783231
659	784402
660	785575
661	786747
662	787921
663	789096
664	790272
665	791448
666	792625
667	793803
668	794983
669	796162
670	797343
671	798525
672	799708
673	800891
674	802075
675	803260
676	804447
677	805633
678	806821
679	808010
680	809200
681	810390
682	811581
683	812773
684	813967
685	815160
686	816355
687	817551
688	818748
689	819945
690	821143
691	822342
692	823543
693	824743
694	825945
695	827148
696	828352
697	829556
698	830761
699	831967
700	833175
701	834382
702	835591
703	836801
704	838012
705	839223
706	840435
707	841648
708	842863
709	844077
710	845293
711	846510
712	847728
713	848946
714	850165
715	851385
716	852607
717	853828
718	855051
719	856275
720	857500
721	858725
722	859951
723	861178
724	862407
725	863635
726	864865
727	866096
728	867328
729	868560
730	869793
731	871027
732	872263
733	873498
734	874735
735	875973
736	877212
737	878451
738	879691
739	880932
740	882175
741	883417
742	884661
743	885906
744	887152
745	888398
746	889645
747	890893
748	892143
749	893392
750	894643
751	895895
752	897148
753	898401
754	899655
755	900910
756	902167
757	903423
758	904681
759	905940
760	907200
761	908460
762	909721
763	910983
764	912247
765	913510
766	914775
767	916041
768	917308
769	918575
770	919843
771	921112
772	922383
773	923653
774	924925
775	926198
776	927472
777	928746
778	930021
779	931297
780	932575
781	933852
782	935131
783	936411
784	937692
785	938973
786	940255
787	941538
788	942823
789	944107
790	945393
791	946680
792	947968
793	949256
794	950545
795	951835
796	953127
797	954418
798	955711
799	957005
800	958300
801	959595
802	960891
803	962188
804	963487
805	964785
806	966085
807	967386
808	968688
809	969990
810	971293
811	972597
812	973903
813	975208
814	976515
815	977823
816	979132
817	980441
818	981751
819	983062
820	984375
821	985687
822	987001
823	988316
824	989632
825	990948
826	992265
827	993583
828	994903
829	996222
830	997543
831	998865
832	1000188
833	1001511
834	1002835
835	1004160
836	1005487
837	1006813
838	1008141
839	1009470
840	1010800
841	1012130
842	1013461
843	1014793
844	1016127
845	1017460
846	1018795
847	1020131
848	1021468
849	1022805
850	1024143
851	1025482
852	1026823
853	1028163
854	1029505
855	1030848
856	1032192
857	1033536
858	1034881
859	1036227
860	1037575
861	1038922
862	1040271
863	1041621
864	1042972
865	1044323
866	1045675
867	1047028
868	1048383
869	1049737
870	1051093
871	1052450
872	1053808
873	1055166
874	1056525
875	1057885
876	1059247
877	1060608
878	1061971
879	1063335
880	1064700
881	1066065
882	1067431
883	1068798
884	1070167
885	1071535
886	1072905
887	1074276
888	1075648
889	1077020
890	1078393
891	1079767
892	1081143
893	1082518
894	1083895
895	1085273
896	1086652
897	1088031
898	1089411
899	1090792
900	1092175
901	1093557
902	1094941
903	1096326
904	1097712
905	1099098
906	1100485
907	1101873
908	1103263
909	1104652
910	1106043
911	1107435
912	1108828
913	1110221
914	1111615
915	1113010
916	1114407
917	1115803
918	1117201
919	1118600
920	1120000
921	1121400
922	1122801
923	1124203
924	1125607
925	1127010
926	1128415
927	1129821
928	1131228
929	1132635
930	1134043
931	1135452
932	1136863
933	1138273
934	1139685
935	1141098
936	1142512
937	1143926
938	1145341
939	1146757
940	1148175
941	1149592
942	1151011
943	1152431
944	1153852
945	1155273
946	1156695
947	1158118
948	1159543
949	1160967
950	1162393
951	1163820
952	1165248
953	1166676
954	1168105
955	1169535
956	1170967
957	1172398
958	1173831
959	1175265
960	1176700
961	1178135
962	1179571
963	1181008
964	1182447
965	1183885
966	1185325
967	1186766
968	1188208
969	1189650
970	1191093
971	1192537
972	1193983
973	1195428
974	1196875
975	1198323
976	1199772
977	1201221
978	1202671
979	1204122
980	1205575
981	1207027
982	1208481
983	1209936
984	1211392
985	1212848
986	1214305
987	1215763
988	1217223
989	1218682
990	1220143
991	1221605
992	1223068
993	1224531
994	1225995
995	1227460
996	1228927
