INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT
SkillId	SkillLevel	FamilyLevel	CostValue	AddAttr	CostMoney	RoleLevel	Pic	Name	MinFamilyLevel
1	1	1	1600	1:9508	50000	200	1	ÉúÃüÐÞÁ¶	1
1	2	1	1700	1:19244	53000	200	1	ÉúÃüÐÞÁ¶	1
1	3	1	1800	1:29208	56000	200	1	ÉúÃüÐÞÁ¶	1
1	4	1	1900	1:39400	59000	200	1	ÉúÃüÐÞÁ¶	1
1	5	1	2000	1:49821	62000	200	1	ÉúÃüÐÞÁ¶	1
1	6	1	2100	1:60470	65000	200	1	ÉúÃüÐÞÁ¶	1
1	7	1	2200	1:71347	68000	200	1	ÉúÃüÐÞÁ¶	1
1	8	1	2300	1:82452	72000	200	1	ÉúÃüÐÞÁ¶	1
1	9	1	2400	1:93785	75000	200	1	ÉúÃüÐÞÁ¶	1
1	10	1	2500	1:105346	78000	200	1	ÉúÃüÐÞÁ¶	1
1	11	2	2800	1:117706	86000	250	1	ÉúÃüÐÞÁ¶	1
1	12	2	2900	1:130363	90000	250	1	ÉúÃüÐÞÁ¶	1
1	13	2	3100	1:143316	94000	250	1	ÉúÃüÐÞÁ¶	1
1	14	2	3200	1:156566	99000	250	1	ÉúÃüÐÞÁ¶	1
1	15	2	3300	1:170113	103000	250	1	ÉúÃüÐÞÁ¶	1
1	16	2	3500	1:183956	108000	250	1	ÉúÃüÐÞÁ¶	1
1	17	2	3600	1:198096	113000	250	1	ÉúÃüÐÞÁ¶	1
1	18	2	3800	1:212533	117000	250	1	ÉúÃüÐÞÁ¶	1
1	19	2	4000	1:227266	122000	250	1	ÉúÃüÐÞÁ¶	1
1	20	2	4100	1:242296	127000	250	1	ÉúÃüÐÞÁ¶	1
1	21	3	4500	1:258364	139000	300	1	ÉúÃüÐÞÁ¶	1
1	22	3	4700	1:274818	145000	300	1	ÉúÃüÐÞÁ¶	1
1	23	3	4900	1:291657	151000	300	1	ÉúÃüÐÞÁ¶	1
1	24	3	5100	1:308882	157000	300	1	ÉúÃüÐÞÁ¶	1
1	25	3	5300	1:326493	164000	300	1	ÉúÃüÐÞÁ¶	1
1	26	3	5500	1:344489	171000	300	1	ÉúÃüÐÞÁ¶	1
1	27	3	5700	1:362871	177000	300	1	ÉúÃüÐÞÁ¶	1
1	28	3	6000	1:381639	184000	300	1	ÉúÃüÐÞÁ¶	1
1	29	3	6200	1:400792	191000	300	1	ÉúÃüÐÞÁ¶	1
1	30	3	6400	1:420331	198000	300	1	ÉúÃüÐÞÁ¶	1
1	31	4	7000	1:441220	216000	350	1	ÉúÃüÐÞÁ¶	1
1	32	4	7300	1:462610	224000	350	1	ÉúÃüÐÞÁ¶	1
1	33	4	7500	1:484501	233000	350	1	ÉúÃüÐÞÁ¶	1
1	34	4	7800	1:506894	242000	350	1	ÉúÃüÐÞÁ¶	1
1	35	4	8100	1:529788	252000	350	1	ÉúÃüÐÞÁ¶	1
1	36	4	8400	1:553183	261000	350	1	ÉúÃüÐÞÁ¶	1
1	37	4	8800	1:577080	271000	350	1	ÉúÃüÐÞÁ¶	1
1	38	4	9100	1:601478	281000	350	1	ÉúÃüÐÞÁ¶	1
1	39	4	9400	1:626377	291000	350	1	ÉúÃüÐÞÁ¶	1
1	40	4	9700	1:651777	301000	350	1	ÉúÃüÐÞÁ¶	1
1	41	5	10500	1:678932	326000	400	1	ÉúÃüÐÞÁ¶	1
1	42	5	10900	1:706739	339000	400	1	ÉúÃüÐÞÁ¶	1
1	43	5	11400	1:735198	351000	400	1	ÉúÃüÐÞÁ¶	1
1	44	5	11800	1:764308	364000	400	1	ÉúÃüÐÞÁ¶	1
1	45	5	12200	1:794070	377000	400	1	ÉúÃüÐÞÁ¶	1
1	46	5	12600	1:824484	391000	400	1	ÉúÃüÐÞÁ¶	1
1	47	5	13100	1:855549	404000	400	1	ÉúÃüÐÞÁ¶	1
1	48	5	13500	1:887266	418000	400	1	ÉúÃüÐÞÁ¶	1
1	49	5	14000	1:919635	432000	400	1	ÉúÃüÐÞÁ¶	1
1	50	5	14400	1:952656	447000	400	1	ÉúÃüÐÞÁ¶	1
1	51	6	15600	1:987958	483000	450	1	ÉúÃüÐÞÁ¶	1
1	52	6	16200	1:1024107	501000	450	1	ÉúÃüÐÞÁ¶	1
1	53	6	16800	1:1061103	519000	450	1	ÉúÃüÐÞÁ¶	1
1	54	6	17400	1:1098946	537000	450	1	ÉúÃüÐÞÁ¶	1
1	55	6	18000	1:1137637	556000	450	1	ÉúÃüÐÞÁ¶	1
1	56	6	18600	1:1177175	575000	450	1	ÉúÃüÐÞÁ¶	1
1	57	6	19200	1:1217560	594000	450	1	ÉúÃüÐÞÁ¶	1
1	58	6	19800	1:1258792	613000	450	1	ÉúÃüÐÞÁ¶	1
1	59	6	20500	1:1300872	633000	450	1	ÉúÃüÐÞÁ¶	1
1	60	6	21100	1:1343799	653000	450	1	ÉúÃüÐÞÁ¶	1
2	1	2	2100	6:86|7:257	64000	200	2	·ÀÓùÐÞÁ¶	2
2	2	2	2200	6:174|7:520	68000	200	2	·ÀÓùÐÞÁ¶	2
2	3	2	2300	6:264|7:789	71000	200	2	·ÀÓùÐÞÁ¶	2
2	4	2	2400	6:356|7:1064	75000	200	2	·ÀÓùÐÞÁ¶	2
2	5	2	2600	6:450|7:1345	79000	200	2	·ÀÓùÐÞÁ¶	2
2	6	2	2700	6:546|7:1633	83000	200	2	·ÀÓùÐÞÁ¶	2
2	7	2	2800	6:644|7:1927	87000	200	2	·ÀÓùÐÞÁ¶	2
2	8	2	3000	6:744|7:2227	92000	200	2	·ÀÓùÐÞÁ¶	2
2	9	2	3100	6:846|7:2533	96000	200	2	·ÀÓùÐÞÁ¶	2
