INT	INT
max_level	TaskId
0	261001
57	261001
62	261006
65	261011
69	261016
74	261021
79	261026
84	261031
89	261036
94	261041
99	261046
104	261051
109	261056
114	261061
120	261066
210	261071
220	261076
225	261081
230	261086
235	261091
240	261096
330	261101
340	261106
345	261111
350	261116
355	261121
360	261126
450	261131
460	261136
465	261141
470	261146
475	261151
480	261156
570	261161
580	261166
585	261171
590	261176
595	261181
600	261186
690	261191
700	261196
705	261201
710	261206
715	261211
720	261216
810	261221
820	261226
825	261231
830	261236
835	261241
9999	261246
