INT	INT	STRING	INT	INT
Id	Type	Item	Rate	GongGao
1	1	568:1:2:1	19563	0
2	1	644:1:2:1	15650	523
3	1	564:1:15:1	19563	0
4	1	511:1:2:1	19563	0
5	1	565:1:2:1	15650	523
6	1	8105:3:1:1	442	0
7	1	8005:3:1:1	619	0
8	1	8304:3:1:1	885	523
9	1	758:1:8:1	885	0
10	1	706:1:30:1	619	523
11	1	710:1:2:1	354	523
12	1	708:1:30:1	442	523
13	1	705:1:30:1	531	523
14	1	597:1:10:1	708	0
15	1	774:1:1:1	708	523
16	1	570:1:1:1	708	523
17	1	709:1:30:1	442	523
18	1	8205:3:1:1	531	0
19	1	508:1:2:1	885	523
20	1	645:1:2:1	354	523
21	1	8305:3:1:1	442	523
22	1	720:1:4:1	442	523
23	1	566:1:20:1	4	523
24	1	774:1:1:1	2	523
25	1	722:1:2:1	4	523
101	2	7078:1:1:1	1000	523
102	2	7079:1:1:1	1000	523
1001	3	647:1:60:1	19563	0
1002	3	638:1:2:1	15650	523
1003	3	564:1:15:1	19563	0
1004	3	719:1:2:1	19563	0
1005	3	565:1:2:1	15650	523
1006	3	8105:3:1:1	442	523
1007	3	8005:3:1:1	619	523
1008	3	8304:3:1:1	885	0
1009	3	637:1:1:1	885	0
1010	3	644:1:2:1	619	523
1011	3	710:1:2:1	354	523
1012	3	511:1:2:1	442	523
1013	3	568:1:2:1	531	523
1014	3	597:1:10:1	708	0
1015	3	774:1:1:1	708	523
1016	3	570:1:1:1	708	523
1017	3	572:1:16:1	442	523
1018	3	8205:3:1:1	531	523
1019	3	508:1:2:1	885	523
1020	3	645:1:2:1	354	523
1021	3	8305:3:1:1	442	523
1022	3	720:1:4:1	442	523
1023	3	566:1:20:1	4	523
1024	3	774:1:1:1	2	523
1025	3	722:1:2:1	4	523
2001	4	7078:1:1:1	1000	523
2002	4	7079:1:1:1	1000	523
