INT	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	STRING	INT	INT	INT
Id	Name	Line	sort	pic	Tips	clickType	state	Countdown	ShowRight	ShowLeft	LeftDesc	Effect	EffectType	Relevance
1	圣域争霸	1	1	116	点击进入圣域争霸	openPanel|GongChengWarPanel|1	0	0	1	1	签|找	1	0	0
2	飞天神驹	1	2	13	点击前往参加飞天神驹	NPC|374001	1	0	1	1	签|找	1	0	2
3	智力竞赛	1	3	14	点击参加智力竞赛	openPanel|DaTiPanel|1	1	0	1	1	签|找	1	0	3
4	军团之光	1	4	16	点击前往参加军团之光	enterActivity|3	1	0	1	1	签|找	1	0	4
5	魔灵入侵	1	5	17	寻找入侵的魔灵并击杀他们	autoPath|1|80031|34|159	1	0	1	1	签|找	1	0	5
6	军团之光	1	6	16	点击前往参加军团之光	enterActivity|4	1	0	1	1	签|找	1	0	6
7	魔灵入侵	1	7	17	寻找入侵的魔灵并击杀他们	autoPath|1|80031|34|159	1	0	1	1	签|找	1	0	5
8	智力竞赛	1	8	14	点击参加智力竞赛	openPanel|DaTiPanel|1	1	0	1	1	签|找	1	0	8
9	天降宝箱	1	9	20	点击参加天降宝箱活动	autoPath|1|1001|73|68	0	0	1	1	签|找	1	0	0
10	安全挂机	1	10	21	点击前往VIP安全挂机地图	NPC|374006	1	0	1	1	签|找	1	0	0
11	蜘蛛女皇	1	11	28	蜘蛛女皇已经降临	openPanel|BOSSPanel|1	1	0	1	1	签|找	1	0	0
12	领地战	1	12	27	领地争夺已经开始！	openPanel|ActivityPanel|5	1	0	1	1	签|找	1	0	0
13	蜘蛛女皇	1	13	28	蜘蛛女皇已经降临	openPanel|BOSSPanel|1	1	0	1	1	签|找	1	0	0
14	蜘蛛女皇	1	14	28	蜘蛛女皇已经降临	openPanel|BOSSPanel|1	1	0	1	1	签|找	1	0	0
15	蜘蛛女皇	1	15	28	蜘蛛女皇已经降临	openPanel|BOSSPanel|1	1	0	1	1	签|找	1	0	0
16	世界BOSS	1	16	35	点击前往击杀世界BOSS	enterActivity|20	1	0	1	1	签|找	1	0	16
18	风云碑	1	18	108	风云碑	NPC|1104	0	0	1	1	签|找	1	0	18
19	天下第一	1	19	112	天下第一	NPC|1093	0	0	1	1	签|找	1	0	19
20	领地战	1	12	27	领地争夺已经开始！	openPanel|ActivityPanel|8	1	0	1	1	签|找	1	0	20
21	天降宝箱	1	9	20	点击参加天降宝箱活动	NPC|372515	1	0	1	1	签|找	1	0	9
22	世界BOSS	1	16	35	点击前往击杀世界BOSS	enterActivity|26	1	0	1	1	签|找	1	0	16
23	魔灵入侵	1	5	17	寻找入侵的魔灵并击杀他们	autoPath|1|80031|34|159	1	0	1	1	签|找	1	0	5
24	双倍经验	1	20	46	刷怪经验翻倍时间	-1	1	0	1	1	签|找	1	0	0
25	合服BOSS	1	21	28	点击前往击杀合服BOSS	autoPath|1|80011|9|69	1	0	1	1	签|找	1	0	0
26	护送圣兽	1	22	49	护送与劫杀，谁能最终获胜，谁就将获得巨额的奖励	openPanel|famliyEscortInfoPanel|0	1	0	1	1	签|找	1	0	0
27	愚人BOSS	1	23	80	点击前往击杀雪域龙鹰	autoPath|1|80011|9|69	1	0	1	1	签|找	1	0	0
28	世界事件	1	23	80	前往击杀地狱恶魔	autoPath|1|1007|14|136	0	0	1	1	签|找	1	0	0
29	世界BOSS	1	24	35	前往击杀世界BOSS	autoPath|1|1001|64|62	0	0	1	1	签|找	1	0	0
30	至高天秘境	1	25	35	跨越时光裂隙前往至高天秘境冒险吧！勇士	openPanel|parliamentLieFengTab	0	0	1	1	签|找	1	0	22
31	神秘庇护所	1	26	35	跨越时光裂隙前往神秘庇护所冒险吧！勇士	openPanel|parliamentLieFengTab	0	0	1	1	签|找	1	0	23
32	失落皇冠争夺战	1	27	35	前往参加失落皇冠争夺战	enterActivity|4	0	0	1	1	签|找	1	0	24
