INT	INT	STRING	INT	INT	INT
Id	NextId	CostItems	CostMoney	Broadcast	AutoBuy
8000	8001	8000:3:1|0:0:0	30000	-1	1
8001	8002	8001:3:1|0:0:0	30000	-1	1
8002	8003	8002:3:1|0:0:0	30000	-1	1
8003	8004	8003:3:1|0:0:0	50000	-1	1
8004	8005	8004:3:1|0:0:0	50000	-1	1
8005	8006	8005:3:1|0:0:0	50000	121	1
8006	8007	8006:3:1|720:1:2	50000	121	1
8007	8008	8007:3:1|720:1:4	50000	121	1
8008	8009	8008:3:1|720:1:6	50000	121	1
8009	8010	8009:3:1|720:1:10	100000	121	1
8010	8011	8010:3:1|720:1:15	100000	121	1
8011	8012	8011:3:1|720:1:20	100000	121	1
8012	8013	8012:3:1|720:1:25	100000	121	1
8013	8014	8013:3:1|720:1:30	100000	121	1
8100	8101	8100:3:1|0:0:0	30000	-1	1
8101	8102	8101:3:1|0:0:0	30000	-1	1
8102	8103	8102:3:1|0:0:0	30000	-1	1
8103	8104	8103:3:1|0:0:0	50000	-1	1
8104	8105	8104:3:1|0:0:0	50000	-1	1
8105	8106	8105:3:1|0:0:0	50000	121	1
8106	8107	8106:3:1|720:1:2	50000	121	1
8107	8108	8107:3:1|720:1:4	50000	121	1
8108	8109	8108:3:1|720:1:6	50000	121	1
8109	8110	8109:3:1|720:1:10	100000	121	1
8110	8111	8110:3:1|720:1:15	100000	121	1
8111	8112	8111:3:1|720:1:20	100000	121	1
8112	8113	8112:3:1|720:1:25	100000	121	1
8113	8114	8113:3:1|720:1:30	100000	121	1
8200	8201	8200:3:1|0:0:0	30000	-1	1
8201	8202	8201:3:1|0:0:0	30000	-1	1
8202	8203	8202:3:1|0:0:0	30000	-1	1
8203	8204	8203:3:1|0:0:0	50000	-1	1
8204	8205	8204:3:1|0:0:0	50000	-1	1
8205	8206	8205:3:1|0:0:0	50000	121	1
8206	8207	8206:3:1|720:1:2	50000	121	1
8207	8208	8207:3:1|720:1:4	50000	121	1
8208	8209	8208:3:1|720:1:6	50000	121	1
8209	8210	8209:3:1|720:1:10	100000	121	1
8210	8211	8210:3:1|720:1:15	100000	121	1
8211	8212	8211:3:1|720:1:20	100000	121	1
8212	8213	8212:3:1|720:1:25	100000	121	1
8213	8214	8213:3:1|720:1:30	100000	121	1
8300	8301	8300:3:1|0:0:0	30000	-1	0
8301	8302	8301:3:1|0:0:0	30000	-1	0
8302	8303	8302:3:1|0:0:0	30000	-1	0
8303	8304	8303:3:1|0:0:0	50000	-1	0
8304	8305	8304:3:1|0:0:0	50000	-1	0
8305	8306	8305:3:1|0:0:0	50000	121	0
8306	8307	8306:3:1|720:1:2	50000	121	0
8307	8308	8307:3:1|720:1:4	50000	121	0
8308	8309	8308:3:1|720:1:6	50000	121	0
8309	8310	8309:3:1|720:1:10	100000	121	0
8310	8311	8310:3:1|720:1:15	100000	121	0
8311	8312	8311:3:1|720:1:20	100000	121	0
8312	8313	8312:3:1|720:1:25	100000	121	0
8313	8314	8313:3:1|720:1:30	100000	121	0
