INT	STRING
Id	ChooseItem
1	10001:2:1:1|10002:2:1:1|10003:2:1:1|10004:2:1:1|10005:2:1:1|10006:2:1:1|10007:2:1:1|10008:2:1:1
2	36:8:1:1|56:8:1:1|76:8:1:1
3	10362:2:1:0|10363:2:1:0|10364:2:1:0|10365:2:1:0|10367:2:1:0|10368:2:1:0|10369:2:1:0|10370:2:1:0
4	10372:2:1:0|10373:2:1:0|10374:2:1:0|10375:2:1:0|10377:2:1:0|10378:2:1:0|10379:2:1:0|10380:2:1:0
5	10382:2:1:0|10383:2:1:0|10384:2:1:0|10385:2:1:0|10387:2:1:0|10388:2:1:0|10389:2:1:0|10390:2:1:0
6	10392:2:1:0|10393:2:1:0|10394:2:1:0|10395:2:1:0|10397:2:1:0|10398:2:1:0|10399:2:1:0|10400:2:1:0
7	10271:2:1:0|748:1:1:0
8	10281:2:1:0|749:1:1:0
9	10291:2:1:0|743:1:1:0
10	5119:1:1:1|5120:1:1:1
11	401:11:1:1|901:11:1:1|1401:11:1:1|1901:11:1:1
12	10281:2:1:0|748:1:1:0
13	10291:2:1:0|749:1:1:0
14	10301:2:1:0|743:1:1:0
15	10271:2:1:0|717:1:1:0
16	956:1:1:1|730:1:1:1
17	959:1:1:1|730:1:1:1
18	959:1:1:1|956:1:1:1
19	10281:2:1:0|10286:2:1:0|748:1:1:0
20	10291:2:1:0|10296:2:1:0|749:1:1:0
21	10301:2:1:0|10306:2:1:0|743:1:1:0
