INT	INT	INT	INT	STRING	INT	STRING	INT
Type	Level	UpAttr	Suit	GoblinName	UpLevelNeedValue	PicName	UpLevelNeedItem
29	1	15	0	石化器灵	300	shihua	704
29	2	30	0	石化器灵	400	shihua	704
29	3	45	0	石化器灵	400	shihua	704
29	4	60	0	石化器灵	500	shihua	704
29	5	75	1	石化器灵	600	shihua	704
29	6	90	1	石化器灵	700	shihua	704
29	7	105	1	石化器灵	900	shihua	704
29	8	120	1	石化器灵	1000	shihua	704
29	9	135	1	石化器灵	1200	shihua	704
29	10	150	2	石化器灵	1500	shihua	704
29	11	195	2	石化器灵	2300	shihua	704
29	12	240	2	石化器灵	2800	shihua	704
29	13	285	2	石化器灵	3300	shihua	704
29	14	330	2	石化器灵	3900	shihua	704
29	15	375	3	石化器灵	4700	shihua	704
29	16	420	3	石化器灵	5600	shihua	704
29	17	465	3	石化器灵	6600	shihua	704
29	18	510	3	石化器灵	7900	shihua	704
29	19	555	3	石化器灵	9400	shihua	704
29	20	600	4	石化器灵	11200	shihua	704
29	21	690	4	石化器灵	18300	shihua	704
29	22	780	4	石化器灵	21800	shihua	704
29	23	870	4	石化器灵	25900	shihua	704
29	24	960	4	石化器灵	30800	shihua	704
29	25	1050	5	石化器灵	36700	shihua	704
29	26	1140	5	石化器灵	43600	shihua	704
29	27	1230	5	石化器灵	51900	shihua	704
29	28	1320	5	石化器灵	61800	shihua	704
29	29	1410	5	石化器灵	73500	shihua	704
29	30	1500	6	石化器灵	87500	shihua	704
29	31	1650	6	石化器灵	142000	shihua	704
29	32	1800	6	石化器灵	168900	shihua	704
29	33	1950	6	石化器灵	201000	shihua	704
29	34	2100	6	石化器灵	239200	shihua	704
29	35	2250	7	石化器灵	284700	shihua	704
29	36	2400	7	石化器灵	338800	shihua	704
29	37	2550	7	石化器灵	403200	shihua	704
29	38	2700	7	石化器灵	479800	shihua	704
29	39	2850	7	石化器灵	570900	shihua	704
29	40	3000	8	石化器灵	679400	shihua	704
30	1	15	0	赤焰器灵	250	chiyan	705
30	2	30	0	赤焰器灵	300	chiyan	705
30	3	45	0	赤焰器灵	400	chiyan	705
30	4	60	0	赤焰器灵	450	chiyan	705
30	5	75	1	赤焰器灵	550	chiyan	705
30	6	90	1	赤焰器灵	650	chiyan	705
30	7	105	1	赤焰器灵	750	chiyan	705
30	8	120	1	赤焰器灵	900	chiyan	705
30	9	135	1	赤焰器灵	1100	chiyan	705
30	10	150	2	赤焰器灵	1300	chiyan	705
30	11	195	2	赤焰器灵	2050	chiyan	705
30	12	240	2	赤焰器灵	2400	chiyan	705
30	13	285	2	赤焰器灵	2900	chiyan	705
30	14	330	2	赤焰器灵	3400	chiyan	705
30	15	375	3	赤焰器灵	4050	chiyan	705
30	16	420	3	赤焰器灵	4850	chiyan	705
30	17	465	3	赤焰器灵	5750	chiyan	705
30	18	510	3	赤焰器灵	6850	chiyan	705
30	19	555	3	赤焰器灵	8150	chiyan	705
30	20	600	4	赤焰器灵	9700	chiyan	705
30	21	690	4	赤焰器灵	15900	chiyan	705
30	22	780	4	赤焰器灵	18900	chiyan	705
30	23	870	4	赤焰器灵	22500	chiyan	705
30	24	960	4	赤焰器灵	26800	chiyan	705
30	25	1050	5	赤焰器灵	31900	chiyan	705
30	26	1140	5	赤焰器灵	37950	chiyan	705
30	27	1230	5	赤焰器灵	45150	chiyan	705
30	28	1320	5	赤焰器灵	53700	chiyan	705
30	29	1410	5	赤焰器灵	63950	chiyan	705
30	30	1500	6	赤焰器灵	76100	chiyan	705
30	31	1650	6	赤焰器灵	123450	chiyan	705
30	32	1800	6	赤焰器灵	146900	chiyan	705
30	33	1950	6	赤焰器灵	174800	chiyan	705
30	34	2100	6	赤焰器灵	208050	chiyan	705
30	35	2250	7	赤焰器灵	247550	chiyan	705
30	36	2400	7	赤焰器灵	294600	chiyan	705
30	37	2550	7	赤焰器灵	350600	chiyan	705
30	38	2700	7	赤焰器灵	417200	chiyan	705
30	39	2850	7	赤焰器灵	496450	chiyan	705
30	40	3000	8	赤焰器灵	590800	chiyan	705
31	1	15	0	紫电器灵	250	zidian	706
31	2	30	0	紫电器灵	300	zidian	706
31	3	45	0	紫电器灵	400	zidian	706
31	4	60	0	紫电器灵	450	zidian	706
31	5	75	1	紫电器灵	550	zidian	706
31	6	90	1	紫电器灵	650	zidian	706
31	7	105	1	紫电器灵	750	zidian	706
31	8	120	1	紫电器灵	900	zidian	706
31	9	135	1	紫电器灵	1100	zidian	706
31	10	150	2	紫电器灵	1300	zidian	706
31	11	195	2	紫电器灵	2050	zidian	706
31	12	240	2	紫电器灵	2400	zidian	706
31	13	285	2	紫电器灵	2900	zidian	706
31	14	330	2	紫电器灵	3400	zidian	706
31	15	375	3	紫电器灵	4050	zidian	706
31	16	420	3	紫电器灵	4850	zidian	706
31	17	465	3	紫电器灵	5750	zidian	706
31	18	510	3	紫电器灵	6850	zidian	706
31	19	555	3	紫电器灵	8150	zidian	706
31	20	600	4	紫电器灵	9700	zidian	706
31	21	690	4	紫电器灵	15900	zidian	706
31	22	780	4	紫电器灵	18900	zidian	706
31	23	870	4	紫电器灵	22500	zidian	706
31	24	960	4	紫电器灵	26800	zidian	706
31	25	1050	5	紫电器灵	31900	zidian	706
31	26	1140	5	紫电器灵	37950	zidian	706
31	27	1230	5	紫电器灵	45150	zidian	706
31	28	1320	5	紫电器灵	53700	zidian	706
31	29	1410	5	紫电器灵	63950	zidian	706
31	30	1500	6	紫电器灵	76100	zidian	706
31	31	1650	6	紫电器灵	123450	zidian	706
31	32	1800	6	紫电器灵	146900	zidian	706
31	33	1950	6	紫电器灵	174800	zidian	706
31	34	2100	6	紫电器灵	208050	zidian	706
31	35	2250	7	紫电器灵	247550	zidian	706
31	36	2400	7	紫电器灵	294600	zidian	706
31	37	2550	7	紫电器灵	350600	zidian	706
31	38	2700	7	紫电器灵	417200	zidian	706
31	39	2850	7	紫电器灵	496450	zidian	706
31	40	3000	8	紫电器灵	590800	zidian	706
32	1	15	0	重生器灵	300	chongsheng	707
32	2	30	0	重生器灵	400	chongsheng	707
32	3	45	0	重生器灵	400	chongsheng	707
32	4	60	0	重生器灵	500	chongsheng	707
32	5	75	9	重生器灵	600	chongsheng	707
32	6	90	9	重生器灵	700	chongsheng	707
32	7	105	9	重生器灵	900	chongsheng	707
32	8	120	9	重生器灵	1000	chongsheng	707
32	9	135	9	重生器灵	1200	chongsheng	707
32	10	150	10	重生器灵	1500	chongsheng	707
32	11	195	10	重生器灵	2300	chongsheng	707
32	12	240	10	重生器灵	2800	chongsheng	707
32	13	285	10	重生器灵	3300	chongsheng	707
32	14	330	10	重生器灵	3900	chongsheng	707
32	15	375	11	重生器灵	4700	chongsheng	707
32	16	420	11	重生器灵	5600	chongsheng	707
32	17	465	11	重生器灵	6600	chongsheng	707
32	18	510	11	重生器灵	7900	chongsheng	707
32	19	555	11	重生器灵	9400	chongsheng	707
32	20	600	12	重生器灵	11200	chongsheng	707
32	21	690	12	重生器灵	18300	chongsheng	707
32	22	780	12	重生器灵	21800	chongsheng	707
32	23	870	12	重生器灵	25900	chongsheng	707
32	24	960	12	重生器灵	30800	chongsheng	707
32	25	1050	13	重生器灵	36700	chongsheng	707
32	26	1140	13	重生器灵	43600	chongsheng	707
32	27	1230	13	重生器灵	51900	chongsheng	707
32	28	1320	13	重生器灵	61800	chongsheng	707
32	29	1410	13	重生器灵	73500	chongsheng	707
32	30	1500	14	重生器灵	87500	chongsheng	707
32	31	1650	14	重生器灵	142000	chongsheng	707
32	32	1800	14	重生器灵	168900	chongsheng	707
32	33	1950	14	重生器灵	201000	chongsheng	707
32	34	2100	14	重生器灵	239200	chongsheng	707
32	35	2250	15	重生器灵	284700	chongsheng	707
32	36	2400	15	重生器灵	338800	chongsheng	707
32	37	2550	15	重生器灵	403200	chongsheng	707
32	38	2700	15	重生器灵	479800	chongsheng	707
32	39	2850	15	重生器灵	570900	chongsheng	707
32	40	3000	16	重生器灵	679400	chongsheng	707
33	1	15	0	九霄器灵	250	jiuxiao	708
33	2	30	0	九霄器灵	300	jiuxiao	708
33	3	45	0	九霄器灵	400	jiuxiao	708
33	4	60	0	九霄器灵	450	jiuxiao	708
33	5	75	9	九霄器灵	550	jiuxiao	708
