INT	INT	INT	STRING	INT	STRING	STRING	STRING	STRING	INT	INT	INT
Type	Id	BossId	Items	Pic	Npc	BoosPanelPageAndIndex	DisplayName	TypeName	MapId	MapX	MapY
1	1	10001	10152:2:1:1|13:1:1:1:0:6|502:1:5:1|504:1:5:1|567:1:1:1	2044	1079|1079|1079	-1	困惑荒原:(100级)|困惑荒原:(100级)|困惑荒原:(100级)	先锋BOSS	50042	71	80
1	2	10002	10152:2:1:1|13:1:1:1:0:6|502:1:5:1|504:1:5:1|567:1:1:1	2048	1079|1079|1079	-1	困惑荒原:(100级)|困惑荒原:(100级)|困惑荒原:(100级)	先锋BOSS	50113	86	104
1	3	10003	10152:2:1:1|13:1:1:1:0:6|502:1:5:1|504:1:5:1|567:1:1:1	5	1079|1079|1079	-1	困惑荒原:(100级)|困惑荒原:(100级)|困惑荒原:(100级)	先锋BOSS	50114	123	79
1	4	9996	10152:2:1:1|13:1:1:1:0:6|502:1:5:1|504:1:5:1|567:1:1:1	33	1079|1079|1079	-1	困惑荒原:(100级)|困惑荒原:(100级)|困惑荒原:(100级)	先锋BOSS	50115	119	45
2	1	10004	10177:2:1:1|13:1:2:1:0:6|502:1:5:1|504:1:5:1|567:1:1:1	3	-1	1_1|1_2	妖级Boss:[300级]|魔级Boss:[400级]	妖魔BOSS	50107	148	34
2	2	11004	10177:2:1:1|13:1:2:1:0:6|502:1:5:1|504:1:5:1|567:1:1:1	2038	-1	1_1|1_2	妖级Boss:[300级]|魔级Boss:[400级]	妖魔BOSS	50107	101	46
2	3	10005	10177:2:1:1|13:1:2:1:0:6|502:1:5:1|504:1:5:1|567:1:1:1	12	-1	1_1|1_2	妖级Boss:[300级]|魔级Boss:[400级]	妖魔BOSS	50116	55	115
2	4	11005	10177:2:1:1|13:1:2:1:0:6|502:1:5:1|504:1:5:1|567:1:1:1	21	-1	1_1|1_2	妖级Boss:[300级]|魔级Boss:[400级]	妖魔BOSS	50116	64	139
3	1	10006	10195:2:1:1|13:1:3:1:0:6|502:1:10:1|504:1:10:1|567:1:1:1	2059	-1	1_3|1_4	王级Boss:[500级]|帝级Boss:[600级]	帝王BOSS	50106	214	218
3	2	11006	10195:2:1:1|13:1:3:1:0:6|502:1:10:1|504:1:10:1|567:1:1:1	2020	-1	1_3|1_4	王级Boss:[500级]|帝级Boss:[600级]	帝王BOSS	50140	36	202
3	3	10007	10195:2:1:1|13:1:3:1:0:6|502:1:10:1|504:1:10:1|567:1:1:1	2058	-1	1_3|1_4	王级Boss:[500级]|帝级Boss:[600级]	帝王BOSS	50106	31	29
3	4	11007	10195:2:1:1|13:1:3:1:0:6|502:1:10:1|504:1:10:1|567:1:1:1	2026	-1	1_3|1_4	王级Boss:[500级]|帝级Boss:[600级]	帝王BOSS	50140	105	12
4	1	10008	10212:2:1:1|13:1:4:1:0:6|502:1:10:1|504:1:10:1|567:1:1:1	2015	-1	1_5|1_6	仙级Boss:[700级]|神级Boss:[800级]	神仙BOSS	50106	214	218
4	2	11008	10212:2:1:1|13:1:4:1:0:6|502:1:10:1|504:1:10:1|567:1:1:1	2031	-1	1_5|1_6	仙级Boss:[700级]|神级Boss:[800级]	神仙BOSS	50140	36	202
