INT	INT	INT	INT	STRING	INT	STRING	STRING	STRING
Level	Star	Index	Cost	AddAttr	LangugeId	SingleAttr	Name	Effect
1	0	0	50000	4:40|5:50|6:22|7:30|1:2700|33:65|35:0	0	4:40|5:50|6:22|7:30|1:2700|33:65	#00ff00|1重	-1
1	1	1	61400	4:86|5:108|6:47|7:65|1:5800|33:140|35:0	0	4:46|5:58|6:25|7:35|1:3100|33:75	1重1星	gongming_1
1	2	2	73100	4:138|5:174|6:76|7:105|1:9400|33:226|35:0	0	4:52|5:66|6:29|7:40|1:3600|33:86	1重2星	gongming_2
1	3	3	85200	4:197|5:247|6:108|7:150|1:13400|33:322|35:0	0	4:59|5:73|6:32|7:45|1:4000|33:96	1重3星	gongming_3
1	4	4	97600	4:262|5:328|6:143|7:200|1:17800|33:428|35:0	0	4:65|5:81|6:35|7:50|1:4400|33:106	1重4星	gongming_4
1	5	5	110400	4:333|5:417|6:182|7:255|1:22700|33:545|35:0	0	4:71|5:89|6:39|7:55|1:4900|33:117	1重5星	gongming_5
1	6	6	123600	4:411|5:515|6:225|7:315|1:28000|33:673|35:0	0	4:78|5:98|6:43|7:60|1:5300|33:128	1重6星	gongming_6
1	7	7	137200	4:496|5:621|6:271|7:380|1:33800|33:811|35:0	0	4:85|5:106|6:46|7:65|1:5800|33:138	1重7星	gongming_7
1	8	8	151200	4:587|5:735|6:321|7:450|1:40000|33:960|35:0	0	4:91|5:114|6:50|7:70|1:6200|33:149	1重8星	gongming_8
1	9	9	165600	4:685|5:858|6:374|7:525|1:46700|33:1120|35:0	0	4:98|5:123|6:53|7:75|1:6700|33:160	1重9星	gongming_9
1	10	10	180500	4:790|5:989|6:431|7:605|1:53800|33:1291|35:10	0	4:105|5:131|6:57|7:80|1:7100|33:171|35:10	1重10星	gongming_10
2	0	11	201800	4:902|5:1129|6:492|7:691|1:61400|33:1474|35:10	536	4:112|5:140|6:61|7:86|1:7600|33:183	#00ff00|2重	-1
2	1	12	223800	4:1021|5:1279|6:557|7:782|1:69500|33:1670|35:10	0	4:119|5:150|6:65|7:91|1:8100|33:196	2重1星	gongming_1
2	2	13	246400	4:1148|5:1438|6:626|7:879|1:78100|33:1878|35:10	0	4:127|5:159|6:69|7:97|1:8600|33:208	2重2星	gongming_2
2	3	14	269700	4:1283|5:1607|6:699|7:982|1:87300|33:2098|35:10	0	4:135|5:169|6:73|7:103|1:9200|33:220	2重3星	gongming_3
2	4	15	293800	4:1425|5:1785|6:777|7:1091|1:97000|33:2331|35:10	0	4:142|5:178|6:78|7:109|1:9700|33:233	2重4星	gongming_4
2	5	16	318500	4:1575|5:1973|6:859|7:1206|1:107200|33:2576|35:10	0	4:150|5:188|6:82|7:115|1:10200|33:245	2重5星	gongming_5
2	6	17	344000	4:1733|5:2171|6:945|7:1327|1:117900|33:2834|35:10	0	4:158|5:198|6:86|7:121|1:10700|33:258	2重6星	gongming_6
2	7	18	370300	4:1899|5:2379|6:1035|7:1454|1:129200|33:3105|35:10	0	4:166|5:208|6:90|7:127|1:11300|33:271	2重7星	gongming_7
2	8	19	397300	4:2073|5:2597|6:1130|7:1587|1:141000|33:3389|35:10	0	4:174|5:218|6:95|7:133|1:11800|33:284	2重8星	gongming_8
2	9	20	425200	4:2255|5:2825|6:1229|7:1726|1:153400|33:3686|35:10	0	4:182|5:228|6:99|7:139|1:12400|33:297	2重9星	gongming_9
2	10	21	453900	4:2445|5:3063|6:1333|7:1871|1:166300|33:3997|35:20	0	4:190|5:238|6:104|7:145|1:12900|33:311|35:10	2重10星	gongming_10
3	0	22	489500	4:2644|5:3312|6:1441|7:2023|1:179800|33:4322|35:20	536	4:199|5:249|6:108|7:152|1:13500|33:325	#00ff00|3重	-1
3	1	23	526200	4:2851|5:3572|6:1554|7:2181|1:193900|33:4662|35:20	0	4:207|5:260|6:113|7:158|1:14100|33:340	3重1星	gongming_1
3	2	24	563900	4:3067|5:3843|6:1672|7:2346|1:208600|33:5016|35:20	0	4:216|5:271|6:118|7:165|1:14700|33:354	3重2星	gongming_2
3	3	25	602900	4:3292|5:4125|6:1795|7:2518|1:223900|33:5385|35:20	0	4:225|5:282|6:123|7:172|1:15300|33:369	3重3星	gongming_3
3	4	26	643000	4:3527|5:4419|6:1923|7:2697|1:239900|33:5769|35:20	0	4:235|5:294|6:128|7:179|1:16000|33:384	3重4星	gongming_4
3	5	27	684300	4:3771|5:4724|6:2056|7:2883|1:256500|33:6168|35:20	0	4:244|5:305|6:133|7:186|1:16600|33:399	3重5星	gongming_5
3	6	28	726800	4:4024|5:5041|6:2194|7:3076|1:273700|33:6582|35:20	0	4:253|5:317|6:138|7:193|1:17200|33:414	3重6星	gongming_6
3	7	29	770600	4:4286|5:5370|6:2337|7:3276|1:291600|33:7011|35:20	0	4:262|5:329|6:143|7:200|1:17900|33:429	3重7星	gongming_7
3	8	30	815800	4:4558|5:5711|6:2485|7:3484|1:310100|33:7456|35:20	0	4:272|5:341|6:148|7:208|1:18500|33:445	3重8星	gongming_8
3	9	31	862300	4:4839|5:6063|6:2639|7:3699|1:329200|33:7917|35:20	0	4:281|5:352|6:154|7:215|1:19100|33:461	3重9星	gongming_9
3	10	32	910200	4:5130|5:6428|6:2798|7:3921|1:349000|33:8393|35:30	0	4:291|5:365|6:159|7:222|1:19800|33:476|35:10	3重10星	gongming_10
4	0	33	965600	4:5431|5:6805|6:2962|7:4151|1:369500|33:8886|35:30	536	4:301|5:377|6:164|7:230|1:20500|33:493	#00ff00|4重	-1
4	1	34	1022600	4:5743|5:7195|6:3132|7:4389|1:390700|33:9396|35:30	0	4:312|5:390|6:170|7:238|1:21200|33:510	4重1星	gongming_1
