INT	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	STRING	INT	STRING	STRING
Id	Name	Line	sort	pic	Tips	clickType	state	Relevance	Countdown	ShowRight	ShowLeft	LeftDesc	Effect	EffectType	Level	Suibian	Enter	KuaFuShow	Platform	Gather
1	活动大厅	3	113	106	活动大厅	openPanel|ActivityPanel|1	0	0	1	0	1	1|2	1	0	9999	-1	-1	1	-1	-1
2	福利大厅	2	27	105	福利大厅	openPanel|GiftRewardPanel|0	0	0	1	0	0	1|2	1	0	90	-1	-1	1	-1	-1
3	圣域争霸	3	30	116	圣域争霸	openPanel|GongChengWarPanel|1	0	1	1	1	1	1|2	1	0	150	-1	-1	1	-1	-1
4	神器	3	21	110	神器装备免费送	openPanel|shenQiPanel|1	0	0	1	0	1	1|2	1	0	32	-1	-1	1	-1	-1
5	金猪送礼	3	32	14	金猪送礼	openPanel|ActivityPanel|1	1	33	1	1	1	1|2	0	0	100	-1	-1	1	-1	-1
6	金猪送礼	3	32	14	金猪送礼	openPanel|ActivityPanel|1	1	35	1	1	1	1|2	0	0	100	-1	-1	1	-1	-1
7	金猪送礼	3	32	14	金猪送礼	openPanel|ActivityPanel|1	1	36	1	1	1	1|2	0	0	100	-1	-1	1	-1	-1
8	魔力入侵	3	35	17	魔灵入侵	autoPath|1|80031|34|159	1	5	1	1	1	签|找	0	0	9999	-1	-1	1	-1	-1
9	单挑Boss	100	2	263	挑战Boss爆终极	openPanel|killBossPanel	0	0	1	1	1	1|2	1	0	100	-1	-1	1	-1	-1
10	军团之光	3	36	16	军团之光	enterActivity|4	1	6	1	1	1	签|找	1	0	9999	-1	-1	1	-1	-1
11	魔灵入侵	3	37	17	魔灵入侵	autoPath|1|80031|34|159	1	7	1	1	1	签|找	1	0	9999	-1	-1	1	-1	-1
12	智力竞赛	3	38	14	智力竞赛	openPanel|DaTiPanel|1	1	8	1	1	1	1|2	1	0	9999	-1	-1	1	-1	-1
13	测试活动	3	39	20	测试活动	autoPath|1|1001|73|68	1	9	1	1	1	1|2	1	0	1	-1	170100	1	-1	-1
14	安全挂机	3	40	21	安全挂机	NPC|374006	1	10	1	1	1	1|2	1	0	9999	-1	-1	1	-1	-1
15	首次充值	2	16	111	点击领取首冲大奖	openPanel|firstChargePanel|2	0	0	1	1	1	1|2	0	0	1	-1	-1	1	-1	-1
16	限时抢购	2	98	24	限时抢购	openPanel|teHuiPanel|1	0	0	0	1	1	1|2	0	1	9999	-1	-1	1	-1	-1
17	每日首充	2	15	117	每日充值送豪礼！	openPanel|EveryDayChargePanel	0	0	1	0	1	1|2	0	1	100	-1	-1	1	-1	-1
18	极限挑战	3	12	107	超高爆率，终极装备等你来	NPC|1103	1	34	1	1	1	1|2	0	0	200	-1	-1	1	-1	-1
19	开服活动	2	11	118	开服活动	openPanel|openServerActivityPanel|1	0	0	1	0	1	1|2	0	0	1	-1	-1	1	-1	-1
20	蜘蛛女皇	3	41	28	蜘蛛女皇来袭	openPanel|BOSSPanel|1	1	11	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
21	蜘蛛女皇	3	42	28	蜘蛛女皇来袭	openPanel|BOSSPanel|1	1	13	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
22	蜘蛛女皇	3	43	28	蜘蛛女皇来袭	openPanel|BOSSPanel|1	1	14	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
23	蜘蛛女皇	3	44	28	蜘蛛女皇来袭	openPanel|BOSSPanel|1	1	15	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
24	领地战	3	45	27	领地争夺中！	openPanel|ActivityPanel|5	1	12	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
25	名人堂	3	4	29	挑战名人堂	openPanel|fameHallPanel|1	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	-1	-1
26	积分商城	3	6	30	积分商城中可使用各种积分兑换稀有道具	openPanel|scoreShopPanel|1	0	0	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
27	出战三宠	2	99	31	购买圣兽合晶！开启第三只幻兽出战功能！	openPanel|sanChongPanel|1	0	0	0	1	1	1|2	0	1	9999	-1	-1	1	-1	-1
28	VIP福利	2	13	32	点击查看VIP特权福利	openPanel|VipPanel|1	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	-1	-1
29	王之宝藏	3	22	113	抽奖	openPanel|choujiangPanel|1	0	0	1	1	1	1|2	1	0	150	-1	-1	1	-1	-1
30	祈福	3	5	37	祈福	openPanel|qiFuPanel|1	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	-1	-1
31	充值回馈	2	14	33	开服限时充值大礼回馈！	openPanel|chargeHuiKuiPanel|2	0	0	1	0	1	1|2	0	1	9999	-1	-1	1	-1	-1
32	回收RMB	3	20	114	回收钻石	openPanel|moneyRecycleEquipPanel	0	0	1	1	1	1|2	1	0	10	-1	-1	1	-1	-1
33	世界BOSS	3	46	35	世界BOSS	enterActivity|20	1	16	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
35	风云碑	3	47	108	风云碑	NPC|1104	1	18	1	1	1	1|2	0	0	200	-1	-1	1	-1	-1
36	天下第一	3	48	112	天下第一	NPC|1093	1	19	1	1	1	1|2	0	0	200	-1	-1	1	-1	-1
37	魔龙窟	3	8	40	魔龙窟	openPanel|ActivityPanel|2|9	1	0	1	0	1	1|2	0	0	9999	-1	-1	1	-1	-1
38	军团战显示	3	3	19	查看军团战信息	openPanel|FamilyWarPanel|1	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	-1	-1
39	魔龙套装	3	50	40	魔龙套装	openPanel|FamilyWarPanel|1	1	0	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
40	360加速球	2	2	42	点击领取加速球礼包	-1	0	0	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
41	360游戏大厅	2	3	43	点击领取360游戏大厅礼包	openPanel|app360Panel|1	0	0	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
42	360福利社	2	1	44	扫二维码关注送专属微信礼包	openPanel|weiXin360Panel|1	0	0	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
43	神装展示	3	9	41	点击查看魔龙装	openPanel|moLongShowPanel|0	0	0	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
44	领地战	3	51	27	领地争夺中！	openPanel|ActivityPanel|5	1	20	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
45	天降宝箱	3	39	20	天降宝箱活动	NPC|372515	1	21	1	1	1	1|2	1	0	9999	-1	-1	1	-1	-1
46	世界BOSS	3	46	35	世界BOSS	enterActivity|26	1	22	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
47	魔灵入侵	3	37	17	魔灵入侵	autoPath|1|80031|34|159	1	23	1	1	1	签|找	1	0	9999	-1	-1	1	-1	-1
48	合服活动	2	101	45	合服活动	openPanel|heFuPanel|0	0	0	0	0	1	1|2	0	1	150	-1	-1	1	-1	-1
49	双倍经验	2	16	46	双倍经验	-1	1	24	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
50	合服BOSS	2	17	28	合服BOSS	autoPath|1|80003|71|558	1	25	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
51	月末狂欢	2	109	1116	点击查看活动	openPanel|shuang11Panel|0	0	0	0	0	1	1|2	0	1	150	-1	-1	1	-1	-1
