INT	INT	INT	INT
HoeId	NextHoeId	CurWear	IsDouble
801	802	60	1
802	803	59	1
803	804	58	1
804	805	57	1
805	806	56	1
806	807	55	1
807	808	54	1
808	809	53	1
809	810	52	1
810	811	51	1
811	812	50	1
812	813	49	1
813	814	48	1
814	815	47	1
815	816	46	1
816	817	45	1
817	818	44	1
818	819	43	1
819	820	42	1
820	821	41	1
821	822	40	1
822	823	39	1
823	824	38	1
824	825	37	1
825	826	36	1
826	827	35	1
827	828	34	1
828	829	33	1
829	830	32	1
830	891	31	1
831	832	60	2
832	833	59	2
833	834	58	2
834	835	57	2
835	836	56	2
836	837	55	2
837	838	54	2
838	839	53	2
839	840	52	2
840	841	51	2
841	842	50	2
842	843	49	2
843	844	48	2
844	845	47	2
845	846	46	2
846	847	45	2
847	848	44	2
848	849	43	2
849	850	42	2
850	851	41	2
851	852	40	2
852	853	39	2
853	854	38	2
854	855	37	2
855	856	36	2
856	857	35	2
857	858	34	2
858	859	33	2
859	860	32	2
860	861	31	2
861	862	30	2
862	863	29	2
863	864	28	2
864	865	27	2
865	866	26	2
866	867	25	2
867	868	24	2
868	869	23	2
869	870	22	2
870	871	21	2
871	872	20	2
872	873	19	2
873	874	18	2
874	875	17	2
875	876	16	2
876	877	15	2
877	878	14	2
878	879	13	2
879	880	12	2
880	881	11	2
881	882	10	2
882	883	9	2
883	884	8	2
884	885	7	2
885	886	6	2
886	887	5	2
887	888	4	2
888	889	3	2
889	890	2	2
890	0	1	2
891	892	30	1
892	893	29	1
893	894	28	1
894	895	27	1
895	896	26	1
896	897	25	1
897	898	24	1
898	899	23	1
899	900	22	1
900	901	21	1
901	902	20	1
902	903	19	1
903	904	18	1
904	905	17	1
905	906	16	1
906	907	15	1
907	908	14	1
908	909	13	1
909	910	12	1
910	911	11	1
911	912	10	1
912	913	9	1
913	914	8	1
914	915	7	1
915	916	6	1
916	917	5	1
917	918	4	1
918	919	3	1
919	920	2	1
920	0	1	1
