INT	STRING	STRING	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	STRING	STRING	INT	STRING	INT
Id	CostItems	GiveItem	CostMoney	Rate	TotalRate	Notice	FailureReturn	ShowGiveItem	Activation	CostStrength	MaxCombiCount	SpecialItems1	Probability1	Tyep	EquipAttribute	CheckItemPopUpBuy
1	565:1:100	20002:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
2	565:1:100	20003:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
3	565:1:100	20004:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
4	565:1:100	20006:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
5	565:1:100	20007:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
6	565:1:100	20008:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
7	20001:2:1|565:1:400	20009:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
8	20002:2:1|565:1:200	20010:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
9	20003:2:1|565:1:200	20011:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
10	20004:2:1|565:1:200	20012:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
11	20005:2:1|565:1:400	20013:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
12	20006:2:1|565:1:200	20014:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
13	20007:2:1|565:1:200	20015:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
14	20008:2:1|565:1:200	20016:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
15	20009:2:1|565:1:800	20017:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
16	20010:2:1|565:1:400	20018:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
17	20011:2:1|565:1:400	20019:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
18	20012:2:1|565:1:400	20020:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
19	20013:2:1|565:1:800	20021:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
20	20014:2:1|565:1:400	20022:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
21	20015:2:1|565:1:400	20023:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
22	20016:2:1|565:1:400	20024:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
23	20017:2:1|565:1:1400	20025:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
24	20018:2:1|565:1:700	20026:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
25	20019:2:1|565:1:700	20027:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
26	20020:2:1|565:1:700	20028:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
27	20021:2:1|565:1:1400	20029:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
28	20022:2:1|565:1:700	20030:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
29	20023:2:1|565:1:700	20031:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
30	20024:2:1|565:1:700	20032:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
31	20025:2:1|565:1:2400	20033:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
32	20026:2:1|565:1:1200	20034:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
33	20027:2:1|565:1:1200	20035:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
34	20028:2:1|565:1:1200	20036:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
35	20029:2:1|565:1:2400	20037:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
36	20030:2:1|565:1:1200	20038:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
37	20031:2:1|565:1:1200	20039:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
38	20032:2:1|565:1:1200	20040:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
101	20081:2:2|565:1:200	20082:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
102	20082:2:2|565:1:400	20083:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
103	20083:2:2|565:1:800	20084:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
104	20084:2:2|565:1:1600	20085:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
201	30001:2:3	30013:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
202	30002:2:3	30014:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
203	30003:2:3	30015:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
204	30004:2:3	30016:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
205	30005:2:3	30017:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
206	30006:2:3	30018:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
207	30007:2:3	30019:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
208	30008:2:3	30020:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
209	30009:2:3	30021:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
210	30010:2:3	30022:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
211	30011:2:3	30023:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
212	30012:2:3	30024:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	0
213	30013:2:3|638:1:5	30025:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
214	30014:2:3|638:1:5	30026:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
215	30015:2:3|638:1:5	30027:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
216	30016:2:3|638:1:5	30028:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
217	30017:2:3|638:1:5	30029:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
218	30018:2:3|638:1:5	30030:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
219	30019:2:3|638:1:5	30031:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
220	30020:2:3|638:1:5	30032:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
221	30021:2:3|638:1:5	30033:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
222	30022:2:3|638:1:5	30034:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
223	30023:2:3|638:1:5	30035:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
224	30024:2:3|638:1:5	30036:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
225	30025:2:3|638:1:20	30037:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
226	30026:2:3|638:1:20	30038:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
227	30027:2:3|638:1:20	30039:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
228	30028:2:3|638:1:20	30040:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
229	30029:2:3|638:1:20	30041:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
230	30030:2:3|638:1:20	30042:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
231	30031:2:3|638:1:20	30043:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
232	30032:2:3|638:1:20	30044:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
233	30033:2:3|638:1:20	30045:2:1	10000	100	100	121	-1	-1	0	0	999	-1	-1	0	-1	1
