INT	STRING	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT
Id	Name	Type	Price	Quality	Overlay	AddAttr	AddPos	GemLevel	Url	DropUrl	Combine	CanUse	CanSell	FlyFree	OutValue	InValue	Desc	acquire	auction
8000	1级生命宝石	1	10000	3	999	1:2170	0:1:2:3:4:5:6:7:8:9	1	203	203	1	1	1	99	10000	10000	#debc6a|可在|#00ff00|【锻造-宝石镶嵌】|#debc6a|中用于|#00ff00|宝石镶嵌|n|#debc6a|每个部位上面只能镶嵌一颗同类型宝石|n|n|#00afec|【商城购买、轮回塔】		19
8001	2级生命宝石	1	10000	3	999	1:3610	0:1:2:3:4:5:6:7:8:9	2	204	204	1	1	1	99	10000	10000	#debc6a|可在|#00ff00|【锻造-宝石镶嵌】|#debc6a|中用于|#00ff00|宝石镶嵌|n|#debc6a|每个部位上面只能镶嵌一颗同类型宝石|n|n|#00afec|【商城购买、轮回塔】		19
8002	3级生命宝石	1	10000	4	999	1:5810	0:1:2:3:4:5:6:7:8:9	3	205	205	1	1	1	99	10000	10000	#debc6a|可在|#00ff00|【锻造-宝石镶嵌】|#debc6a|中用于|#00ff00|宝石镶嵌|n|#debc6a|每个部位上面只能镶嵌一颗同类型宝石|n|n|#00afec|【商城购买、轮回塔】		19
8003	4级生命宝石	1	10000	4	999	1:9060	0:1:2:3:4:5:6:7:8:9	4	206	206	1	1	1	99	10000	10000	#debc6a|可在|#00ff00|【锻造-宝石镶嵌】|#debc6a|中用于|#00ff00|宝石镶嵌|n|#debc6a|每个部位上面只能镶嵌一颗同类型宝石|n|n|#00afec|【商城购买、轮回塔】		19
8004	5级生命宝石	1	10000	5	999	1:13700	0:1:2:3:4:5:6:7:8:9	5	207	207	1	1	1	99	10000	10000	#debc6a|可在|#00ff00|【锻造-宝石镶嵌】|#debc6a|中用于|#00ff00|宝石镶嵌|n|#debc6a|每个部位上面只能镶嵌一颗同类型宝石|n|n|#00afec|【商城购买、轮回塔】		19
8005	6级生命宝石	1	10000	5	999	1:20090	0:1:2:3:4:5:6:7:8:9	6	208	208	1	1	1	99	10000	10000	#debc6a|可在|#00ff00|【锻造-宝石镶嵌】|#debc6a|中用于|#00ff00|宝石镶嵌|n|#debc6a|每个部位上面只能镶嵌一颗同类型宝石|n|n|#00afec|【商城购买、轮回塔】		19
8006	7级生命宝石	1	10000	6	999	1:28600	0:1:2:3:4:5:6:7:8:9	7	209	209	1	1	1	99	10000	10000	#debc6a|可在|#00ff00|【锻造-宝石镶嵌】|#debc6a|中用于|#00ff00|宝石镶嵌|n|#debc6a|每个部位上面只能镶嵌一颗同类型宝石|n|n|#00afec|【商城购买、轮回塔】		19
8007	8级生命宝石	1	10000	6	999	1:52860	0:1:2:3:4:5:6:7:8:9	8	210	210	1	1	1	99	10000	10000	#debc6a|可在|#00ff00|【锻造-宝石镶嵌】|#debc6a|中用于|#00ff00|宝石镶嵌|n|#debc6a|每个部位上面只能镶嵌一颗同类型宝石|n|n|#00afec|【商城购买、轮回塔】		19
8008	9级生命宝石	1	10000	7	999	1:86260	0:1:2:3:4:5:6:7:8:9	9	211	211	1	1	1	99	10000	10000	#debc6a|可在|#00ff00|【锻造-宝石镶嵌】|#debc6a|中用于|#00ff00|宝石镶嵌|n|#debc6a|每个部位上面只能镶嵌一颗同类型宝石|n|n|#00afec|【商城购买、轮回塔】		19
