INT	STRING	STRING	STRING	STRING
Index	CostItem	GiveItem	pre_item	pre_desc
1	8001:1:2	8017:1:1:1:4111:4367:0:0:0|8002:1:1:1:3641:3284:0:1:0|8003:1:1:1:2040:2196:0:1:0|8005:1:1:1:168:136:0:1:1|8007:1:1:1:37:16:3025:2:1|8009:1:1:1:3:1:3025:2:1	8018:1:1	#debc6a|最高融合9级
2	8002:1:2	8017:1:2:1:4111:4466:0:0:0|8003:1:1:1:3652:3185:0:1:0|8004:1:1:1:2033:2196:0:1:0|8006:1:1:1:166:136:0:1:1|8008:1:1:1:36:16:3025:2:1|8010:1:1:1:2:1:3025:2:1	8018:1:1	#debc6a|最高融合10级
3	8003:1:2	8017:1:4:1:4111:4466:0:0:0|8004:1:1:1:3652:3185:0:1:0|8005:1:1:1:2033:2196:0:1:0|8007:1:1:1:166:136:0:1:1|8009:1:1:1:36:16:3025:2:1|8011:1:1:1:2:1:3025:2:1	8018:1:1	#debc6a|最高融合11级
4	8004:1:2	8017:1:8:1:4111:4367:0:0:0|8005:1:1:1:3641:3284:0:1:0|8006:1:1:1:2040:2196:0:1:0|8008:1:1:1:168:136:0:1:1|8010:1:1:1:37:16:3025:2:1|8012:1:1:1:3:1:3025:2:1	8018:1:1	#debc6a|最高融合12级
5	8005:1:2	8017:1:16:1:4111:4466:0:0:0|8006:1:1:1:3652:3185:0:1:0|8007:1:1:1:2033:2196:0:1:0|8009:1:1:1:166:136:0:1:1|8011:1:1:1:36:16:3025:2:1|8013:1:1:1:2:1:3025:2:1	8018:1:1	#debc6a|最高融合13级
6	8006:1:2	8017:1:32:1:4111:4466:0:0:0|8007:1:1:1:3652:3185:0:1:0|8008:1:1:1:2033:2196:0:1:0|8010:1:1:1:166:136:0:1:1|8012:1:1:1:36:16:3025:2:1|8014:1:1:1:2:1:3025:2:1	8018:1:1	#debc6a|最高融合14级
7	8007:1:2	8017:1:64:1:4111:4367:0:0:0|8008:1:1:1:3595:3284:0:1:0|8009:1:1:1:2071:2196:0:1:0|8011:1:1:1:186:136:0:1:1|8013:1:1:1:36:16:3025:2:1|8015:1:1:1:1:1:3025:2:1	8018:1:1	#debc6a|最高融合15级
8	8008:1:2	8017:1:128:1:4111:4466:0:0:0|8009:1:1:1:3604:3185:0:1:0|8010:1:1:1:2071:2196:0:1:0|8012:1:1:1:177:136:0:1:1|8014:1:1:1:36:16:3025:2:1|8016:1:1:1:1:1:3025:2:1	8018:1:1	#debc6a|最高融合16级
9	8009:1:2	8010:1:1:1:10000:10000:0:1:0	8010:1:1	#debc6a|必定融合10级
10	8010:1:2	8011:1:1:1:10000:10000:0:1:0	8011:1:1	#debc6a|必定融合11级
11	8011:1:2	8012:1:1:1:10000:10000:0:1:0	8012:1:1	#debc6a|必定融合12级
12	8012:1:2	8013:1:1:1:10000:10000:0:1:0	8013:1:1	#debc6a|必定融合13级
13	8013:1:2	8014:1:1:1:10000:10000:0:1:0	8014:1:1	#debc6a|必定融合14级
14	8014:1:2	8015:1:1:1:10000:10000:0:1:0	8015:1:1	#debc6a|必定融合15级
15	8015:1:2	8016:1:1:1:10000:10000:0:1:0	8016:1:1	#debc6a|必定融合16级
