INT	INT	STRING	STRING	INT
Index	Type	Items	Reward	Count
1	1	680:1:1|681:1:1	13:1:1:1	10
2	1	680:1:1|681:1:1|686:1:1|687:1:1	7048:1:1:1	5
3	1	680:1:1|681:1:1|684:1:1|685:1:1|686:1:1|687:1:1	7049:1:1:1	2
4	1	680:1:1|681:1:1|682:1:1|683:1:1|684:1:1|685:1:1|686:1:1|687:1:1	7050:1:1:1	1
5	2	7778:1:1	7040:1:3:1	7
6	2	7778:1:1	7041:1:3:1	7
7	2	7778:1:3	7489:1:1:1	1
8	2	7778:1:7	7776:1:1:1	1
9	3	656:1:1|657:1:1	13:1:1:1	10
10	3	656:1:1|657:1:1|662:1:1|663:1:1	7048:1:1:1	5
11	3	656:1:1|657:1:1|660:1:1|661:1:1|662:1:1|663:1:1	7049:1:1:1	2
12	3	656:1:1|657:1:1|658:1:1|659:1:1|660:1:1|661:1:1|662:1:1|663:1:1	7050:1:1:1	1
21	4	688:1:1|689:1:1	13:1:1:1	10
22	4	688:1:1|689:1:1|690:1:1|691:1:1	7195:1:1:1	5
23	4	688:1:1|689:1:1|690:1:1|691:1:1|692:1:1|693:1:1	7196:1:1:1	2
24	4	688:1:1|689:1:1|690:1:1|691:1:1|692:1:1|693:1:1|694:1:1|695:1:1	7197:1:1:1	1
