INT	INT	INT	STRING	STRING	STRING
Level	PlayerLevel	Money	AttrAddon	JueWeiName	Color
0	100	1000	1:0|4:0|5:0|18:0|29:0	-1	-1
1	100	2000	1:9000|4:100|5:240|18:6|29:30	力拔山河	#00ff00
2	100	5000	1:20000|4:210|5:530|18:12|29:60	举世闻名	#00ff00
3	130	10000	1:46000|4:400|5:1000|18:18|29:90	傲视群雄	#00ff00
4	160	20000	1:73000|4:680|5:1710|18:24|29:120	纵横八方	#00afec
5	200	30000	1:111000|4:1090|5:2730|18:30|29:150	威震天下	#00afec
6	230	50000	1:163000|4:1650|5:4120|18:39|29:200	撼天动地	#00afec
7	260	70000	1:232000|4:2380|5:5960|18:48|29:250	龙腾九州	#a54bfa
8	300	100000	1:320000|4:3330|5:8320|18:57|29:300	天人合一	#a54bfa
9	320	200000	1:431000|4:4510|5:11280|18:66|29:400	出神入化	#a54bfa
10	350	300000	1:567000|4:5970|5:14930|18:81|29:500	君临天下·皇	#f7ab00
11	380	400000	1:733000|4:7740|5:19350|18:96|29:600	超凡入圣·仙	#f7ab00
12	400	600000	1:930000|4:9860|5:24640|18:111|29:700	摧星撼月·神	#f7ab00
13	420	800000	1:1164000|4:12350|5:30880|18:135|29:850	星罗万象·天极	#ff3399
14	440	1000000	1:1437000|4:15270|5:38190|18:159|29:1000	风云化鳞·苍龙	#ff3399
15	460	1300000	1:1753000|4:18660|5:46640|18:183|29:1150	焚心淬骨·魔尊	#ff3399
16	480	1600000	1:2116000|4:22540|5:56360|18:222|29:1300	万劫不灭·斗神	#e60012
17	500	1900000	1:2530000|4:26980|5:67440|18:261|29:1450	普度八荒·圣尊	#e60012
18	520	5000000	1:3000000|4:32000|5:80000|18:300|29:1600	浩瀚擎天·虚祖	#e60012
19	550	10000000	1:3300000|4:36000|5:90000|18:330|29:1750	日月星辰·主宰	#e60012
20	600	20000000	1:3600000|4:40000|5:100000|18:360|29:1900	惟我独尊·天下	#e60012
21	630	30000000	1:4000000|4:44000|5:110000|18:400|29:2050	天下无敌·修神	#e60012
