INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
Index	Type	Start	End	GetReward	Condition	Effect	Items	Number	BigIcon	Top
1	1	1	7	1	1	70	201:1:1:1:0:0|7007:1:10:1:0:0|7238:1:1:1:0:0	200	0	-1
2	1	1	7	1	1	90	201:1:2:1:0:0|7007:1:20:1:0:0|7239:1:1:1:0:0	100	0	-1
3	1	1	7	1	1	100	7274:1:2:1:0:0|7007:1:30:1:0:0|7239:1:10:1:0:0	50	0	-1
4	1	1	7	1	1	110	7275:1:2:1:0:0|7007:1:50:1:0:0|7240:1:1:1:0:0	10	0	-1
5	1	1	7	1	1	121	7276:1:2:1:0:0|7007:1:70:1:0:0|7240:1:2:1:0:0	6	0	-1
6	1	1	7	1	1	241	7277:1:2:1:0:0|7007:1:100:1:0:0|7241:1:2:1:0:0	3	0	-1
7	2	1	7	1	3	5000	7300:1:10:1:0:0|7041:1:5:1:0:4|7265:1:5:1:0:0	-1	0	-1
8	2	1	7	1	3	9000	7272:1:10:1:0:0|7041:1:10:1:0:4|7265:1:10:1:0:0	-1	0	-1
9	2	1	7	1	3	13000	7273:1:6:1:0:0|7041:1:15:1:0:4|7265:1:15:1:0:0	-1	0	-1
10	2	1	7	1	3	18000	7274:1:6:1:0:0|7041:1:20:1:0:4|7265:1:20:1:0:0	-1	0	-1
11	2	1	7	1	3	24000	7275:1:6:1:0:0|7041:1:25:1:0:4|7265:1:25:1:0:0	-1	0	-1
12	8	3	3	3	4		2000:2:1:0:1:0|2008:2:1:0:2:0|2010:2:1:0:3:0|47:1:8:0:0:0|7123:1:1:1:0:0	-1	1	-1
13	8	3	3	3	5		7004:1:1:1:0:0|202:1:2:1:0:0|7114:1:10:1:0:0	-1	0	-1
14	8	3	3	3	6		7003:1:1:1:0:0|202:1:1:1:0:0|7114:1:4:1:0:0	-1	0	-1
15	9	1	7	8	7	1:1	2001:2:1:0:1:0|2009:2:1:0:2:0|2011:2:1:0:3:0|37:3:1:1:0:0|7569:1:10:1:0:0	-1	1	-1
16	9	1	7	8	7	2:3	36:3:1:1:0:0|7611:1:30:1:0:0|7569:1:8:1:0:0	-1	0	-1
17	9	1	7	8	7	4:10	35:3:1:1:0:0|7610:1:10:1:0:0|7569:1:6:1:0:0	-1	0	-1
18	9	1	7	1	8	1000	5:3:1:1:0:0|7610:1:5:1:0:0|7569:1:5:1:0:0	-1	0	-1
19	3	1	7	1	10	30	7007:1:10:1:0:0|7265:1:5:1:0:0|7114:1:2:1:0:0	-1	0	-1
20	3	1	7	1	10	60	7007:1:20:1:0:0|7265:1:10:1:0:0|7114:1:6:1:0:0	-1	0	-1
21	3	1	7	1	10	85	7007:1:40:1:0:0|7265:1:15:1:0:0|7114:1:10:1:0:0	-1	0	-1
22	3	1	7	1	10	105	7007:1:60:1:0:0|7265:1:20:1:0:0|7114:1:14:1:0:0	-1	0	-1
23	3	1	7	1	10	120	7007:1:90:1:0:0|7265:1:25:1:0:0|7114:1:18:1:0:0	-1	0	-1
24	4	1	7	1	12	20	4:3:1:1:0:0|7265:1:5:1:0:0|7114:1:4:1:0:0	-1	0	-1
25	4	1	7	1	12	40	5:3:1:1:0:0|7265:1:10:1:0:0|7114:1:12:1:0:0	-1	0	-1
26	4	1	7	1	12	70	5:3:2:1:0:0|7265:1:15:1:0:0|7114:1:20:1:0:0	-1	0	-1
27	4	1	7	1	12	100	6:3:1:1:0:0|7265:1:20:1:0:0|7114:1:28:1:0:0	-1	0	-1
28	4	1	7	1	12	130	7526:1:1:1:0:0|7:3:1:1:0:0|7114:1:40:1:0:0	-1	1	1
29	5	1	7	1	14	1500	7534:1:5:1:0:0|7041:1:5:1:0:4|7114:1:2:1:0:0	-1	0	-1
30	5	1	7	1	14	4000	7534:1:10:1:0:0|7041:1:10:1:0:4|7114:1:6:1:0:0	-1	0	-1
31	5	1	7	1	14	7000	7534:1:15:1:0:0|7041:1:20:1:0:4|7114:1:10:1:0:0	-1	0	-1
32	5	1	7	1	14	11000	7535:1:2:1:0:0|7041:1:30:1:0:4|7114:1:14:1:0:0	-1	0	-1
33	5	1	7	1	14	16000	7535:1:4:1:0:0|7041:1:40:1:0:4|7114:1:18:1:0:0	-1	0	-1
34	6	1	7	1	15	7	7101:1:50:1:0:0|7538:1:1:1:0:0|7110:1:10:1:0:0	-1	0	-1
35	6	1	7	1	15	14	7101:1:183:1:0:0|7538:1:2:1:0:0|7110:1:20:1:0:0	-1	0	-1
36	6	1	7	1	15	21	7101:1:415:1:0:0|7538:1:3:1:0:0|7110:1:30:1:0:0	-1	0	-1
37	6	1	7	1	15	28	7101:1:766:1:0:0|7538:1:4:1:0:0|7110:1:50:1:0:0	-1	0	-1
