INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT
MapId	NextMap	LastMap	MaxPlayer	MaxScore	Minimum	KillCount	MapNum	Rewards	RewardOfKing	RewardMail
60021	60022	-1	999	200	100	2	1	724:1:5:1|601:1:20:1	5363:1:1:1	6399
60022	60023	60021	999	250	125	5	2	724:1:6:1|6215:1:1:1|601:1:25:1	5363:1:1:1	6400
60023	60024	60022	999	300	150	5	3	724:1:7:1|6215:1:2:1|601:1:30:1	5363:1:1:1	6401
60024	60025	60023	999	350	175	4	4	724:1:8:1|6215:1:2:1|601:1:35:1	5363:1:1:1	6402
60025	60026	60024	15	700	300	2	5	724:1:13:1|6216:1:1:1|601:1:50:1	5363:1:1:1	6403
60026	60027	60025	11	900	350	2	6	724:1:15:1|6216:1:1:1|601:1:80:1	5363:1:1:1	6404
60027	60028	60026	7	1200	400	2	7	724:1:17:1|6216:1:2:1|601:1:80:1	5363:1:1:1	6405
60028	60029	60027	3	1500	450	2	8	724:1:20:1|6216:1:2:1|601:1:100:1	5363:1:1:1	6406
60029	-1	60028	1	3000	500	0	9	724:1:30:1|6217:1:1:1|601:1:200:1	5363:1:1:1	6407
