INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT
Level	Exp	Attr	GongGao	SkillTalent	SkillLevel	SkillDesc	Skin	YuanBao	ShengYaoBi
0	0	0	0	0	0	0	0	10000000	100000
1	36000	1:290|4:12|5:29|6:7|7:17|36:1150|37:115|38:300	0	4001	1	吞噬lv1：低于2000W血以下的BOSS可以直接被吞噬	411	0	0
2	39000	1:590|4:24|5:59|6:15|7:35|36:2360|37:236|38:301	0	4001	1	吞噬lv1：低于2000W血以下的BOSS可以直接被吞噬	411	0	0
3	41900	1:910|4:37|5:91|6:23|7:54|36:3630|37:363|38:302	0	4001	1	吞噬lv1：低于2000W血以下的BOSS可以直接被吞噬	411	0	0
4	44800	1:1240|4:50|5:124|6:31|7:74|36:4970|37:497|38:303	0	4001	1	吞噬lv1：低于2000W血以下的BOSS可以直接被吞噬	411	0	0
5	48000	1:1590|4:64|5:159|6:40|7:95|36:6370|37:637|38:304	0	4001	1	吞噬lv1：低于2000W血以下的BOSS可以直接被吞噬	411	0	0
6	51300	1:1960|4:79|5:196|6:49|7:117|36:7850|37:785|38:305	0	4001	1	吞噬lv1：低于2000W血以下的BOSS可以直接被吞噬	411	0	0
7	55000	1:2350|4:95|5:235|6:59|7:140|36:9400|37:940|38:306	0	4001	1	吞噬lv1：低于2000W血以下的BOSS可以直接被吞噬	411	0	0
8	58900	1:2760|4:111|5:276|6:69|7:164|36:11030|37:1103|38:307	0	4001	1	吞噬lv1：低于2000W血以下的BOSS可以直接被吞噬	411	0	0
9	63000	1:3190|4:128|5:319|6:80|7:190|36:12740|37:1274|38:308	0	4001	1	吞噬lv1：低于2000W血以下的BOSS可以直接被吞噬	411	0	0
10	67500	1:3640|4:146|5:364|6:91|7:217|36:14540|37:1454|38:309	519	4001	1	吞噬lv1：低于2000W血以下的BOSS可以直接被吞噬	411	0	0
11	72300	1:4110|4:165|5:411|6:103|7:245|36:16440|37:1644|38:310	0	4001	2	吞噬lv2：低于3000W血以下的BOSS可以直接被吞噬	411	0	0
12	77400	1:4610|4:185|5:461|6:115|7:275|36:18430|37:1843|38:311	0	4001	2	吞噬lv2：低于3000W血以下的BOSS可以直接被吞噬	411	0	0
13	82900	1:5130|4:206|5:513|6:128|7:306|36:20530|37:2053|38:312	0	4001	2	吞噬lv2：低于3000W血以下的BOSS可以直接被吞噬	411	0	0
14	88800	1:5680|4:228|5:568|6:142|7:339|36:22740|37:2274|38:313	0	4001	2	吞噬lv2：低于3000W血以下的BOSS可以直接被吞噬	411	0	0
15	95100	1:6260|4:251|5:626|6:157|7:374|36:25060|37:2506|38:314	0	4001	2	吞噬lv2：低于3000W血以下的BOSS可以直接被吞噬	411	0	0
16	101900	1:6870|4:275|5:687|6:172|7:411|36:27510|37:2751|38:315	0	4001	2	吞噬lv2：低于3000W血以下的BOSS可以直接被吞噬	411	0	0
17	109100	1:7510|4:301|5:751|6:188|7:450|36:30080|37:3008|38:316	0	4001	2	吞噬lv2：低于3000W血以下的BOSS可以直接被吞噬	411	0	0
18	116900	1:8190|4:328|5:819|6:205|7:491|36:32790|37:3279|38:317	0	4001	2	吞噬lv2：低于3000W血以下的BOSS可以直接被吞噬	411	0	0
19	125300	1:8900|4:357|5:890|6:223|7:534|36:35640|37:3564|38:318	0	4001	2	吞噬lv2：低于3000W血以下的BOSS可以直接被吞噬	411	0	0
20	134200	1:9650|4:387|5:965|6:242|7:579|36:38640|37:3864|38:319	519	4001	2	吞噬lv2：低于3000W血以下的BOSS可以直接被吞噬	411	0	0
21	143800	1:10440|4:419|5:1044|6:262|7:626|36:41800|37:4180|38:320	0	4001	3	吞噬lv3：低于4000W血以下的BOSS可以直接被吞噬	411	0	0
22	154100	1:11270|4:452|5:1127|6:283|7:676|36:45130|37:4513|38:321	0	4001	3	吞噬lv3：低于4000W血以下的BOSS可以直接被吞噬	411	0	0
23	165100	1:12150|4:487|5:1215|6:305|7:729|36:48640|37:4864|38:322	0	4001	3	吞噬lv3：低于4000W血以下的BOSS可以直接被吞噬	411	0	0
24	176900	1:13070|4:524|5:1307|6:328|7:784|36:52330|37:5233|38:323	0	4001	3	吞噬lv3：低于4000W血以下的BOSS可以直接被吞噬	411	0	0
25	189600	1:14040|4:563|5:1404|6:352|7:842|36:56220|37:5622|38:324	0	4001	3	吞噬lv3：低于4000W血以下的BOSS可以直接被吞噬	411	0	0
26	203200	1:15070|4:604|5:1507|6:378|7:904|36:60320|37:6032|38:325	0	4001	3	吞噬lv3：低于4000W血以下的BOSS可以直接被吞噬	411	0	0
27	217700	1:16150|4:647|5:1615|6:405|7:969|36:64640|37:6464|38:326	0	4001	3	吞噬lv3：低于4000W血以下的BOSS可以直接被吞噬	411	0	0
28	233300	1:17290|4:693|5:1729|6:433|7:1037|36:69190|37:6919|38:327	0	4001	3	吞噬lv3：低于4000W血以下的BOSS可以直接被吞噬	411	0	0
29	250100	1:18490|4:741|5:1849|6:463|7:1109|36:73990|37:7399|38:328	0	4001	3	吞噬lv3：低于4000W血以下的BOSS可以直接被吞噬	411	0	0
30	268000	1:19750|4:792|5:1975|6:495|7:1185|36:79040|37:7904|38:329	519	4001	3	吞噬lv3：低于4000W血以下的BOSS可以直接被吞噬	411	0	0
31	287200	1:21080|4:845|5:2108|6:528|7:1265|36:84360|37:8436|38:330	0	4001	4	吞噬lv4：低于5000W血以下的BOSS可以直接被吞噬	411	0	0
32	307800	1:22480|4:901|5:2248|6:563|7:1349|36:89970|37:8997|38:331	0	4001	4	吞噬lv4：低于5000W血以下的BOSS可以直接被吞噬	411	0	0
33	329900	1:23960|4:960|5:2396|6:600|7:1438|36:95880|37:9588|38:332	0	4001	4	吞噬lv4：低于5000W血以下的BOSS可以直接被吞噬	411	0	0
34	353600	1:25520|4:1022|5:2552|6:639|7:1531|36:102110|37:10211|38:333	0	4001	4	吞噬lv4：低于5000W血以下的BOSS可以直接被吞噬	411	0	0
35	379000	1:27160|4:1088|5:2716|6:680|7:1630|36:108680|37:10868|38:334	0	4001	4	吞噬lv4：低于5000W血以下的BOSS可以直接被吞噬	411	0	0
36	406200	1:28890|4:1157|5:2889|6:723|7:1734|36:115600|37:11560|38:335	0	4001	4	吞噬lv4：低于5000W血以下的BOSS可以直接被吞噬	411	0	0
