INT	STRING	STRING	STRING	STRING
Level	NeedItem	Npc	MapName	Tips
1	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
2	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
3	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
4	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
5	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
6	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
7	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
8	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
9	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
10	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
11	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
12	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
13	308:1:1	1079|1080|1081|1082|1091|1090	困惑魔殿:(100级)|魔源峰谷:(150级)|绝情海岛:(200级)|幽冥地宫:(250级)|烈焰战场:(100级)|冰峰雪域:(200级)	#debc6a|升级只能通过|#00ff00|等级丹|#debc6a|升级|n高等级地图更高概率产出高级等级丹|n高等级地图更高概率产出高等级装备
