INT	STRING	STRING	INT	STRING
SuitId	Attr	LingZhulist	LingZhuCount	SuitName
1	1:4083|4:163|5:408|6:102|7:245|36:16330|37:4949	1:101:201:301:401	5	·ç¡¤ÊÞ»êÌ×lv1
2	1:8166|4:326|5:816|6:204|7:490|36:32660|37:9898	2:102:202:302:402	5	·ç¡¤ÊÞ»êÌ×lv2
3	1:15515|4:620|5:1551|6:388|7:931|36:62054|37:18805	3:103:203:303:403	5	·ç¡¤ÊÞ»êÌ×lv3
4	1:28579|4:1143|5:2857|6:715|7:1715|36:114311|37:34640	4:104:204:304:404	5	·ç¡¤ÊÞ»êÌ×lv4
5	1:48992|4:1960|5:4898|6:1225|7:2940|36:195962|37:59383	5:105:205:305:405	5	·ç¡¤ÊÞ»êÌ×lv5
6	1:48992|4:1960|5:4898|6:1225|7:2940|36:195962|37:59383	6:106:206:306:406	5	·ç¡¤ÊÞ»êÌ×lv6
7	1:48992|4:1960|5:4898|6:1225|7:2940|36:195962|37:59383	7:107:207:307:407	5	·ç¡¤ÊÞ»êÌ×lv7
8	1:48992|4:1960|5:4898|6:1225|7:2940|36:195962|37:59383	8:108:208:308:408	5	·ç¡¤ÊÞ»êÌ×lv8
9	1:48992|4:1960|5:4898|6:1225|7:2940|36:195962|37:59383	9:109:209:309:409	5	·ç¡¤ÊÞ»êÌ×lv9
10	1:48992|4:1960|5:4898|6:1225|7:2940|36:195962|37:59383	10:110:210:310:410	5	·ç¡¤ÊÞ»êÌ×lv10
101	1:6532|4:261|5:653|6:163|7:392|36:26128|37:7918	501:601:701:801:901	5	Óê¡¤ÊÞ»êÌ×lv1
102	1:13064|4:522|5:1306|6:326|7:784|36:52256|37:15836	502:602:702:802:902	5	Óê¡¤ÊÞ»êÌ×lv2
103	1:24822|4:992|5:2482|6:620|7:1489|36:99287|37:30088	503:603:703:803:903	5	Óê¡¤ÊÞ»êÌ×lv3
104	1:45725|4:1828|5:4572|6:1143|7:2743|36:182897|37:55425	504:604:704:804:904	5	Óê¡¤ÊÞ»êÌ×lv4
105	1:78385|4:3134|5:7838|6:1960|7:4703|36:313538|37:95013	505:605:705:805:905	5	Óê¡¤ÊÞ»êÌ×lv5
106	1:78385|4:3134|5:7838|6:1960|7:4703|36:313538|37:95013	506:606:706:806:906	5	Óê¡¤ÊÞ»êÌ×lv6
107	1:78385|4:3134|5:7838|6:1960|7:4703|36:313538|37:95013	507:607:707:807:907	5	Óê¡¤ÊÞ»êÌ×lv7
108	1:78385|4:3134|5:7838|6:1960|7:4703|36:313538|37:95013	508:608:708:808:908	5	Óê¡¤ÊÞ»êÌ×lv8
109	1:78385|4:3134|5:7838|6:1960|7:4703|36:313538|37:95013	509:609:709:809:909	5	Óê¡¤ÊÞ»êÌ×lv9
110	1:78385|4:3134|5:7838|6:1960|7:4703|36:313538|37:95013	510:610:710:810:910	5	Óê¡¤ÊÞ»êÌ×lv10
201	1:8002|4:320|5:800|6:200|7:480|36:32007|37:9699	1001:1101:1201:1301:1401	5	À×¡¤ÊÞ»êÌ×lv1
202	1:16004|4:640|5:1600|6:400|7:960|36:64014|37:19398	1002:1102:1202:1302:1402	5	À×¡¤ÊÞ»êÌ×lv2
203	1:30407|4:1216|5:3040|6:760|7:1824|36:121627|37:36856	1003:1103:1203:1303:1403	5	À×¡¤ÊÞ»êÌ×lv3
204	1:56013|4:2240|5:5601|6:1400|7:3360|36:224050|37:67893	1004:1104:1204:1304:1404	5	À×¡¤ÊÞ»êÌ×lv4
205	1:96022|4:3840|5:9602|6:2400|7:5761|36:384086|37:116389	1005:1105:1205:1305:1405	5	À×¡¤ÊÞ»êÌ×lv5
206	1:96022|4:3840|5:9602|6:2400|7:5761|36:384086|37:116389	1006:1106:1206:1306:1406	5	À×¡¤ÊÞ»êÌ×lv6
207	1:96022|4:3840|5:9602|6:2400|7:5761|36:384086|37:116389	1007:1107:1207:1307:1407	5	À×¡¤ÊÞ»êÌ×lv7
208	1:96022|4:3840|5:9602|6:2400|7:5761|36:384086|37:116389	1008:1108:1208:1308:1408	5	À×¡¤ÊÞ»êÌ×lv8
209	1:96022|4:3840|5:9602|6:2400|7:5761|36:384086|37:116389	1009:1109:1209:1309:1409	5	À×¡¤ÊÞ»êÌ×lv9
210	1:96022|4:3840|5:9602|6:2400|7:5761|36:384086|37:116389	1010:1110:1210:1310:1410	5	À×¡¤ÊÞ»êÌ×lv10
