INT	INT	INT	STRING	INT	STRING	INT	STRING
TaskId	TaskState	Time	Desc	BtnState	BtnDesc	Type	Params
10014	4	-1	醒醒啦，今天可是冒险者试炼的日子，你怎么还在睡	2	是吗	0	0
10015	4	-1	你不会忘记了吧，今天要去先知哪里报道呢！	2	好的	0	0
10016	4	5000	据说先知她可以看到很有关于未来的信息，真是厉害呢	0	-1	0	0
10017	3	-1	快学习技能吧！没有技能怎么和外面的恶魔战斗呢	0	-1	0	0
10018	4	5000	学到技能了！每升5级都可以获得技能点哦	0	-1	0	0
10019	4	-1	和营地的铁匠打个招呼吧，他那里应该有些用得上的装备	1	好的	0	0
10020	4	5000	营地外面可不安全哦，你要小心点	0	-1	0	0
10021	3	-1	这些沉沦魔真是越来越多了，我们去除掉它们吧	1	好的	0	0
10022	3	5000	咦，似乎有姐妹在那边巡逻	0	-1	0	0
10023	4	-1	咦，那边好像有个人，我们去看看吧	1	好的	0	0
10024	3	5000	获得了技能点，快把技能升级一下吧	0	-1	0	0
10025	3	5000	快前进吧，把药物送到村子里去	0	-1	1	1001:96:187:110:213:恶心的怪物！
10026	4	-1	南边似乎有个小屋，那里也许有幸存者呢	1	去看看	0	0
10027	3	5000	又获得技能点了，可以学习新的技能了	0	-1	0	0
10028	3	5000	奇怪，那些胆小的沉沦魔竟然都敢进攻村庄了	0	-1	0	0
10029	3	5000	沉沦魔似乎是从那边	0	-1	1	1001:89:317:102:359:有巫师，这里似乎聚集着一个沉沦魔部落
10030	3	5000	被动技能有提升属性、强化主动技能等多种用途哦！	0	-1	0	0
10031	3	5000	我们去调查一下那边荒废的屋子看看吧	0	-1	0	0
10032	4	-1	BOSS通常都会掉落了不错的装备，遇到了就不要错过哦	1	好的	0	0
