INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT
Index	Type	Slot	ItemId	Condition	Value	BuyLimit	Desc	Table	Title	YuanShiValue	MaxCondition
1	1	1	5370:1:1:1	1	0	1	-1	1	154	0	999
2	1	2	7069:1:1:1	1	0	1	-1	1	0	0	999
3	2	1	5371:1:1:1	4	0	1	-1	1	155	0	999
4	2	2	7070:1:1:1	4	0	1	-1	1	0	0	999
5	3	1	5372:1:1:1	7	0	1	-1	1	156	0	999
6	3	2	7071:1:1:1	7	0	1	-1	1	0	0	999
7	4	1	5373:1:1:1	1	0	1	-1	2	157	0	999
8	4	2	7072:1:1:1	1	0	1	-1	2	0	0	999
9	5	1	5374:1:1:1	3	0	1	-1	2	158	0	999
10	5	2	7073:1:1:1	3	0	1	-1	2	0	0	999
11	6	1	7074:1:1:1	1	0	1	-1	2	0	0	2
12	6	2	7075:1:1:1	3	0	1	-1	2	0	0	999
