INT	INT	STRING	INT
Type	VipLevel	Droprate	LuckyRate
1	1	10312:2:1:0:305|10313:2:1:0:305|10314:2:1:0:305|10315:2:1:0:305|10317:2:1:0:305|10318:2:1:0:305|10319:2:1:0:305|10320:2:1:0:305|10322:2:1:0:305|10323:2:1:0:305|10324:2:1:0:305|10325:2:1:0:305|10327:2:1:0:305|10328:2:1:0:305|10329:2:1:0:305|10330:2:1:0:305|10332:2:1:0:305|10333:2:1:0:305|10334:2:1:0:305|10335:2:1:0:305|10337:2:1:0:305|10338:2:1:0:305|10339:2:1:0:305|10340:2:1:0:305|10342:2:1:0:305|10343:2:1:0:305|10344:2:1:0:305|10345:2:1:0:305|10347:2:1:0:305|10348:2:1:0:305|10349:2:1:0:305|10350:2:1:0:305|10251:2:1:0:120|10256:2:1:0:120	1000
1	4	10252:2:1:0:179|10253:2:1:0:179|10254:2:1:0:179|10255:2:1:0:179|10257:2:1:0:179|10258:2:1:0:179|10259:2:1:0:179|10260:2:1:0:179|10262:2:1:0:179|10263:2:1:0:179|10264:2:1:0:179|10265:2:1:0:179|10267:2:1:0:179|10268:2:1:0:179|10269:2:1:0:179|10270:2:1:0:179|10272:2:1:0:179|10273:2:1:0:179|10274:2:1:0:179|10275:2:1:0:179|10277:2:1:0:179|10278:2:1:0:179|10279:2:1:0:179|10280:2:1:0:179|10282:2:1:0:179|10283:2:1:0:179|10284:2:1:0:179|10285:2:1:0:179|10287:2:1:0:179|10288:2:1:0:179|10289:2:1:0:179|10290:2:1:0:179|10292:2:1:0:179|10293:2:1:0:179|10294:2:1:0:179|10295:2:1:0:179|10297:2:1:0:179|10298:2:1:0:179|10299:2:1:0:179|10300:2:1:0:179|10302:2:1:0:179|10303:2:1:0:179|10304:2:1:0:179|10305:2:1:0:179|10307:2:1:0:179|10308:2:1:0:179|10309:2:1:0:179|10310:2:1:0:179|10312:2:1:0:179|10313:2:1:0:179|10314:2:1:0:179|10315:2:1:0:179|10317:2:1:0:179|10318:2:1:0:179|10319:2:1:0:179|10320:2:1:0:155	1000
1	5	10272:2:1:0:179|10273:2:1:0:179|10274:2:1:0:179|10275:2:1:0:179|10277:2:1:0:179|10278:2:1:0:179|10279:2:1:0:179|10280:2:1:0:179|10282:2:1:0:179|10283:2:1:0:179|10284:2:1:0:179|10285:2:1:0:179|10287:2:1:0:179|10288:2:1:0:179|10289:2:1:0:179|10290:2:1:0:179|10292:2:1:0:179|10293:2:1:0:179|10294:2:1:0:179|10295:2:1:0:179|10297:2:1:0:179|10298:2:1:0:179|10299:2:1:0:179|10300:2:1:0:179|10302:2:1:0:179|10303:2:1:0:179|10304:2:1:0:179|10305:2:1:0:179|10307:2:1:0:179|10308:2:1:0:179|10309:2:1:0:179|10310:2:1:0:179|10312:2:1:0:179|10313:2:1:0:179|10314:2:1:0:179|10315:2:1:0:179|10317:2:1:0:179|10318:2:1:0:179|10319:2:1:0:179|10320:2:1:0:179|10322:2:1:0:179|10323:2:1:0:179|10324:2:1:0:179|10325:2:1:0:179|10327:2:1:0:179|10328:2:1:0:179|10329:2:1:0:179|10330:2:1:0:179|10332:2:1:0:179|10333:2:1:0:179|10334:2:1:0:179|10335:2:1:0:179|10337:2:1:0:179|10338:2:1:0:179|10339:2:1:0:179|10340:2:1:0:155	1000
1	6	10282:2:1:0:179|10283:2:1:0:179|10284:2:1:0:179|10285:2:1:0:179|10287:2:1:0:179|10288:2:1:0:179|10289:2:1:0:179|10290:2:1:0:179|10292:2:1:0:179|10293:2:1:0:179|10294:2:1:0:179|10295:2:1:0:179|10297:2:1:0:179|10298:2:1:0:179|10299:2:1:0:179|10300:2:1:0:179|10302:2:1:0:179|10303:2:1:0:179|10304:2:1:0:179|10305:2:1:0:179|10307:2:1:0:179|10308:2:1:0:179|10309:2:1:0:179|10310:2:1:0:179|10312:2:1:0:179|10313:2:1:0:179|10314:2:1:0:179|10315:2:1:0:179|10317:2:1:0:179|10318:2:1:0:179|10319:2:1:0:179|10320:2:1:0:179|10322:2:1:0:179|10323:2:1:0:179|10324:2:1:0:179|10325:2:1:0:179|10327:2:1:0:179|10328:2:1:0:179|10329:2:1:0:179|10330:2:1:0:179|10332:2:1:0:179|10333:2:1:0:179|10334:2:1:0:179|10335:2:1:0:179|10337:2:1:0:179|10338:2:1:0:179|10339:2:1:0:179|10340:2:1:0:179|10342:2:1:0:179|10343:2:1:0:179|10344:2:1:0:179|10345:2:1:0:179|10347:2:1:0:179|10348:2:1:0:179|10349:2:1:0:179|10350:2:1:0:155	1000
1	7	10302:2:1:0:209|10303:2:1:0:209|10304:2:1:0:209|10305:2:1:0:209|10307:2:1:0:209|10308:2:1:0:209|10309:2:1:0:209|10310:2:1:0:209|10312:2:1:0:209|10313:2:1:0:209|10314:2:1:0:209|10315:2:1:0:209|10317:2:1:0:209|10318:2:1:0:209|10319:2:1:0:209|10320:2:1:0:209|10322:2:1:0:208|10323:2:1:0:208|10324:2:1:0:208|10325:2:1:0:208|10327:2:1:0:208|10328:2:1:0:208|10329:2:1:0:208|10330:2:1:0:208|10332:2:1:0:208|10333:2:1:0:208|10334:2:1:0:208|10335:2:1:0:208|10337:2:1:0:208|10338:2:1:0:208|10339:2:1:0:208|10340:2:1:0:208|10342:2:1:0:208|10343:2:1:0:208|10344:2:1:0:208|10345:2:1:0:208|10347:2:1:0:208|10348:2:1:0:208|10349:2:1:0:208|10350:2:1:0:208|10352:2:1:0:208|10353:2:1:0:208|10354:2:1:0:208|10355:2:1:0:208|10357:2:1:0:208|10358:2:1:0:208|10359:2:1:0:208|10360:2:1:0:208	1000
1	8	10322:2:1:0:313|10323:2:1:0:313|10324:2:1:0:313|10325:2:1:0:313|10327:2:1:0:313|10328:2:1:0:313|10329:2:1:0:313|10330:2:1:0:313|10332:2:1:0:313|10333:2:1:0:313|10334:2:1:0:313|10335:2:1:0:313|10337:2:1:0:313|10338:2:1:0:313|10339:2:1:0:313|10340:2:1:0:313|10342:2:1:0:312|10343:2:1:0:312|10344:2:1:0:312|10345:2:1:0:312|10347:2:1:0:312|10348:2:1:0:312|10349:2:1:0:312|10350:2:1:0:312|10352:2:1:0:312|10353:2:1:0:312|10354:2:1:0:312|10355:2:1:0:312|10357:2:1:0:312|10358:2:1:0:312|10359:2:1:0:312|10360:2:1:0:312	1000
1	9	10342:2:1:0:417|10343:2:1:0:417|10344:2:1:0:417|10345:2:1:0:417|10347:2:1:0:417|10348:2:1:0:417|10349:2:1:0:417|10350:2:1:0:417|10352:2:1:0:417|10353:2:1:0:417|10354:2:1:0:417|10355:2:1:0:417|10357:2:1:0:417|10358:2:1:0:417|10359:2:1:0:417|10360:2:1:0:417|10362:2:1:0:416|10363:2:1:0:416|10364:2:1:0:416|10365:2:1:0:416|10367:2:1:0:416|10368:2:1:0:416|10369:2:1:0:416|10370:2:1:0:416	1000
1	10	10352:2:1:0:417|10353:2:1:0:417|10354:2:1:0:417|10355:2:1:0:417|10357:2:1:0:417|10358:2:1:0:417|10359:2:1:0:417|10360:2:1:0:417|10362:2:1:0:417|10363:2:1:0:417|10364:2:1:0:417|10365:2:1:0:417|10367:2:1:0:417|10368:2:1:0:417|10369:2:1:0:417|10370:2:1:0:417|10372:2:1:0:416|10373:2:1:0:416|10374:2:1:0:416|10375:2:1:0:416|10377:2:1:0:416|10378:2:1:0:416|10379:2:1:0:416|10380:2:1:0:416	1000
1	11	10362:2:1:0:417|10363:2:1:0:417|10364:2:1:0:417|10365:2:1:0:417|10367:2:1:0:417|10368:2:1:0:417|10369:2:1:0:417|10370:2:1:0:417|10372:2:1:0:417|10373:2:1:0:417|10374:2:1:0:417|10375:2:1:0:417|10377:2:1:0:417|10378:2:1:0:417|10379:2:1:0:417|10380:2:1:0:417|10382:2:1:0:416|10383:2:1:0:416|10384:2:1:0:416|10385:2:1:0:416|10387:2:1:0:416|10388:2:1:0:416|10389:2:1:0:416|10390:2:1:0:416	1000
